id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2472749677,1,34,16,0,0,bpx4ib85d65u9oyhglkt36k1b,1,0,0,2022-10-16T10:03:41.323Z,2022-10-16T11:04:57Z,3848129857,30,"bpwz6mj8utvxsd9mjyxcestii, d9l67kneytb0mij099bneg1cl, 1zkoai1sdm9bbx29fi76e38ph, 9xbohfvww89ec7c1d97hkuj85, 1ofsz5y4wb4pt6xp0u06hc5pl, fpitimhwhx0wqkkrtuc10mvp, 5uli2vvgaigz4yf05bwy81l2h, 692xxz6qlvbxhspozloeujt9l, 3uyzu7kyh7oe0ahcu7o22pfit, bwhwthiud4nqvdjy8rq1gcdsl, c4tkrrhs6o8ii0wnmi5y66cwl, diy9eqdcrua61ao4goq5yges5, 1u7a9cb0kw1l1aplw3c1ka2tx, dhv9lixpbtd4b27qmfw7cxf1m, a5d0iik8dqj6oy803mvi4n1sl, eyssu2jrc7qnzut1tx54twlm2, 1wlzoku6j132t554imm0co99l, avud4qv9xovwlr2pxc8fcmiuh, 1m85a65tvymk8wehikyv32e0a",3848129869,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848129859,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3848129865,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3848129861,59,"22, 8, 30, 25, 13, 4, 17, 12, 10, 11, 31, 3, 9, 14, 16, 20, 27, 33, 44",3848129867,194,9xbohfvww89ec7c1d97hkuj85,3848129863,130,23,3848274933,197,9163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472754865,1,34,16,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2022-10-16T10:18:19.060Z,2022-10-16T11:05:25Z,3848157709,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3848157707,130,8,3848157705,59,"1, 12, 13, 10, 5, 6, 7, 17, 8, 11, 23, 3, 2, 14, 25, 26, 27",3848157711,194,8fhfjo7zfz9u0xtn58qj9enrp,3848157701,30,"a10v8s11xcdsyspqnyhtfipjp, f18o5qahrzbg0jrw8whefv7xl, 9kmt7flw7n65qmfe0euadfd1x, 9uo1lm8ntj5o5vq1jutuvtb6d, aa257iqvul1ksok2v3ouoe86h, dtz4c9bzealdegjsgvdoac6ad, 4y1m1y07xg9wwfnogsxtcj93p, 6089nfwh31ha73pl7vlla75cl, 8fhfjo7zfz9u0xtn58qj9enrp, 3p5r6kr9afi2f4qqno6scknze, 35899uqibespufub1v01dwrmd, 3ubn4p929c0tv77dehaon5f1m, 6coohu2h5ibh9aagpxaayjzkl, e2n5stn52nldraympabdp7xzp, az6k6sihxqdq5mzsa7htvkmlm, 19gypl4enklm01cxfzzbrb4yd, 4wuo4yhm9bmihr1ywi0g4pvqh",3848157713,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848157703,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",3848269327,197,12091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472778703,2,32,1,0,0,bpx4ib85d65u9oyhglkt36k1b,1,0,0,2022-10-16T11:01:48.318Z,2022-10-16T11:01:48Z,3848277313,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472778707,2,32,1,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2022-10-16T11:01:48.318Z,2022-10-16T11:01:50Z,3848277323,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472778717,3,1,1,0,0,4e5523it4v7s6kkakelbj9si5,1,50.2,49.6,2022-10-16T11:01:48.418Z,2022-10-16T11:02:13Z,3848277387,212,16.8,3848277385,141,42.7,3848277381,56,Back,3848277383,140,34.8,3848277389,213,3.4,3848277391,279,S,,,,,,,8fhfjo7zfz9u0xtn58qj9enrp,M. Islacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472778757,4,1,1,0,4,4e5523it4v7s6kkakelbj9si5,1,34.9,42.7,2022-10-16T11:01:52.404Z,2022-10-16T11:01:54Z,3848277647,213,2.1,3848277641,140,25.1,3848277645,212,19.7,3848277643,141,67.4,3848277639,56,Back,,,,,,,,,,6089nfwh31ha73pl7vlla75cl,S. Puntigam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472778793,5,1,1,0,6,4e5523it4v7s6kkakelbj9si5,1,25.1,67.4,2022-10-16T11:01:54.483Z,2022-10-16T11:01:59Z,3848277823,213,4.7,3848277817,140,24.2,3848277821,212,19.3,3848277815,56,Back,3848277819,141,39.1,,,,,,,,,,aa257iqvul1ksok2v3ouoe86h,C. Degen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472778813,6,1,1,0,10,4e5523it4v7s6kkakelbj9si5,1,31.6,30.8,2022-10-16T11:01:58.979Z,2022-10-16T11:02:01Z,3848277939,140,36.2,3848277937,56,Back,3848277943,212,15.7,3848277945,213,5.0,3848277941,141,8.9,,,,,,,,,,dtz4c9bzealdegjsgvdoac6ad,M. Moorrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472778817,7,1,1,0,12,4e5523it4v7s6kkakelbj9si5,0,35.8,7.7,2022-10-16T11:02:01.219Z,2022-10-16T11:02:02Z,3848277971,212,1.8,3848278021,236,,3848278027,286,,3848277981,195,,3848278023,233,3,3848277969,141,10.4,3848277973,213,1.6,3848277965,56,Back,f18o5qahrzbg0jrw8whefv7xl,A. Gudorf,3848277967,140,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472778821,3,74,1,0,12,bpx4ib85d65u9oyhglkt36k1b,1,71.5,79.4,2022-10-16T11:02:01.220Z,2022-10-16T11:14:41Z,3848278037,233,7,3848277983,56,Left,3848277985,285,,,,,,,,,,,,,,,,,5uli2vvgaigz4yf05bwy81l2h,K. Bühl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472778839,4,49,1,0,15,bpx4ib85d65u9oyhglkt36k1b,1,65.7,65.8,2022-10-16T11:02:04.049Z,2022-10-16T11:02:04Z,,,,,,,,,,,,,,,,,,,,,,,,,3uyzu7kyh7oe0ahcu7o22pfit,L. Dallmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
