id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/11/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2522276089,1,34,16,0,0,e8os1xpomlperuedy2f9a9ttu,1,0,0,2023-03-19T11:08:57.451Z,2023-03-19T12:32:57Z,4109207285,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4109207291,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4109207277,30,"19widovycdmuk6erzbmwb8mw9, c414n2dnu7om57lqw789mrp7u, 560192sxsuoxdpwpe27ibst05, agdmqurwrf5k6izewj4voxcdl, 1knjymb11ziv7sq5m1f4tdwwl, 90j0tep6q5ekv8r9pfwx3fbvt, 82attu22oztrh3s274g5yv1t5, eq5z0yyr2uh1fvs5v2v8zipjp, 4i37e3q02cbkvlhcq2dsdsr11, 4lfl3qipc5sf2b8cec6l43ap5, f0zbdnxjsfalm8s8whu5vmklx, 4kddxgnkpjzwkucvert2bhzsa, 7fsubsa693f0e3miheubefxpm, cb60xjrkw8lilcyut0hvdlwix, 880iar754wzvc7686yiaiectm, 7lwa4vomudkazs99jx32sk0a2, e06uunnzydjpmmo780dhnggyd, aji2uaf4qxmbarfhrsbtxmaqd, cu3fl794mtsnkfxi4jesxv9ey, 9lubh9wmixrdw0ttdyacul33d",4109207287,194,eq5z0yyr2uh1fvs5v2v8zipjp,4109333139,197,8568,4109207279,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4109207283,130,3,4109207281,59,"1, 23, 18, 8, 33, 4, 14, 10, 7, 19, 28, 9, 12, 16, 17, 24, 26, 27, 30, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522277671,1,34,16,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2023-03-19T11:11:44.467Z,2023-03-19T11:58:33Z,4109214587,30,"5538ubmpq7ijg9s6fyt0qwglw, 6dr16qr33t4gjz70bv5bxc8dm, ikr5jm07viu4wblicjededt6, 8fvhkgu9pio9hcs0qhndw1239, 9uu3awe8j2wf502ke5l9nwg5x, dxxo7gr1hcdzzum13rxotvk5x, 6zmrvcurwjzt9y07c85s24r85, 8az7xzsavwdqyuhal2yxml10q, 6el60ixesyykp18873zddqve2, 3ucjekvg77wnqsybahjae5iei, 5hdjbf8idy50wlf0d6qi3lk9h, 9qi8kgzemtdhtgdd0ppqsyelm, 57cbneelzdjmwvsk87sgq7omi, dr441rdowee2tvp2ufmp8itm2, dtj0nm0mjqz704pm3olqihf55, epxe17rtw23fpslr1e6cxlffu, 6pgjx4bd90q1d1vof7bonhjx0, 6i71063juhqq2d35riwhr1uqx, c2lq7lei84ba4ft8hp8jdht04",4109214593,130,4,4109214591,59,"12, 19, 3, 23, 16, 18, 21, 6, 9, 25, 13, 1, 4, 5, 7, 10, 11, 17, 27",4109214589,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4109214599,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4109214597,194,9uu3awe8j2wf502ke5l9nwg5x,4109214595,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4109330987,197,17126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522303165,2,32,1,0,0,e8os1xpomlperuedy2f9a9ttu,1,0,0,2023-03-19T12:00:42.242Z,2023-03-19T12:00:44Z,4109340309,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522303161,2,32,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2023-03-19T12:00:42.242Z,2023-03-19T12:00:42Z,4109340291,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522303175,3,1,1,0,0,e8os1xpomlperuedy2f9a9ttu,1,50.1,49.4,2023-03-19T12:00:42.342Z,2023-03-19T12:01:35Z,4109340373,279,S,4109340365,140,37.3,4109340371,213,3.1,4109340363,56,Back,4109340367,141,50.4,4109340369,212,13.5,,,,,,,4i37e3q02cbkvlhcq2dsdsr11,L. Prašnikar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522303283,4,1,1,0,2,e8os1xpomlperuedy2f9a9ttu,1,37.5,49.9,2023-03-19T12:00:45.241Z,2023-03-19T12:00:50Z,4109340831,155,,4109340833,56,Right,4109340837,141,3.8,4109340839,212,41.2,4109340843,1,,4109340835,140,63.0,4109340841,213,5.4,,,,agdmqurwrf5k6izewj4voxcdl,S. Nüsken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522303321,5,1,1,0,7,e8os1xpomlperuedy2f9a9ttu,1,64.8,2.8,2023-03-19T12:00:50.073Z,2023-03-19T12:00:53Z,4109340991,56,Right,4109340995,141,11.7,4109340993,140,63.3,4109340997,212,6.3,4109340999,213,1.8,,,,,,,,,,82attu22oztrh3s274g5yv1t5,G. Reuteler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522303341,3,45,1,0,11,2f7gua216miwsfd83rgjsn4ap,0,31.8,86.3,2023-03-19T12:00:53.658Z,2023-03-19T12:00:56Z,4109341079,285,,4109341111,233,6,4109341077,56,Back,,,,,,,,,,,,,,,,5hdjbf8idy50wlf0d6qi3lk9h,M. Berentzen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522303343,6,3,1,0,11,e8os1xpomlperuedy2f9a9ttu,1,68.2,13.7,2023-03-19T12:00:53.658Z,2023-03-19T12:00:55Z,4109341081,56,Right,4109341083,286,,4109341089,233,3,,,,,,,,,,,,,,,,4i37e3q02cbkvlhcq2dsdsr11,L. Prašnikar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522303361,7,1,1,0,12,e8os1xpomlperuedy2f9a9ttu,1,69.2,7,2023-03-19T12:00:55.129Z,2023-03-19T12:47:51Z,4109341191,213,0.9,4109341189,212,33.4,4109341179,140,89.7,4109341193,1,,4109341185,141,44.6,4109341175,56,Center,,,,,,,4i37e3q02cbkvlhcq2dsdsr11,L. Prašnikar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
