id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2548699807,1,34,16,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2023-05-14T13:12:07.987Z,2023-05-14T14:03:06Z,4277485087,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4277485085,30,"cc32rolkcvyuul5t2uearz0mh, 7cisqfcp1zysc12owj5j4zpx, u8p6vsrl3b7ndbj3cj5owlih, 874o1s057ddcizshsu10wu6t, 865nmkmx9qstpt90gc7bvp5ud, 7ektyvpzu0yj1b9dm7yfkxh3p, 7mfl844y4zw1u07g3owaxyaga, 8s3zfsb1yqt3trc1n9jcxiol, ddb1x770krfpb3tm4oie234a2, dsjuntinaobizkzy2c47npz3d, 6mj7z1yytw7jrbnbpu2mqyezu, 31kgqm4bhyekwwhye2cflt979, 31cikgu3amy77e8452p6rj816, 20ah7xw9zhbmaakbwzjzw0kph, 8ruo0cyz6gvcp7yiks9fz1ed, 152h37os35mum1wclkt5x2j56, cdzfyzjbmsg88l4r24mwx1ryt, yfdg1l58kdyyuodyqjwhwbth, eqfpy2v3q1fzy13317hwl8yc5, 9refy9w1tnwu5kt3heoo3x0yc",4277485089,59,"30, 14, 27, 19, 5, 18, 10, 13, 21, 20, 11, 1, 8, 9, 15, 16, 22, 23, 32, 37",4277485093,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4277485097,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4277485091,130,8,4277485095,194,7ektyvpzu0yj1b9dm7yfkxh3p,4277693563,197,13485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548700683,1,34,16,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2023-05-14T13:13:01.336Z,2023-05-14T13:57:40Z,4277489685,194,9uu3awe8j2wf502ke5l9nwg5x,4277489681,130,8,4277489679,59,"1, 19, 3, 6, 16, 18, 25, 21, 9, 10, 11, 4, 5, 7, 12, 13, 14, 15, 17, 23",4277489683,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4277691847,197,17872,4277489687,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4277489675,30,"9qi8kgzemtdhtgdd0ppqsyelm, 6dr16qr33t4gjz70bv5bxc8dm, ikr5jm07viu4wblicjededt6, 8az7xzsavwdqyuhal2yxml10q, 9uu3awe8j2wf502ke5l9nwg5x, dxxo7gr1hcdzzum13rxotvk5x, 3ucjekvg77wnqsybahjae5iei, 6zmrvcurwjzt9y07c85s24r85, 6el60ixesyykp18873zddqve2, epxe17rtw23fpslr1e6cxlffu, 6pgjx4bd90q1d1vof7bonhjx0, 57cbneelzdjmwvsk87sgq7omi, dr441rdowee2tvp2ufmp8itm2, dtj0nm0mjqz704pm3olqihf55, 5538ubmpq7ijg9s6fyt0qwglw, 5hdjbf8idy50wlf0d6qi3lk9h, f01nw6jfywo13d30t2j6lmivo, ccwb5o1w1wuxfie257h1m3hn8, 6i71063juhqq2d35riwhr1uqx, 8fvhkgu9pio9hcs0qhndw1239",4277489677,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548741471,2,32,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2023-05-14T14:01:55.024Z,2023-05-14T14:01:55Z,4277701467,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548741477,2,32,1,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2023-05-14T14:01:55.024Z,2023-05-14T14:01:57Z,4277701471,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548741491,3,1,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,50.1,49.7,2023-05-14T14:01:55.124Z,2023-05-14T14:01:57Z,4277701545,279,S,4277701537,140,35.8,4277701541,212,15.2,4277701535,56,Back,4277701543,213,3.0,4277701539,141,53.6,,,,,,,6el60ixesyykp18873zddqve2,R. Maier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548741525,4,1,1,0,2,2f7gua216miwsfd83rgjsn4ap,1,35.8,53.6,2023-05-14T14:01:57.836Z,2023-05-14T14:02:00Z,4277701695,141,90.8,4277701691,56,Back,4277701697,212,25.5,4277701693,140,32.6,4277701699,213,1.7,,,,,,,,,,6zmrvcurwjzt9y07c85s24r85,A. Pfluger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548741555,5,1,1,0,5,2f7gua216miwsfd83rgjsn4ap,1,32.6,90.8,2023-05-14T14:02:00.060Z,2023-05-14T14:02:03Z,4277701849,141,76.7,4277701847,140,23.1,4277701851,212,13.8,4277701853,213,3.9,4277701845,56,Back,,,,,,,,,,ikr5jm07viu4wblicjededt6,E. Touon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548741619,6,1,1,0,8,2f7gua216miwsfd83rgjsn4ap,1,26,76.4,2023-05-14T14:02:03.324Z,2023-05-14T14:02:09Z,4277702139,140,28.8,4277702147,1,,4277702143,212,39.4,4277702137,56,Back,4277702145,213,4.8,4277702141,141,18.6,,,,,,,dxxo7gr1hcdzzum13rxotvk5x,L. Ostermeier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548741633,7,1,1,0,14,2f7gua216miwsfd83rgjsn4ap,1,31.5,21.2,2023-05-14T14:02:09.628Z,2023-05-14T14:02:11Z,4277702213,56,Back,4277702217,140,26.7,4277702221,141,55.7,4277702225,213,1.8,4277702223,212,24.0,,,,,,,,,,9uu3awe8j2wf502ke5l9nwg5x,J. Meißner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548741659,8,1,1,0,16,2f7gua216miwsfd83rgjsn4ap,1,26.7,55.7,2023-05-14T14:02:11.180Z,2023-05-14T14:02:13Z,4277702313,141,80.3,4277702317,213,1.2,4277702315,212,17.7,4277702309,56,Back,4277702311,140,32.1,,,,,,,,,,8az7xzsavwdqyuhal2yxml10q,K. Piljić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
