id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/12/value,qualifier/14/value,assist,qualifier/13/value
2521350195,1,34,16,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2023-03-18T10:56:44.052Z,2023-03-18T12:08:43Z,4104309449,59,"1, 12, 13, 6, 5, 17, 18, 7, 8, 10, 24, 11, 23, 25, 27, 29, 30",4104309451,130,7,4104309457,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104309445,30,"a10v8s11xcdsyspqnyhtfipjp, f18o5qahrzbg0jrw8whefv7xl, 9kmt7flw7n65qmfe0euadfd1x, dtz4c9bzealdegjsgvdoac6ad, aa257iqvul1ksok2v3ouoe86h, 6089nfwh31ha73pl7vlla75cl, 9farsri8j50ajgnhkyur3l97t, 4y1m1y07xg9wwfnogsxtcj93p, 8fhfjo7zfz9u0xtn58qj9enrp, 9uo1lm8ntj5o5vq1jutuvtb6d, 41ojypiz2yg51sriq9sfreh1x, 3p5r6kr9afi2f4qqno6scknze, 35899uqibespufub1v01dwrmd, az6k6sihxqdq5mzsa7htvkmlm, 4wuo4yhm9bmihr1ywi0g4pvqh, dhpmw4d7pjjow643u12b84dpm, bf9vvcmhqqr78g8mw6n54xld6",4104309455,194,8fhfjo7zfz9u0xtn58qj9enrp,4104477651,197,12091,4104309453,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4104309447,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521353757,1,34,16,0,0,bpx4ib85d65u9oyhglkt36k1b,1,0,0,2023-03-18T11:08:42.684Z,2023-03-18T11:57:34Z,4104326777,30,"bpwz6mj8utvxsd9mjyxcestii, d9l67kneytb0mij099bneg1cl, 98q93f1kijhmnd79vkg83qitx, 9xbohfvww89ec7c1d97hkuj85, fpitimhwhx0wqkkrtuc10mvp, diy9eqdcrua61ao4goq5yges5, 692xxz6qlvbxhspozloeujt9l, c4tkrrhs6o8ii0wnmi5y66cwl, bwhwthiud4nqvdjy8rq1gcdsl, a5d0iik8dqj6oy803mvi4n1sl, 5uli2vvgaigz4yf05bwy81l2h, 9gusyyfm5lj82mqzrmpho16tx, 1u7a9cb0kw1l1aplw3c1ka2tx, dhv9lixpbtd4b27qmfw7cxf1m, eyssu2jrc7qnzut1tx54twlm2, 70n6epbcr1l9dvzqrddsbax2h, 1wlzoku6j132t554imm0co99l, abp387e8q3413r6zu3w1ii2cq, 9j7pz666ckpiaihmlg5daf8d0, 43ff1bhi5474qzac8fksxqz11",4104326781,59,"22, 8, 6, 25, 4, 3, 12, 31, 11, 16, 17, 1, 9, 14, 20, 23, 27, 35, 36, 37",4104326787,194,a5d0iik8dqj6oy803mvi4n1sl,4104326789,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104326783,130,8,4104436573,197,9163,4104326785,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104326779,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521377295,2,32,1,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2023-03-18T12:01:31.378Z,2023-03-18T12:01:31Z,4104445425,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521377309,2,32,1,0,0,bpx4ib85d65u9oyhglkt36k1b,1,0,0,2023-03-18T12:01:31.378Z,2023-03-18T12:01:33Z,4104445465,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521377341,3,1,1,0,0,4e5523it4v7s6kkakelbj9si5,1,49.9,50,2023-03-18T12:01:31.478Z,2023-03-18T12:01:34Z,4104445621,213,3.1,4104445617,141,50.4,4104445615,140,39.5,4104445619,212,10.9,4104445613,56,Back,4104445623,279,S,,,,,,,8fhfjo7zfz9u0xtn58qj9enrp,M. Islacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521377375,4,1,1,0,2,4e5523it4v7s6kkakelbj9si5,1,39.1,50.4,2023-03-18T12:01:34.261Z,2023-03-18T12:01:36Z,4104445813,141,63.6,4104445815,212,18.8,4104445817,213,2.6,4104445809,56,Back,4104445811,140,23.4,,,,,,,,,,6089nfwh31ha73pl7vlla75cl,S. Puntigam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521377403,5,1,1,0,5,4e5523it4v7s6kkakelbj9si5,1,23.4,63.6,2023-03-18T12:01:36.837Z,2023-03-18T12:01:39Z,4104445963,140,14.9,4104445969,213,3.9,4104445965,141,52.2,4104445967,212,11.8,4104445961,56,Back,,,,,,,,,,dtz4c9bzealdegjsgvdoac6ad,M. Moorrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521377505,6,1,1,0,8,4e5523it4v7s6kkakelbj9si5,1,14.4,50.9,2023-03-18T12:01:39.462Z,2023-03-18T12:01:46Z,4104446583,140,20.7,4104446589,213,5.0,4104446587,212,20.5,4104446585,141,22.3,4104446581,56,Back,,,,,,,,,,a10v8s11xcdsyspqnyhtfipjp,M. Klett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521377509,7,50,1,0,15,4e5523it4v7s6kkakelbj9si5,1,21.8,4.2,2023-03-18T12:01:46.738Z,2023-03-18T12:32:25Z,4104446613,56,Back,4104583773,285,,4104584849,233,58,,,,,,,,,,,,,,,,aa257iqvul1ksok2v3ouoe86h,C. Degen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521382085,58,7,1,0,15,bpx4ib85d65u9oyhglkt36k1b,0,78.2,95.8,2023-03-18T12:01:46.739Z,2023-03-18T12:32:25Z,4104469635,56,Left,4104581675,286,,4104584835,233,7,,,,,,,,,,,,,,,,5uli2vvgaigz4yf05bwy81l2h,K. Bühl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
