id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/16/value,qualifier/14/value,assist,qualifier/17/value
2460855707,1,34,16,0,0,6bl19flj1eggw2gw7sya19bof,1,0,0,2022-09-17T10:01:20.944Z,2022-09-17T11:13:10Z,3784804621,59,"1, 2, 13, 5, 4, 6, 28, 8, 9, 14, 11, 3, 20, 21, 23, 24, 29, 30",3784804629,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3784804625,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3784804619,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3784804627,194,dqpv2janh4g4qkiqx7h7vs8gl,3784804617,30,"3loe8qn8nalk7liisl2hx891x, 49bajqj50h6lrbk4gt30eeodl, cbofbntctfuhr1vqpn7eywt05, 9lt9pjnkuty7j6uwd5cvctwbt, eyx4psuhprqtodl08iimdwb11, dqpv2janh4g4qkiqx7h7vs8gl, 8ex4lsveeyet8r5aja1gjh1hx, 6l7cq8gkjb8r4i50vsd4xoo2x, 9hmgd3x5tekj4fnf0zju3i1ud, 23kah59nbx1m7ro3imaaevoph, f4g9co8i52ygweie4jjnvja39, dpwfd5fk2t1xl2sfxpuqjfe95, 9e0vedknf3fgtc6ro1y8twixh, ch8ce5l6elqfogji42wyyedat, 9vgflgmrmvq8i95t3n70sur55, b8jaoqvq01ot0l9yp0b0btwid, elrnwzbk985f5j49tn9gg9rai, 1r2f06zhqa678zqwq034m0fkl",3784994533,197,8253,3784804623,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460856925,1,34,16,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2022-09-17T10:05:12.955Z,2022-09-17T11:10:07Z,3784811009,194,dxxo7gr1hcdzzum13rxotvk5x,3784811005,130,2,3784811001,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3784811003,59,"12, 19, 29, 21, 4, 6, 18, 10, 25, 7, 13, 1, 3, 5, 9, 15, 17, 22, 27",3784811011,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3784811007,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3784949389,197,8570,3784810997,30,"5538ubmpq7ijg9s6fyt0qwglw, 6dr16qr33t4gjz70bv5bxc8dm, 565jokvoc8s75gk2h33pi4msq, 6zmrvcurwjzt9y07c85s24r85, 57cbneelzdjmwvsk87sgq7omi, 8az7xzsavwdqyuhal2yxml10q, dxxo7gr1hcdzzum13rxotvk5x, epxe17rtw23fpslr1e6cxlffu, 3ucjekvg77wnqsybahjae5iei, dtj0nm0mjqz704pm3olqihf55, 5hdjbf8idy50wlf0d6qi3lk9h, 9qi8kgzemtdhtgdd0ppqsyelm, ikr5jm07viu4wblicjededt6, dr441rdowee2tvp2ufmp8itm2, 6el60ixesyykp18873zddqve2, ccwb5o1w1wuxfie257h1m3hn8, 6i71063juhqq2d35riwhr1uqx, b540yfwpss3e0lm6s1petf3tg, c2lq7lei84ba4ft8hp8jdht04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460883211,2,32,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2022-09-17T11:01:08.205Z,2022-09-17T11:01:08Z,3784954667,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460883219,2,32,1,0,0,6bl19flj1eggw2gw7sya19bof,1,0,0,2022-09-17T11:01:08.205Z,2022-09-17T11:01:09Z,3784954679,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460883233,3,1,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,49.8,50,2022-09-17T11:01:08.305Z,2022-09-17T11:01:11Z,3784954743,56,Back,3784954749,212,18.7,3784954751,213,2.7,3784954745,140,33.4,3784954747,141,60.8,3784954753,279,S,,,,,,,3ucjekvg77wnqsybahjae5iei,V. Endemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460883271,4,1,1,0,3,2f7gua216miwsfd83rgjsn4ap,1,33,59.6,2022-09-17T11:01:11.428Z,2022-09-17T11:01:15Z,3784954943,212,18.3,3784954937,56,Back,3784954945,213,4.4,3784954939,140,27.1,3784954941,141,34.2,,,,,,,,,,6zmrvcurwjzt9y07c85s24r85,A. Pfluger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460883311,5,1,1,0,6,2f7gua216miwsfd83rgjsn4ap,1,27.1,33,2022-09-17T11:01:15.091Z,2022-09-17T11:01:20Z,3784955101,213,1.8,3784955089,56,Back,3784955091,140,22.0,3784955093,141,73.3,3784955097,212,27.9,,,,,,,,,,57cbneelzdjmwvsk87sgq7omi,N. Räcke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460883333,6,1,1,0,11,2f7gua216miwsfd83rgjsn4ap,1,22.5,73.2,2022-09-17T11:01:20.196Z,2022-09-17T11:49:15Z,3784955193,140,7.7,3784955199,213,3.9,3784955195,141,49.7,3784955191,56,Back,3784955197,212,22.3,,,,,,,,,,8az7xzsavwdqyuhal2yxml10q,K. Piljić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460883349,7,1,1,0,13,2f7gua216miwsfd83rgjsn4ap,1,7.8,49.7,2022-09-17T11:01:22.163Z,2022-09-17T11:01:26Z,3784955271,56,Back,3784955277,212,22.0,3784955273,140,22.6,3784955279,213,0.8,3784955275,141,72.6,,,,,,,,,,5538ubmpq7ijg9s6fyt0qwglw,S. Winkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460883363,8,1,1,0,18,2f7gua216miwsfd83rgjsn4ap,1,41.4,93.2,2022-09-17T11:01:26.739Z,2022-09-17T11:49:25Z,3784955387,213,6.3,3784955381,141,92.4,3784955377,140,60.7,3784955385,212,20.3,3784955373,56,Left,,,,,,,,,,8az7xzsavwdqyuhal2yxml10q,K. Piljić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
