id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/14/value,assist
2476125263,1,34,16,0,0,6bl19flj1eggw2gw7sya19bof,1,0,0,2022-10-23T11:18:35.393Z,2022-10-23T12:07:04Z,3865897929,194,6c9ed4z6hw7s5v8c9631algid,3866063511,197,8253,3865897923,59,"1, 2, 13, 5, 4, 6, 10, 8, 9, 14, 11, 3, 16, 17, 20, 21, 23, 24, 29, 30",3865897927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865897931,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865897917,30,"3loe8qn8nalk7liisl2hx891x, 49bajqj50h6lrbk4gt30eeodl, cbofbntctfuhr1vqpn7eywt05, 9lt9pjnkuty7j6uwd5cvctwbt, eyx4psuhprqtodl08iimdwb11, dqpv2janh4g4qkiqx7h7vs8gl, 6c9ed4z6hw7s5v8c9631algid, 6l7cq8gkjb8r4i50vsd4xoo2x, 9hmgd3x5tekj4fnf0zju3i1ud, 23kah59nbx1m7ro3imaaevoph, f4g9co8i52ygweie4jjnvja39, dpwfd5fk2t1xl2sfxpuqjfe95, 42k8yri0cxumhta00clvgez11, 42ah6u2wvj5tjuojzhtjiy6s5, 9e0vedknf3fgtc6ro1y8twixh, ch8ce5l6elqfogji42wyyedat, 9vgflgmrmvq8i95t3n70sur55, b8jaoqvq01ot0l9yp0b0btwid, elrnwzbk985f5j49tn9gg9rai, 1r2f06zhqa678zqwq034m0fkl",3865897921,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3865897925,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476126945,1,34,16,0,0,bpx4ib85d65u9oyhglkt36k1b,1,0,0,2022-10-23T11:22:12.782Z,2022-10-23T12:03:12Z,3865907261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865907247,30,"bpwz6mj8utvxsd9mjyxcestii, d9l67kneytb0mij099bneg1cl, 1zkoai1sdm9bbx29fi76e38ph, c4tkrrhs6o8ii0wnmi5y66cwl, 1ofsz5y4wb4pt6xp0u06hc5pl, fpitimhwhx0wqkkrtuc10mvp, 5uli2vvgaigz4yf05bwy81l2h, 9xbohfvww89ec7c1d97hkuj85, bwhwthiud4nqvdjy8rq1gcdsl, a5d0iik8dqj6oy803mvi4n1sl, 3uyzu7kyh7oe0ahcu7o22pfit, diy9eqdcrua61ao4goq5yges5, 1u7a9cb0kw1l1aplw3c1ka2tx, dhv9lixpbtd4b27qmfw7cxf1m, eyssu2jrc7qnzut1tx54twlm2, 1wlzoku6j132t554imm0co99l, avud4qv9xovwlr2pxc8fcmiuh, abp387e8q3413r6zu3w1ii2cq, 1xqldi2mul5kqpl9u3f8ckez9",3865907255,130,8,3865907251,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3865907257,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3865907253,59,"22, 8, 30, 31, 13, 4, 17, 25, 11, 16, 10, 3, 9, 14, 20, 27, 33, 35, 39",3866052461,197,8273,3865907259,194,a5d0iik8dqj6oy803mvi4n1sl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476159795,2,32,1,0,0,6bl19flj1eggw2gw7sya19bof,1,0,0,2022-10-23T12:03:41.456Z,2022-10-23T12:03:41Z,3866065401,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476159809,2,32,1,0,0,bpx4ib85d65u9oyhglkt36k1b,1,0,0,2022-10-23T12:03:41.456Z,2022-10-23T12:03:42Z,3866065485,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476159843,3,1,1,0,0,6bl19flj1eggw2gw7sya19bof,1,49.9,49.9,2022-10-23T12:03:41.556Z,2022-10-23T12:52:07Z,3866065669,212,3.7,3866065671,213,2.3,3866065663,56,Back,3866065667,141,53.8,3866065673,279,S,3866065665,140,47.5,,,,,,,9hmgd3x5tekj4fnf0zju3i1ud,E. Pajor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476159873,4,1,1,0,2,6bl19flj1eggw2gw7sya19bof,1,47.6,53,2022-10-23T12:03:43.877Z,2022-10-23T12:03:46Z,3866065799,56,Back,3866065807,212,19.0,3866065803,140,33.5,3866065805,141,35.6,3866065809,213,3.8,,,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476159905,5,1,1,0,4,6bl19flj1eggw2gw7sya19bof,1,33.5,34.4,2022-10-23T12:03:46.277Z,2022-10-23T12:03:48Z,3866065961,141,17.8,3866065965,213,5.0,3866065957,56,Back,3866065959,140,36.9,3866065963,212,11.8,,,,,,,,,,eyx4psuhprqtodl08iimdwb11,K. Hendrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476160051,6,1,1,0,6,6bl19flj1eggw2gw7sya19bof,1,36.6,17.8,2022-10-23T12:03:47.957Z,2022-10-23T12:03:56Z,3866066695,141,12.7,3866066693,140,59.2,3866066697,212,24.0,3866066691,56,Right,3866066699,213,6.1,,,,,,,,,,49bajqj50h6lrbk4gt30eeodl,L. Wilms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476160055,7,50,1,0,11,6bl19flj1eggw2gw7sya19bof,1,50.4,3.4,2022-10-23T12:03:53.367Z,2022-10-23T12:03:57Z,3866066717,286,,3866066715,56,Right,3866066807,233,3,,,,,,,,,,,,,,,,6c9ed4z6hw7s5v8c9631algid,S. Huth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476160015,3,7,1,0,11,bpx4ib85d65u9oyhglkt36k1b,1,49.6,96.6,2022-10-23T12:03:53.368Z,2022-10-23T12:03:57Z,3866066535,285,,3866066529,167,,3866066787,233,7,3866066531,56,Back,,,,,,,,,,,,,1zkoai1sdm9bbx29fi76e38ph,C. Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
