id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/15/value
2489099895,1,34,16,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2022-12-04T13:49:45.251Z,2022-12-04T15:03:06Z,3934125315,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3934125313,194,9uu3awe8j2wf502ke5l9nwg5x,3934125303,30,"5538ubmpq7ijg9s6fyt0qwglw, 6dr16qr33t4gjz70bv5bxc8dm, ikr5jm07viu4wblicjededt6, 6zmrvcurwjzt9y07c85s24r85, 9uu3awe8j2wf502ke5l9nwg5x, dxxo7gr1hcdzzum13rxotvk5x, dtj0nm0mjqz704pm3olqihf55, 8fvhkgu9pio9hcs0qhndw1239, 6el60ixesyykp18873zddqve2, 3ucjekvg77wnqsybahjae5iei, 6pgjx4bd90q1d1vof7bonhjx0, 9qi8kgzemtdhtgdd0ppqsyelm, 57cbneelzdjmwvsk87sgq7omi, dr441rdowee2tvp2ufmp8itm2, 8az7xzsavwdqyuhal2yxml10q, epxe17rtw23fpslr1e6cxlffu, 5hdjbf8idy50wlf0d6qi3lk9h, ccwb5o1w1wuxfie257h1m3hn8, 6i71063juhqq2d35riwhr1uqx, c2lq7lei84ba4ft8hp8jdht04",3934125305,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3934125307,59,"12, 19, 3, 21, 16, 18, 7, 23, 9, 25, 11, 1, 4, 5, 6, 10, 13, 15, 17, 27",3934125309,130,8,3934334961,197,17287,3934125311,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2489101999,1,34,16,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2022-12-04T13:54:07.345Z,2022-12-04T15:02:51Z,3934136259,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3934334985,197,13485,3934136265,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3934136263,130,2,3934136257,30,"bbmtozpiuyy7rtk7u87g5p79w, 7cisqfcp1zysc12owj5j4zpx, u8p6vsrl3b7ndbj3cj5owlih, 874o1s057ddcizshsu10wu6t, 865nmkmx9qstpt90gc7bvp5ud, yfdg1l58kdyyuodyqjwhwbth, 8ruo0cyz6gvcp7yiks9fz1ed, cdzfyzjbmsg88l4r24mwx1ryt, 6mj7z1yytw7jrbnbpu2mqyezu, 7ektyvpzu0yj1b9dm7yfkxh3p, 4f16klwhusyiwjej79nx4y76x, 31kgqm4bhyekwwhye2cflt979, 17a45c7qunqrxj6lezggssbo4, 31cikgu3amy77e8452p6rj816, 7mfl844y4zw1u07g3owaxyaga, 8s3zfsb1yqt3trc1n9jcxiol, 5p9ksw9re1j1ka7d3wm91pgid, dsjuntinaobizkzy2c47npz3d, 2f4mu47m5t1lhn9sp4umhjtp0, d5egroaxxqgc7dent1w6f2ve2",3934136261,59,"31, 14, 27, 19, 5, 23, 15, 22, 11, 18, 6, 1, 4, 8, 10, 13, 17, 20, 24, 26",3934136267,194,7ektyvpzu0yj1b9dm7yfkxh3p,3934136269,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2489139101,2,32,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2022-12-04T15:00:01.705Z,2022-12-04T15:00:01Z,3934337691,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489139105,2,32,1,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2022-12-04T15:00:01.705Z,2022-12-04T15:00:03Z,3934337697,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489139119,3,1,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,50.1,50.1,2022-12-04T15:00:01.805Z,2022-12-04T15:03:10Z,3934337789,279,S,3934337787,213,2.9,3934337781,140,38.7,3934337785,212,12.5,3934337783,141,55.2,3934337779,56,Back,,,,,,,3ucjekvg77wnqsybahjae5iei,V. Endemann,,,,,,,,,,,,,,,,,,,,,,,,,
2489139121,4,1,1,0,2,2f7gua216miwsfd83rgjsn4ap,0,38.7,55.2,2022-12-04T15:00:04.391Z,2022-12-04T15:00:06Z,3934337847,212,29.7,3934337841,56,Center,3934337845,141,71.5,3934337839,155,,3934337843,140,64.9,3934337849,213,0.4,,,,,,,6zmrvcurwjzt9y07c85s24r85,A. Pfluger,,,,,,,,,,,,,,,,,,,,,,,,,
2489139127,3,49,1,0,5,4moe0x01r1f5w30g38wshyftp,1,36,17.9,2022-12-04T15:00:06.836Z,2022-12-04T15:00:07Z,,,,,,,,,,,,,,,,,,,,,,,,,8ruo0cyz6gvcp7yiks9fz1ed,J. Sehan,,,,,,,,,,,,,,,,,,,,,,,,,
2489139147,4,1,1,0,8,4moe0x01r1f5w30g38wshyftp,0,35.7,7.7,2022-12-04T15:00:09.747Z,2022-12-04T15:00:10Z,3934337943,56,Back,3934337949,212,6.8,3934337945,140,42.1,3934337947,141,5.8,3934337951,213,6.1,,,,,,,,,,8ruo0cyz6gvcp7yiks9fz1ed,J. Sehan,,,,,,,,,,,,,,,,,,,,,,,,,
2489139151,5,8,1,0,9,2f7gua216miwsfd83rgjsn4ap,1,60.7,86.8,2022-12-04T15:00:10.909Z,2022-12-04T15:00:14Z,3934337957,56,Left,,,,,,,,,,,,,,,,,,,,,,ikr5jm07viu4wblicjededt6,E. Touon,,,,,,,,,,,,,,,,,,,,,,,,,
2489139177,5,5,1,0,9,4moe0x01r1f5w30g38wshyftp,1,42.8,-0.9,2022-12-04T15:00:10.931Z,2022-12-04T15:00:16Z,3934338109,233,6,3934338105,56,Back,3934338107,347,,,,,,,,,,,,,,,,,8ruo0cyz6gvcp7yiks9fz1ed,J. Sehan,,,,,,,,,,,,,,,,,,,,,,,,,
2489139159,6,5,1,0,9,2f7gua216miwsfd83rgjsn4ap,0,57.2,100.9,2022-12-04T15:00:10.931Z,2022-12-04T15:09:32Z,3934337995,56,Left,3934337997,347,,3934338113,233,5,,,,,,,,,,,,,,,,6zmrvcurwjzt9y07c85s24r85,A. Pfluger,,,,,,,,,,,,,,,,,,,,,,,,,
2489139181,6,1,1,0,14,4moe0x01r1f5w30g38wshyftp,0,43.6,0,2022-12-04T15:00:16.564Z,2022-12-04T15:00:24Z,3934338125,141,5.3,3934338133,213,0.2,3934338119,107,,3934338129,212,20.5,3934338123,140,62.7,3934338121,56,Right,,,,,,,7cisqfcp1zysc12owj5j4zpx,M. Brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,
