id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2519036055,1,34,16,0,0,nuaf3wtujl8erbciumch6c65,1,0,0,2023-03-12T11:04:14.732Z,2023-03-12T11:57:47Z,4092043777,194,bkbp6hl12kc3y8wohv9l3a66t,4092043769,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4092043773,130,8,4092043775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4092043771,59,"1, 22, 20, 18, 8, 16, 7, 17, 10, 14, 23, 3, 4, 11, 15, 19, 26, 27, 33",4092191853,197,8750,4092043767,30,"49ur7byczvl0qkqn9y2qq73s9, dh4eziicycykt8h2zr0to5tuy, 8ovibbdbs49bwwwf3bbuij3hm, axjakqkndyt2k8v2b0y97tw16, bkbp6hl12kc3y8wohv9l3a66t, 62soqddjmkrj99mvi1wivj4k5, 1f2h3qvn7d1dv5wsv63bojazu, 28fi0st48wljpt3kyee510iga, 9e95p87136h6zjam3zu0d9yol, 2iaatg2gvp5w4j27ycreiqjt, 3p9ie3u7ej9o1wpzl4aonjtd6, 65979lcr67xsnqvgtyswqubqh, 1eoc1w0vz8jmz4i0mpg20fiay, 7ubpnkf47u1os2z47fam81i7e, 2ltzk74krenmfh5gzcjpc2k4q, 6l7cn7fmomj88kfdyo9seopg5, 34ixdan8uojz66mob82kafxpm, aosbps68cdxbpvbo3ch7ppvjd, ajxlorvqcyydwbynreva0e47p",4092043779,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519037207,1,34,16,0,0,eyecbfb1ur2104bhhwazhvrf,1,0,0,2023-03-12T11:06:24.452Z,2023-03-12T12:04:01Z,4092049215,59,"1, 22, 9, 33, 5, 20, 7, 10, 16, 8, 23, 2, 6, 17, 25, 27, 28, 32",4092191673,197,12139,4092049219,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4092049221,194,d32rm12ddel0p93luuh5fq9cl,4092049211,30,"cwotwuxqimldexy77lqdh2t3p, 1l4s1w66pir9xk79jp78bxnmx, 1abadnoiq5hbwpfzzyvho4vkl, d32rm12ddel0p93luuh5fq9cl, 1oib97ihu6ofz1fvsvih0mnkl, 9nyzegdr9nu4i5jp12h8q4et, 33nggo6w6e52yqmc2pa528xd5, efynp5qo9b9x0lh9b4ft0ic8a, 9u74jd7ak8uad6lnhnthawiqd, aq30av6eea3gxh2rk7c0bzi09, 6aym6t1mr1xzv5pxvbtbn6hgp, 1mxczp7yxkjzn7umvbioobuac, 2x6hdcwn2s78i5frzj4q2s2c5, epdlb32r151kz861mljb1rs9h, y7mxuyh5olv0rh5od3p2gtt5, 5s8fprpl188pkkzn3524vph7u, 4m7aug91lxhiq1ro70u3m4etw, eiasj63pdzevyb5i64h7jzi8k",4092049223,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092049213,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4092049217,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519064765,2,32,1,0,0,nuaf3wtujl8erbciumch6c65,1,0,0,2023-03-12T12:00:16.802Z,2023-03-12T12:00:18Z,4092198939,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519064759,2,32,1,0,0,eyecbfb1ur2104bhhwazhvrf,1,0,0,2023-03-12T12:00:16.802Z,2023-03-12T12:00:16Z,4092198925,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519064777,3,1,1,0,0,eyecbfb1ur2104bhhwazhvrf,1,49.9,50.2,2023-03-12T12:00:16.902Z,2023-03-12T12:00:19Z,4092199001,141,51.2,4092198999,140,34.9,4092199005,213,3.1,4092199007,279,S,4092199003,212,15.8,4092198997,56,Back,,,,,,,9u74jd7ak8uad6lnhnthawiqd,N. Billa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519064809,4,1,1,0,2,eyecbfb1ur2104bhhwazhvrf,1,34.9,51.2,2023-03-12T12:00:19.338Z,2023-03-12T12:00:22Z,4092199175,212,19.7,4092199169,56,Back,4092199177,213,4.1,4092199173,141,26.9,4092199171,140,24.6,,,,,,,,,,d32rm12ddel0p93luuh5fq9cl,F. Dongus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519064841,5,1,1,0,5,eyecbfb1ur2104bhhwazhvrf,1,25,30.7,2023-03-12T12:00:22.682Z,2023-03-12T12:00:25Z,4092199309,56,Back,4092199313,141,71.1,4092199317,213,1.5,4092199311,140,26.7,4092199315,212,27.5,,,,,,,,,,1oib97ihu6ofz1fvsvih0mnkl,L. Bühler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519064861,6,1,1,0,8,eyecbfb1ur2104bhhwazhvrf,1,26.7,71.1,2023-03-12T12:00:25.610Z,2023-03-12T12:00:27Z,4092199395,141,93.6,4092199399,213,1.3,4092199391,56,Back,4092199393,140,30.5,4092199397,212,15.8,,,,,,,,,,9nyzegdr9nu4i5jp12h8q4et,M. Specht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519064907,7,1,1,0,10,eyecbfb1ur2104bhhwazhvrf,1,30.5,93.6,2023-03-12T12:00:27.786Z,2023-03-12T12:00:30Z,4092199597,141,67.0,4092199605,213,4.4,4092199593,140,25.5,4092199601,212,18.8,4092199589,56,Back,,,,,,,,,,1abadnoiq5hbwpfzzyvho4vkl,K. Naschenweng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519064957,8,1,1,0,13,eyecbfb1ur2104bhhwazhvrf,1,25.5,67,2023-03-12T12:00:30.522Z,2023-03-12T12:00:35Z,4092199835,140,32.6,4092199839,212,28.6,4092199841,213,5.0,4092199837,141,26.4,4092199833,56,Back,,,,,,,,,,9nyzegdr9nu4i5jp12h8q4et,M. Specht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
