id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,assist,qualifier/11/value,qualifier/16/value
2524756087,1,34,16,0,0,eyecbfb1ur2104bhhwazhvrf,1,0,0,2023-03-26T10:03:58.283Z,2023-03-26T10:59:33Z,4124538153,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4124538163,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124611171,197,8753,4124538155,59,"1, 22, 9, 33, 5, 20, 10, 7, 25, 8, 23, 2, 6, 15, 16, 17, 21, 27",4124538161,194,d32rm12ddel0p93luuh5fq9cl,4124538151,30,"cwotwuxqimldexy77lqdh2t3p, 1l4s1w66pir9xk79jp78bxnmx, 1abadnoiq5hbwpfzzyvho4vkl, d32rm12ddel0p93luuh5fq9cl, 1oib97ihu6ofz1fvsvih0mnkl, 9nyzegdr9nu4i5jp12h8q4et, efynp5qo9b9x0lh9b4ft0ic8a, 33nggo6w6e52yqmc2pa528xd5, y7mxuyh5olv0rh5od3p2gtt5, aq30av6eea3gxh2rk7c0bzi09, 6aym6t1mr1xzv5pxvbtbn6hgp, 1mxczp7yxkjzn7umvbioobuac, 2x6hdcwn2s78i5frzj4q2s2c5, az5e2aphuglamb3bts47vc00k, 9u74jd7ak8uad6lnhnthawiqd, epdlb32r151kz861mljb1rs9h, 46yjl6a3rr1djzc4qu6etlrai, 5s8fprpl188pkkzn3524vph7u",4124538157,130,4,4124538159,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524756673,1,34,16,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2023-03-26T10:06:17.703Z,2023-03-26T11:03:51Z,4124541443,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4124541453,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124609441,197,17872,4124541447,130,8,4124541441,30,"5538ubmpq7ijg9s6fyt0qwglw, 6dr16qr33t4gjz70bv5bxc8dm, dxxo7gr1hcdzzum13rxotvk5x, epxe17rtw23fpslr1e6cxlffu, 57cbneelzdjmwvsk87sgq7omi, 9uu3awe8j2wf502ke5l9nwg5x, 3ucjekvg77wnqsybahjae5iei, 8az7xzsavwdqyuhal2yxml10q, 6el60ixesyykp18873zddqve2, 6pgjx4bd90q1d1vof7bonhjx0, dtj0nm0mjqz704pm3olqihf55, 9qi8kgzemtdhtgdd0ppqsyelm, 5hdjbf8idy50wlf0d6qi3lk9h, ccwb5o1w1wuxfie257h1m3hn8, 6i71063juhqq2d35riwhr1uqx, 6zmrvcurwjzt9y07c85s24r85, 8fvhkgu9pio9hcs0qhndw1239, c2lq7lei84ba4ft8hp8jdht04",4124541449,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4124541445,59,"12, 19, 18, 10, 4, 16, 25, 6, 9, 11, 7, 1, 13, 15, 17, 21, 23, 27",4124541451,194,9uu3awe8j2wf502ke5l9nwg5x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524769753,2,32,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2023-03-26T11:00:18.060Z,2023-03-26T11:00:18Z,4124611909,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524769757,2,32,1,0,0,eyecbfb1ur2104bhhwazhvrf,1,0,0,2023-03-26T11:00:18.060Z,2023-03-26T11:00:20Z,4124611915,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524769773,3,1,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,50.4,49.5,2023-03-26T11:00:18.160Z,2023-03-26T11:00:21Z,4124611963,279,S,4124611953,56,Back,4124611955,140,36.6,4124611957,141,57.9,4124611961,213,2.8,4124611959,212,15.6,,,,,,,6el60ixesyykp18873zddqve2,R. Maier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524769785,4,1,1,0,2,2f7gua216miwsfd83rgjsn4ap,1,36.3,58.3,2023-03-26T11:00:20.901Z,2023-03-26T11:00:24Z,4124612013,141,89.8,4124612007,155,,4124612019,1,,4124612017,213,0.5,4124612011,140,75.8,4124612009,56,Left,4124612015,212,46.7,,,,8az7xzsavwdqyuhal2yxml10q,K. Piljić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524769787,5,1,1,0,6,2f7gua216miwsfd83rgjsn4ap,0,76,89.8,2023-03-26T11:00:24.500Z,2023-03-26T11:00:25Z,4124612033,213,4.2,4124612023,3,,4124612027,140,70.1,4124612029,141,72.6,4124612031,212,13.2,4124612025,56,Center,,,,,,,dtj0nm0mjqz704pm3olqihf55,A. Baaß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524769793,3,49,1,0,7,eyecbfb1ur2104bhhwazhvrf,1,29.8,23.8,2023-03-26T11:00:25.869Z,2023-03-26T11:00:26Z,,,,,,,,,,,,,,,,,,,,,,,,,efynp5qo9b9x0lh9b4ft0ic8a,G. Corley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524769809,4,1,1,0,7,eyecbfb1ur2104bhhwazhvrf,1,29.8,23.8,2023-03-26T11:00:26.029Z,2023-03-26T11:00:28Z,4124612113,212,12.3,4124612109,140,32.6,4124612111,141,6.2,4124612107,56,Back,4124612115,213,5.0,,,,,,,,,,efynp5qo9b9x0lh9b4ft0ic8a,G. Corley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524769813,5,1,1,0,10,eyecbfb1ur2104bhhwazhvrf,1,32.7,7.4,2023-03-26T11:00:28.477Z,2023-03-26T11:00:30Z,4124612129,140,19.2,4124612127,56,Back,4124612135,213,2.8,4124612131,141,14.2,4124612133,212,14.9,,,,,,,,,,1l4s1w66pir9xk79jp78bxnmx,S. Linder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
