id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId
2515942109,1,34,16,0,0,nuaf3wtujl8erbciumch6c65,1,0,0,2023-03-05T14:18:42.509Z,2023-03-05T14:56:31Z,4075852081,197,8752,4075612075,130,8,4075612083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075612073,59,"1, 26, 20, 18, 8, 16, 7, 17, 10, 14, 23, 2, 3, 4, 5, 11, 15, 19, 27, 33",4075612077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075612069,30,"49ur7byczvl0qkqn9y2qq73s9, 34ixdan8uojz66mob82kafxpm, 8ovibbdbs49bwwwf3bbuij3hm, axjakqkndyt2k8v2b0y97tw16, bkbp6hl12kc3y8wohv9l3a66t, 62soqddjmkrj99mvi1wivj4k5, 1f2h3qvn7d1dv5wsv63bojazu, 28fi0st48wljpt3kyee510iga, 9e95p87136h6zjam3zu0d9yol, 2iaatg2gvp5w4j27ycreiqjt, 3p9ie3u7ej9o1wpzl4aonjtd6, 702asj69cc2fzzns98r7hp5p0, 65979lcr67xsnqvgtyswqubqh, 1eoc1w0vz8jmz4i0mpg20fiay, 4ezh3co3xg75tx7b03cokenyt, 7ubpnkf47u1os2z47fam81i7e, 2ltzk74krenmfh5gzcjpc2k4q, 6l7cn7fmomj88kfdyo9seopg5, aosbps68cdxbpvbo3ch7ppvjd, ajxlorvqcyydwbynreva0e47p",4075612071,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4075612079,194,62soqddjmkrj99mvi1wivj4k5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515942163,1,34,16,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2023-03-05T14:18:44.376Z,2023-03-05T15:10:01Z,4075857737,197,17872,4075612367,30,"5538ubmpq7ijg9s6fyt0qwglw, dxxo7gr1hcdzzum13rxotvk5x, ikr5jm07viu4wblicjededt6, 8az7xzsavwdqyuhal2yxml10q, 57cbneelzdjmwvsk87sgq7omi, 9uu3awe8j2wf502ke5l9nwg5x, 3ucjekvg77wnqsybahjae5iei, 6i71063juhqq2d35riwhr1uqx, 6el60ixesyykp18873zddqve2, epxe17rtw23fpslr1e6cxlffu, 5hdjbf8idy50wlf0d6qi3lk9h, 9qi8kgzemtdhtgdd0ppqsyelm, dr441rdowee2tvp2ufmp8itm2, 6pgjx4bd90q1d1vof7bonhjx0, ccwb5o1w1wuxfie257h1m3hn8, 6dr16qr33t4gjz70bv5bxc8dm, 6zmrvcurwjzt9y07c85s24r85, 8fvhkgu9pio9hcs0qhndw1239, c2lq7lei84ba4ft8hp8jdht04",4075612379,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4075612371,59,"12, 18, 3, 6, 4, 16, 25, 17, 9, 10, 13, 1, 5, 11, 15, 19, 21, 23, 27",4075612375,130,8,4075612383,194,9uu3awe8j2wf502ke5l9nwg5x,4075612387,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075612369,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989733,2,32,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2023-03-05T15:01:47.956Z,2023-03-05T15:01:50Z,4075866987,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989721,2,32,1,0,0,nuaf3wtujl8erbciumch6c65,1,0,0,2023-03-05T15:01:47.956Z,2023-03-05T15:01:48Z,4075866951,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989757,3,1,1,0,0,nuaf3wtujl8erbciumch6c65,1,49.9,50.1,2023-03-05T15:01:48.056Z,2023-03-05T15:01:50Z,4075867099,213,3.5,4075867091,56,Back,4075867101,279,S,4075867095,141,43.6,4075867093,140,39.6,4075867097,212,11.7,,,,,,,9e95p87136h6zjam3zu0d9yol,L. Josten,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989789,4,1,1,0,2,nuaf3wtujl8erbciumch6c65,1,39.6,43.6,2023-03-05T15:01:50.618Z,2023-03-05T15:01:53Z,4075867263,213,3.8,4075867259,141,22.8,4075867255,56,Back,4075867257,140,22.5,4075867261,212,22.9,,,,,,,,,,28fi0st48wljpt3kyee510iga,N. Günnewig,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989839,5,1,1,0,5,nuaf3wtujl8erbciumch6c65,1,23.6,27.9,2023-03-05T15:01:53.174Z,2023-03-05T15:01:56Z,4075867525,213,1.6,4075867519,140,22.2,4075867521,141,60.5,4075867517,56,Back,4075867523,212,22.2,,,,,,,,,,bkbp6hl12kc3y8wohv9l3a66t,L. Weiss,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989895,6,1,1,0,8,nuaf3wtujl8erbciumch6c65,1,23,61.7,2023-03-05T15:01:56.278Z,2023-03-05T15:02:00Z,4075867769,140,31.3,4075867773,212,20.9,4075867775,213,1.1,4075867771,141,89.6,4075867767,56,Back,,,,,,,,,,62soqddjmkrj99mvi1wivj4k5,S. Schulte,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989923,7,1,1,0,12,nuaf3wtujl8erbciumch6c65,1,31.3,89.3,2023-03-05T15:01:59.974Z,2023-03-05T15:02:39Z,4075867915,56,Back,4075867923,213,4.4,4075867921,212,18.7,4075867919,141,63.3,4075867917,140,25.5,,,,,,,,,,bkbp6hl12kc3y8wohv9l3a66t,L. Weiss,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989959,8,1,1,0,14,nuaf3wtujl8erbciumch6c65,1,25.5,59.9,2023-03-05T15:02:02.342Z,2023-03-05T15:02:03Z,4075868105,141,24.6,4075868109,213,4.8,4075868107,212,24.2,4075868101,56,Back,4075868103,140,28.1,,,,,,,,,,62soqddjmkrj99mvi1wivj4k5,S. Schulte,,,,,,,,,,,,,,,,,,,,,,,,,,
