id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2466453247,1,34,16,0,0,6yhza3xbfafj5c9897mbkbudn,1,0,0,2022-10-02T13:15:01.427Z,2022-10-02T13:59:58Z,3814473071,130,4,3814473073,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3814473075,194,dqaq4g6ls8bl56rpd3irjt6fp,3814473069,59,"12, 2, 23, 11, 21, 16, 4, 9, 17, 18, 28, 7, 10, 13, 22, 27, 31, 33",3814473065,30,"1kv64bhvnb6bb2iva0cbot1t6, 32ofctw7kn3l8eucrhku63dg5, e6a4lxx6og97jg9qv4lplfo4p, dqaq4g6ls8bl56rpd3irjt6fp, 5sycg0t0w11j4vm43arm93v1l, 6q0njimucm06r3x7enupxpl, c2w5fyxoq2xw8xm6asrn17x7t, 2ij21gq2d0xqcyho9t49glkvd, dzisqj9zjrxdxmqeu8kof95d6, 5rcmpmxeny97slsu826vmwh61, 33rw3w7m8xbv7ojfaih6radjo, 553b1ywtlhutb6uwv04dhhqdx, 9ipu1pbzzf14ec8ebrqnq1k6i, b4g5db74cenrnd0tr3ptxo89h, cnvvojztptyxqfs8vd3fciok5, 8os606vx3apb3abv88vtbkb85, 877yaw4haawqhe5n0wlbeln56, dlhn57eu6datnx6sraqlal1w",3814689321,197,17127,3814473067,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3814473077,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466456391,1,34,16,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2022-10-02T13:17:33.704Z,2022-10-02T13:58:27Z,3814489999,130,8,3814489993,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3814691773,197,17126,3814489991,30,"5538ubmpq7ijg9s6fyt0qwglw, 6dr16qr33t4gjz70bv5bxc8dm, 565jokvoc8s75gk2h33pi4msq, dxxo7gr1hcdzzum13rxotvk5x, 57cbneelzdjmwvsk87sgq7omi, 8az7xzsavwdqyuhal2yxml10q, dtj0nm0mjqz704pm3olqihf55, 6zmrvcurwjzt9y07c85s24r85, 3ucjekvg77wnqsybahjae5iei, epxe17rtw23fpslr1e6cxlffu, 5hdjbf8idy50wlf0d6qi3lk9h, 9qi8kgzemtdhtgdd0ppqsyelm, ikr5jm07viu4wblicjededt6, dr441rdowee2tvp2ufmp8itm2, 6el60ixesyykp18873zddqve2, 6pgjx4bd90q1d1vof7bonhjx0, f01nw6jfywo13d30t2j6lmivo, 8fvhkgu9pio9hcs0qhndw1239",3814490005,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3814490009,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814489997,59,"12, 19, 29, 18, 4, 6, 7, 21, 25, 10, 13, 1, 3, 5, 9, 11, 14, 23",3814490007,194,dxxo7gr1hcdzzum13rxotvk5x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466494723,2,32,1,0,0,6yhza3xbfafj5c9897mbkbudn,1,0,0,2022-10-02T14:02:02.564Z,2022-10-02T14:02:04Z,3814702483,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466494693,2,32,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2022-10-02T14:02:02.564Z,2022-10-02T14:02:02Z,3814702313,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466494729,3,1,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,50.1,50,2022-10-02T14:02:02.664Z,2022-10-02T14:02:04Z,3814702503,56,Back,3814702505,140,37.4,3814702509,212,13.4,3814702507,141,47.5,3814702511,213,3.3,3814702513,279,S,,,,,,,3ucjekvg77wnqsybahjae5iei,V. Endemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466494745,4,1,1,0,1,2f7gua216miwsfd83rgjsn4ap,1,37.4,47.5,2022-10-02T14:02:04.471Z,2022-10-02T14:02:05Z,3814702567,56,Back,3814702569,140,36.8,3814702575,213,1.7,3814702573,212,5.5,3814702571,141,55.5,,,,,,,,,,6zmrvcurwjzt9y07c85s24r85,A. Pfluger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466494791,5,1,1,0,2,2f7gua216miwsfd83rgjsn4ap,1,36.8,55.5,2022-10-02T14:02:05.478Z,2022-10-02T14:02:08Z,3814702789,140,27.4,3814702787,56,Back,3814702791,141,35.5,3814702793,212,16.8,3814702795,213,4.1,,,,,,,,,,dxxo7gr1hcdzzum13rxotvk5x,L. Ostermeier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466494865,6,1,1,0,5,2f7gua216miwsfd83rgjsn4ap,1,28.3,33.4,2022-10-02T14:02:08.391Z,2022-10-02T14:02:15Z,3814703195,212,20.1,3814703191,140,34.1,3814703193,141,5.3,3814703197,213,5.0,3814703189,56,Back,,,,,,,,,,57cbneelzdjmwvsk87sgq7omi,N. Räcke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466494869,7,50,1,0,11,2f7gua216miwsfd83rgjsn4ap,1,33.7,3.2,2022-10-02T14:02:14.386Z,2022-10-02T14:02:16Z,3814703291,233,3,3814703295,286,,3814703205,56,Back,,,,,,,,,,,,,,,,6dr16qr33t4gjz70bv5bxc8dm,B. Sterner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466494877,3,7,1,0,11,6yhza3xbfafj5c9897mbkbudn,0,66.3,96.8,2022-10-02T14:02:14.387Z,2022-10-02T14:02:16Z,3814703259,233,7,3814703255,285,,3814703253,56,Left,,,,,,,,,,,,,,,,33rw3w7m8xbv7ojfaih6radjo,C. Zicai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466494899,8,50,1,0,15,2f7gua216miwsfd83rgjsn4ap,1,37.8,2,2022-10-02T14:02:18.023Z,2022-10-02T14:02:19Z,3814703497,233,4,3814703359,286,,3814703357,56,Back,,,,,,,,,,,,,,,,dtj0nm0mjqz704pm3olqihf55,A. Baaß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466494911,4,7,1,0,15,6yhza3xbfafj5c9897mbkbudn,1,62.2,98,2022-10-02T14:02:18.024Z,2022-10-02T14:02:19Z,3814703409,285,,3814703405,167,,3814703457,233,8,3814703407,56,Left,,,,,,,,,,,,,e6a4lxx6og97jg9qv4lplfo4p,M. Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466494917,5,5,1,0,16,6yhza3xbfafj5c9897mbkbudn,0,63.8,101.4,2022-10-02T14:02:18.900Z,2022-10-02T14:02:28Z,3814703419,56,Left,3814703421,347,,3814704041,233,9,,,,,,,,,,,,,,,,e6a4lxx6og97jg9qv4lplfo4p,M. Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495019,9,5,1,0,16,2f7gua216miwsfd83rgjsn4ap,1,36.2,-1.4,2022-10-02T14:02:18.900Z,2022-10-02T14:05:00Z,3814703987,56,Back,3814704007,233,5,3814703989,347,,,,,,,,,,,,,,,,,dtj0nm0mjqz704pm3olqihf55,A. Baaß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495079,10,1,1,0,24,2f7gua216miwsfd83rgjsn4ap,0,41.3,0,2022-10-02T14:02:27.448Z,2022-10-02T14:02:31Z,3814704319,212,28.5,3814704315,140,68.0,3814704313,56,Right,3814704311,107,,3814704317,141,5.2,3814704321,213,0.2,3814704323,1,,,,,6dr16qr33t4gjz70bv5bxc8dm,B. Sterner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495081,6,8,1,0,29,6yhza3xbfafj5c9897mbkbudn,1,30.3,89.6,2022-10-02T14:02:31.908Z,2022-10-02T14:02:32Z,3814704325,56,Back,,,,,,,,,,,,,,,,,,,,,,6q0njimucm06r3x7enupxpl,G. Stegemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495113,7,3,1,0,29,6yhza3xbfafj5c9897mbkbudn,0,33,92.2,2022-10-02T14:02:32.280Z,2022-10-02T14:02:34Z,3814704491,233,11,3814704497,285,,3814704463,56,Back,,,,,,,,,,,,,,,,2ij21gq2d0xqcyho9t49glkvd,J. Minge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495105,11,7,1,0,29,2f7gua216miwsfd83rgjsn4ap,1,67,7.8,2022-10-02T14:02:32.281Z,2022-10-02T14:02:34Z,3814704479,233,7,3814704439,286,,3814704435,56,Right,,,,,,,,,,,,,,,,3ucjekvg77wnqsybahjae5iei,V. Endemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495199,12,1,1,0,30,2f7gua216miwsfd83rgjsn4ap,0,63.8,13.8,2022-10-02T14:02:33.432Z,2022-10-02T14:02:58Z,3814704921,213,2.8,3814704919,212,19.3,3814704915,140,46.6,3814704893,56,Back,3814704917,141,24.0,,,,,,,,,,3ucjekvg77wnqsybahjae5iei,V. Endemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495153,8,8,1,0,34,6yhza3xbfafj5c9897mbkbudn,1,56.6,77.3,2022-10-02T14:02:36.707Z,2022-10-02T14:02:36Z,3814704671,56,Center,,,,,,,,,,,,,,,,,,,,,,dzisqj9zjrxdxmqeu8kof95d6,S. Fölmli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495207,13,50,1,0,36,2f7gua216miwsfd83rgjsn4ap,1,42.6,24.8,2022-10-02T14:02:39.491Z,2022-10-02T14:02:41Z,3814704983,233,9,3814704941,56,Back,3814704943,286,,,,,,,,,,,,,,,,,57cbneelzdjmwvsk87sgq7omi,N. Räcke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495195,9,7,1,0,36,6yhza3xbfafj5c9897mbkbudn,0,57.4,75.2,2022-10-02T14:02:39.492Z,2022-10-02T14:02:40Z,3814704875,56,Center,3814704877,285,,3814704979,233,13,,,,,,,,,,,,,,,,dzisqj9zjrxdxmqeu8kof95d6,S. Fölmli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495215,14,61,1,0,38,2f7gua216miwsfd83rgjsn4ap,1,45.6,25,2022-10-02T14:02:41.168Z,2022-10-02T14:02:41Z,3814705003,56,Back,,,,,,,,,,,,,,,,,,,,,,57cbneelzdjmwvsk87sgq7omi,N. Räcke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495243,10,45,1,0,40,6yhza3xbfafj5c9897mbkbudn,0,52.9,52.6,2022-10-02T14:02:42.741Z,2022-10-02T14:02:44Z,3814705111,56,Center,3814705113,285,,3814705265,233,15,,,,,,,,,,,,,,,,dqaq4g6ls8bl56rpd3irjt6fp,H. Kayikçi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495273,15,3,1,0,40,2f7gua216miwsfd83rgjsn4ap,1,47.1,47.4,2022-10-02T14:02:42.741Z,2022-10-02T14:02:44Z,3814705231,233,10,3814705217,56,Back,3814705219,286,,,,,,,,,,,,,,,,,epxe17rtw23fpslr1e6cxlffu,N. Kowalski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495289,16,1,1,0,41,2f7gua216miwsfd83rgjsn4ap,0,46.1,46.7,2022-10-02T14:02:43.656Z,2022-10-02T14:02:44Z,3814705295,56,Right,3814705299,141,0.0,3814705305,1,,3814705297,140,51.7,3814705301,212,33.6,3814705303,213,4.9,,,,,,,epxe17rtw23fpslr1e6cxlffu,N. Kowalski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495473,11,5,1,0,42,6yhza3xbfafj5c9897mbkbudn,1,47.7,101.6,2022-10-02T14:02:44.720Z,2022-10-02T14:05:00Z,3814706213,233,17,3814706191,56,Back,3814706193,347,,,,,,,,,,,,,,,,,dqaq4g6ls8bl56rpd3irjt6fp,H. Kayikçi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495309,17,5,1,0,42,2f7gua216miwsfd83rgjsn4ap,0,52.3,-1.6,2022-10-02T14:02:44.720Z,2022-10-02T14:02:56Z,3814706229,233,11,3814705385,56,Right,3814705387,347,,,,,,,,,,,,,,,,,epxe17rtw23fpslr1e6cxlffu,N. Kowalski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495509,12,1,1,0,53,6yhza3xbfafj5c9897mbkbudn,0,49.6,100,2022-10-02T14:02:56.181Z,2022-10-02T14:02:58Z,3814706391,212,19.5,3814706393,213,5.9,3814706381,56,Left,3814706379,107,,3814706389,141,92.0,3814706385,140,67.0,,,,,,,e6a4lxx6og97jg9qv4lplfo4p,M. Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495579,18,1,1,0,58,2f7gua216miwsfd83rgjsn4ap,1,23.6,8.2,2022-10-02T14:03:01.193Z,2022-10-02T14:03:19Z,3814706775,213,6.2,3814706773,212,20.0,3814706771,141,6.4,3814706765,3,,3814706769,140,42.6,3814706767,56,Back,,,,,,,57cbneelzdjmwvsk87sgq7omi,N. Räcke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495751,21,1,1,0,59,2f7gua216miwsfd83rgjsn4ap,0,21.3,2,2022-10-02T14:03:01.873Z,2022-10-02T14:03:18Z,3814707617,3,,3814707627,213,0.1,3814707621,140,26.4,3814707619,56,Back,3814707623,141,2.8,3814707625,212,5.4,,,,,,,6dr16qr33t4gjz70bv5bxc8dm,B. Sterner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
