id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2461781911,1,34,16,0,0,nuaf3wtujl8erbciumch6c65,1,0,0,2022-09-18T10:10:22.618Z,2022-09-18T10:56:49Z,3789707225,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3789707231,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3789707233,194,62soqddjmkrj99mvi1wivj4k5,3789828463,197,8752,3789707223,30,"49ur7byczvl0qkqn9y2qq73s9, dh4eziicycykt8h2zr0to5tuy, 8ovibbdbs49bwwwf3bbuij3hm, 28fi0st48wljpt3kyee510iga, bkbp6hl12kc3y8wohv9l3a66t, 62soqddjmkrj99mvi1wivj4k5, axjakqkndyt2k8v2b0y97tw16, 6l7cn7fmomj88kfdyo9seopg5, 2ltzk74krenmfh5gzcjpc2k4q, 3p9ie3u7ej9o1wpzl4aonjtd6, 9e95p87136h6zjam3zu0d9yol, 702asj69cc2fzzns98r7hp5p0, 65979lcr67xsnqvgtyswqubqh, 1eoc1w0vz8jmz4i0mpg20fiay, 1f2h3qvn7d1dv5wsv63bojazu, 7rb7zn6mvelljw1e3gbv8mmsp, 7ubpnkf47u1os2z47fam81i7e, aosbps68cdxbpvbo3ch7ppvjd, ajxlorvqcyydwbynreva0e47p",3789707227,59,"1, 22, 20, 17, 8, 16, 18, 19, 15, 23, 10, 2, 3, 4, 7, 9, 11, 27, 33",3789707235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789707229,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461786361,1,34,16,0,0,6yhza3xbfafj5c9897mbkbudn,1,0,0,2022-09-18T10:19:34.490Z,2022-09-18T11:15:24Z,3789728543,130,4,3789728541,59,"12, 2, 23, 4, 21, 9, 11, 31, 27, 18, 17, 10, 13, 16, 20, 22, 28, 33",3789728537,30,"1kv64bhvnb6bb2iva0cbot1t6, 32ofctw7kn3l8eucrhku63dg5, e6a4lxx6og97jg9qv4lplfo4p, c2w5fyxoq2xw8xm6asrn17x7t, 5sycg0t0w11j4vm43arm93v1l, 2ij21gq2d0xqcyho9t49glkvd, dqaq4g6ls8bl56rpd3irjt6fp, 877yaw4haawqhe5n0wlbeln56, 8os606vx3apb3abv88vtbkb85, 5rcmpmxeny97slsu826vmwh61, dzisqj9zjrxdxmqeu8kof95d6, 9ipu1pbzzf14ec8ebrqnq1k6i, b4g5db74cenrnd0tr3ptxo89h, 6q0njimucm06r3x7enupxpl, 2btt5j9bqn7isihjvqgr427yt, cnvvojztptyxqfs8vd3fciok5, 33rw3w7m8xbv7ojfaih6radjo, dlhn57eu6datnx6sraqlal1w",3789835847,197,12902,3789728547,194,dqaq4g6ls8bl56rpd3irjt6fp,3789728549,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789728539,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3789728545,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461810091,2,32,1,0,0,6yhza3xbfafj5c9897mbkbudn,1,0,0,2022-09-18T11:02:55.465Z,2022-09-18T11:02:57Z,3789843677,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461810075,2,32,1,0,0,nuaf3wtujl8erbciumch6c65,1,0,0,2022-09-18T11:02:55.465Z,2022-09-18T11:02:55Z,3789843637,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461810123,3,1,1,0,0,6yhza3xbfafj5c9897mbkbudn,1,50.1,50.1,2022-09-18T11:02:55.565Z,2022-09-18T11:02:59Z,3789843849,56,Back,3789843871,279,S,3789843855,141,51.2,3789843851,140,31.8,3789843865,213,3.1,3789843861,212,19.2,,,,,,,8os606vx3apb3abv88vtbkb85,G. Hoffmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461810175,4,1,1,0,3,6yhza3xbfafj5c9897mbkbudn,1,31.8,51.2,2022-09-18T11:02:59.041Z,2022-09-18T11:03:03Z,3789844131,213,2.3,3789844127,212,19.7,3789844121,141,73.2,3789844117,140,19.6,3789844113,56,Back,,,,,,,,,,c2w5fyxoq2xw8xm6asrn17x7t,M. Felde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461810205,5,1,1,0,7,6yhza3xbfafj5c9897mbkbudn,1,19.6,73.2,2022-09-18T11:03:03.154Z,2022-09-18T11:03:27Z,3789844257,213,0.8,3789844255,212,20.3,3789844251,140,32.5,3789844253,141,95.5,3789844249,56,Back,,,,,,,,,,2ij21gq2d0xqcyho9t49glkvd,J. Minge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461810227,6,1,1,0,9,6yhza3xbfafj5c9897mbkbudn,1,32.5,95.5,2022-09-18T11:03:04.849Z,2022-09-18T11:03:06Z,3789844329,141,72.6,3789844325,56,Back,3789844333,213,4.1,3789844327,140,22.7,3789844331,212,18.7,,,,,,,,,,e6a4lxx6og97jg9qv4lplfo4p,M. Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461810259,7,1,1,0,10,6yhza3xbfafj5c9897mbkbudn,1,22.7,72.6,2022-09-18T11:03:06.418Z,2022-09-18T11:03:29Z,3789844485,56,Back,3789844489,141,32.1,3789844487,140,21.8,3789844491,212,27.6,3789844493,213,4.7,,,,,,,,,,2ij21gq2d0xqcyho9t49glkvd,J. Minge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461810301,8,1,1,0,12,6yhza3xbfafj5c9897mbkbudn,1,21.8,32.1,2022-09-18T11:03:08.130Z,2022-09-18T11:03:36Z,3789844675,212,18.7,3789844673,141,6.0,3789844669,56,Back,3789844671,140,27.4,3789844677,213,5.0,,,,,,,,,,5sycg0t0w11j4vm43arm93v1l,S. Steuerwald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
