id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2548565487,1,34,16,0,0,e8os1xpomlperuedy2f9a9ttu,1,0,0,2023-05-14T10:20:21.529Z,2023-05-14T11:46:20Z,4276800615,130,3,4276800623,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276800621,194,9lubh9wmixrdw0ttdyacul33d,4276800609,30,"19widovycdmuk6erzbmwb8mw9, 90j0tep6q5ekv8r9pfwx3fbvt, 560192sxsuoxdpwpe27ibst05, 9lubh9wmixrdw0ttdyacul33d, 1knjymb11ziv7sq5m1f4tdwwl, agdmqurwrf5k6izewj4voxcdl, 82attu22oztrh3s274g5yv1t5, 4i37e3q02cbkvlhcq2dsdsr11, eq5z0yyr2uh1fvs5v2v8zipjp, 4lfl3qipc5sf2b8cec6l43ap5, f0zbdnxjsfalm8s8whu5vmklx, 4kddxgnkpjzwkucvert2bhzsa, cb60xjrkw8lilcyut0hvdlwix, 880iar754wzvc7686yiaiectm, 21b70a29k89y1dmzr82k5ugwk, 7lwa4vomudkazs99jx32sk0a2, e06uunnzydjpmmo780dhnggyd, aji2uaf4qxmbarfhrsbtxmaqd, 7wgdsggcb8kwynarcfscv5qtw, cu3fl794mtsnkfxi4jesxv9ey",4276800613,59,"1, 4, 18, 31, 33, 8, 14, 7, 10, 19, 28, 9, 16, 17, 20, 24, 26, 27, 29, 30",4276800611,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4276800619,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276892081,197,8568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548567043,1,34,16,0,0,6bl19flj1eggw2gw7sya19bof,1,0,0,2023-05-14T10:24:02.227Z,2023-05-14T11:03:58Z,4276807799,194,6c9ed4z6hw7s5v8c9631algid,4276807797,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4276807795,130,8,4276807791,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4276807801,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276807789,30,"3loe8qn8nalk7liisl2hx891x, 49bajqj50h6lrbk4gt30eeodl, cbofbntctfuhr1vqpn7eywt05, 23kah59nbx1m7ro3imaaevoph, eyx4psuhprqtodl08iimdwb11, 8g7i716knbylzqefolzb7l2vp, 6c9ed4z6hw7s5v8c9631algid, 9lt9pjnkuty7j6uwd5cvctwbt, 9hmgd3x5tekj4fnf0zju3i1ud, f4g9co8i52ygweie4jjnvja39, 9vgflgmrmvq8i95t3n70sur55, dpwfd5fk2t1xl2sfxpuqjfe95, 52w10pe7mkfv4twb2p2c5ugnp, 9e0vedknf3fgtc6ro1y8twixh, ch8ce5l6elqfogji42wyyedat, b8jaoqvq01ot0l9yp0b0btwid, 8ex4lsveeyet8r5aja1gjh1hx, elrnwzbk985f5j49tn9gg9rai, 1r2f06zhqa678zqwq034m0fkl",4276890085,197,8253,4276807793,59,"1, 2, 13, 14, 4, 31, 10, 5, 9, 11, 23, 3, 7, 20, 21, 24, 28, 29, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548585717,2,32,1,0,0,6bl19flj1eggw2gw7sya19bof,1,0,0,2023-05-14T11:03:14.643Z,2023-05-14T11:03:17Z,4276903301,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548585711,2,32,1,0,0,e8os1xpomlperuedy2f9a9ttu,1,0,0,2023-05-14T11:03:14.643Z,2023-05-14T11:03:14Z,4276903281,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548585735,3,1,1,0,0,6bl19flj1eggw2gw7sya19bof,1,50,50.1,2023-05-14T11:03:14.743Z,2023-05-14T11:56:06Z,4276903367,56,Center,4276903377,279,S,4276903375,213,5.8,4276903371,141,48.0,4276903369,140,52.8,4276903373,212,3.3,,,,,,,9hmgd3x5tekj4fnf0zju3i1ud,E. Pajor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548585761,4,1,1,0,2,6bl19flj1eggw2gw7sya19bof,1,51.7,52.8,2023-05-14T11:03:16.865Z,2023-05-14T11:03:18Z,4276903529,213,3.0,4276903521,56,Back,4276903523,140,34.5,4276903527,212,18.2,4276903525,141,55.7,,,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548585787,5,1,1,0,3,6bl19flj1eggw2gw7sya19bof,1,34.5,55.7,2023-05-14T11:03:18.642Z,2023-05-14T11:03:20Z,4276903683,141,74.6,4276903681,140,34.2,4276903679,56,Back,4276903687,213,1.6,4276903685,212,12.9,,,,,,,,,,9lt9pjnkuty7j6uwd5cvctwbt,L. Oberdorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548585801,6,1,1,0,5,6bl19flj1eggw2gw7sya19bof,1,34.2,74.6,2023-05-14T11:03:20.529Z,2023-05-14T11:04:21Z,4276903743,141,89.7,4276903741,140,38.2,4276903745,212,11.1,4276903739,56,Back,4276903747,213,1.2,,,,,,,,,,8g7i716knbylzqefolzb7l2vp,M. Hegering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548585821,7,1,1,0,7,6bl19flj1eggw2gw7sya19bof,0,38.2,89.7,2023-05-14T11:03:21.713Z,2023-05-14T11:09:55Z,4276903857,212,8.9,4276903859,213,6.1,4276903855,141,87.3,4276903853,140,46.5,4276903851,56,Back,,,,,,,,,,cbofbntctfuhr1vqpn7eywt05,F. Rauch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548585833,3,61,1,0,9,e8os1xpomlperuedy2f9a9ttu,1,53.2,8.5,2023-05-14T11:03:24.562Z,2023-05-14T11:09:40Z,4276903937,56,Right,,,,,,,,,,,,,,,,,,,,,,82attu22oztrh3s274g5yv1t5,G. Reuteler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
