id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2463550581,1,34,16,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2022-09-23T16:23:58.413Z,2022-09-23T17:15:24Z,3799074511,30,"q4va8vnwzmwtdo6qymq4ywgl, c36h9olifkg6s63uktgf1puqd, 1asefru50u06hyhmoa7d9qcx5, 54psl26zc4rs8cjnahl0jel05, 1f2ltq7gcnimsdgixp8w36eax, 2lsz8g4mvgqvartyjfud90e6t, 46wf8el37rvruhacvvbv38z1m, eyqhxpni376pocsunribu1jv9, 4h4v3c01l7hjkfnnz9ef8i5m1, 9yzs0w3tjas15ic0o2b51q86h, gvm839vxy6tkznrtw9mop17u, 2ywmv0jjr4u8jgo8gnoisx0id, 764yxrb6zqxke8l61qjd4o3qh, 3de90guq76ncq4iqhstw29u22, 8djtc44u653lmy03mnniax3l6, ed31f3of5iql0onh9uellvtnt, 2h5t74e8r147rzbett9on72sp, 2gty977zjk5dpr6o72ybepp90, 1aarhrn1ncv5mi54thh5d045w, 4fidubhquqmngl2s15ozqfip6",3799074521,194,eyqhxpni376pocsunribu1jv9,3799140657,197,8650,3799074517,130,8,3799074515,59,"27, 4, 30, 20, 24, 3, 14, 6, 11, 18, 7, 1, 2, 9, 16, 17, 22, 25, 26, 29",3799074523,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3799074513,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3799074519,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463550933,1,34,16,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2022-09-23T16:25:49.270Z,2022-09-23T17:16:21Z,3799076601,194,8fhfjo7zfz9u0xtn58qj9enrp,3799076595,59,"1, 12, 18, 15, 5, 6, 23, 17, 8, 10, 24, 3, 7, 11, 13, 16, 26, 27",3799076597,130,2,3799076591,30,"a10v8s11xcdsyspqnyhtfipjp, f18o5qahrzbg0jrw8whefv7xl, 9farsri8j50ajgnhkyur3l97t, 9vdyzvt8ehavj3sfugjoi3rze, aa257iqvul1ksok2v3ouoe86h, dtz4c9bzealdegjsgvdoac6ad, 35899uqibespufub1v01dwrmd, 6089nfwh31ha73pl7vlla75cl, 8fhfjo7zfz9u0xtn58qj9enrp, 9uo1lm8ntj5o5vq1jutuvtb6d, 41ojypiz2yg51sriq9sfreh1x, 3ubn4p929c0tv77dehaon5f1m, 4y1m1y07xg9wwfnogsxtcj93p, 3p5r6kr9afi2f4qqno6scknze, 9kmt7flw7n65qmfe0euadfd1x, 4kt9yk45t3gpq57tihninpes4, 19gypl4enklm01cxfzzbrb4yd, 4wuo4yhm9bmihr1ywi0g4pvqh",3799142383,197,17007,3799076599,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3799076603,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3799076593,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463563337,2,32,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2022-09-23T17:17:38.084Z,2022-09-23T17:17:38Z,3799144237,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463563343,2,32,1,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2022-09-23T17:17:38.084Z,2022-09-23T17:17:40Z,3799144253,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463563371,3,1,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,50.3,48.7,2022-09-23T17:17:38.184Z,2022-09-23T17:17:43Z,3799144389,213,2.8,3799144391,279,S,3799144377,56,Back,3799144385,141,56.4,3799144381,140,38.2,3799144387,212,13.7,,,,,,,4h4v3c01l7hjkfnnz9ef8i5m1,K. Kögel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463563379,4,1,1,0,5,dpp6fex0mdxsxhdct2qf66x5n,1,38.2,56.4,2022-09-23T17:17:43.530Z,2022-09-23T18:07:47Z,3799144423,140,23.7,3799144427,212,15.3,3799144421,56,Back,3799144425,141,54.9,3799144429,213,3.2,,,,,,,,,,eyqhxpni376pocsunribu1jv9,E. Senß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463563399,5,1,1,0,6,dpp6fex0mdxsxhdct2qf66x5n,1,23.7,54.9,2022-09-23T17:17:44.938Z,2022-09-23T18:07:52Z,3799144517,212,18.3,3799144513,140,21.6,3799144511,56,Back,3799144515,141,28.2,3799144519,213,4.6,,,,,,,,,,2lsz8g4mvgqvartyjfud90e6t,M. Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463563413,6,1,1,0,9,dpp6fex0mdxsxhdct2qf66x5n,0,26.5,20,2022-09-23T17:17:47.850Z,2022-09-23T17:17:50Z,3799144611,141,30.9,3799144617,1,,3799144615,213,0.2,3799144609,140,61.2,3799144607,56,Center,3799144613,212,37.2,3799144605,155,,,,,1f2ltq7gcnimsdgixp8w36eax,L. Turányi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463563419,3,1,1,0,12,4e5523it4v7s6kkakelbj9si5,0,42,72.3,2022-09-23T17:17:50.903Z,2022-09-23T17:17:51Z,3799144651,3,,3799144657,141,67.9,3799144653,56,Back,3799144655,140,45.8,3799144659,212,5.0,3799144661,213,5.6,,,,,,,dtz4c9bzealdegjsgvdoac6ad,M. Moorrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463563465,7,1,1,0,14,dpp6fex0mdxsxhdct2qf66x5n,1,58.8,35.8,2022-09-23T17:17:52.162Z,2022-09-23T17:17:57Z,3799144873,213,1.1,3799144869,141,82.1,3799144871,212,35.1,3799144867,140,73.6,3799144865,56,Left,3799144875,1,,,,,,,,46wf8el37rvruhacvvbv38z1m,J. Wirtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
