id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2472751089,1,34,16,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2022-10-16T10:08:10.409Z,2022-10-16T11:06:36Z,3848271267,197,12251,3848137751,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3848137753,194,eyqhxpni376pocsunribu1jv9,3848137747,59,"27, 13, 4, 20, 24, 2, 14, 6, 11, 18, 17, 1, 9, 16, 22, 25, 26, 29, 7",3848137755,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848137749,130,8,3848137745,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3848137743,30,"q4va8vnwzmwtdo6qymq4ywgl, dzwhmhd3jlg8yz0ijm6mz2ei1, c36h9olifkg6s63uktgf1puqd, 54psl26zc4rs8cjnahl0jel05, 1f2ltq7gcnimsdgixp8w36eax, 764yxrb6zqxke8l61qjd4o3qh, 46wf8el37rvruhacvvbv38z1m, eyqhxpni376pocsunribu1jv9, 4h4v3c01l7hjkfnnz9ef8i5m1, 9yzs0w3tjas15ic0o2b51q86h, ed31f3of5iql0onh9uellvtnt, 2ywmv0jjr4u8jgo8gnoisx0id, 3de90guq76ncq4iqhstw29u22, 8djtc44u653lmy03mnniax3l6, 2h5t74e8r147rzbett9on72sp, 2gty977zjk5dpr6o72ybepp90, 1aarhrn1ncv5mi54thh5d045w, 4fidubhquqmngl2s15ozqfip6, gvm839vxy6tkznrtw9mop17u",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472752921,1,34,16,0,0,nuaf3wtujl8erbciumch6c65,1,0,0,2022-10-16T10:13:33.269Z,2022-10-16T10:59:11Z,3848147571,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3848147565,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3848147563,30,"49ur7byczvl0qkqn9y2qq73s9, dh4eziicycykt8h2zr0to5tuy, 8ovibbdbs49bwwwf3bbuij3hm, axjakqkndyt2k8v2b0y97tw16, bkbp6hl12kc3y8wohv9l3a66t, 62soqddjmkrj99mvi1wivj4k5, 1f2h3qvn7d1dv5wsv63bojazu, 28fi0st48wljpt3kyee510iga, 2ltzk74krenmfh5gzcjpc2k4q, 9e95p87136h6zjam3zu0d9yol, 3p9ie3u7ej9o1wpzl4aonjtd6, 702asj69cc2fzzns98r7hp5p0, 65979lcr67xsnqvgtyswqubqh, 1eoc1w0vz8jmz4i0mpg20fiay, 7rb7zn6mvelljw1e3gbv8mmsp, 7ubpnkf47u1os2z47fam81i7e, 6l7cn7fmomj88kfdyo9seopg5, aosbps68cdxbpvbo3ch7ppvjd, ajxlorvqcyydwbynreva0e47p",3848147573,194,bkbp6hl12kc3y8wohv9l3a66t,3848268403,197,8750,3848147569,130,8,3848147567,59,"1, 22, 20, 18, 8, 16, 7, 17, 15, 10, 23, 2, 3, 4, 9, 11, 19, 27, 33",3848147577,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472780515,2,32,1,0,0,nuaf3wtujl8erbciumch6c65,1,0,0,2022-10-16T11:04:08.934Z,2022-10-16T11:04:09Z,3848286587,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472780521,2,32,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2022-10-16T11:04:08.934Z,2022-10-16T11:04:10Z,3848286609,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472780547,3,1,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,50.3,49.7,2022-10-16T11:04:09.034Z,2022-10-16T11:04:11Z,3848286711,212,13.8,3848286705,56,Back,3848286709,141,60.3,3848286715,279,S,3848286713,213,2.6,3848286707,140,39.1,,,,,,,4h4v3c01l7hjkfnnz9ef8i5m1,K. Kögel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472780589,4,1,1,0,2,dpp6fex0mdxsxhdct2qf66x5n,1,39.1,60.3,2022-10-16T11:04:11.796Z,2022-10-16T11:04:14Z,3848286899,56,Back,3848286901,140,23.0,3848286903,141,75.6,3848286905,212,19.8,3848286907,213,2.6,,,,,,,,,,eyqhxpni376pocsunribu1jv9,E. Senß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472780615,5,1,1,0,5,dpp6fex0mdxsxhdct2qf66x5n,1,23,75.6,2022-10-16T11:04:14.804Z,2022-10-16T11:04:16Z,3848287011,140,22.9,3848287017,213,4.7,3848287009,56,Back,3848287015,212,32.0,3848287013,141,28.6,,,,,,,,,,764yxrb6zqxke8l61qjd4o3qh,S. Ostermeier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472780651,6,1,1,0,7,dpp6fex0mdxsxhdct2qf66x5n,1,22.9,28.6,2022-10-16T11:04:16.788Z,2022-10-16T11:04:19Z,3848287183,56,Back,3848287191,212,14.1,3848287187,140,24.2,3848287189,141,7.9,3848287193,213,4.8,,,,,,,,,,1f2ltq7gcnimsdgixp8w36eax,L. Turányi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472780715,7,1,1,0,10,dpp6fex0mdxsxhdct2qf66x5n,1,24.2,7.9,2022-10-16T11:04:19.268Z,2022-10-16T11:04:23Z,3848287503,140,20.3,3848287509,141,26.0,3848287517,213,1.9,3848287513,212,13.0,3848287499,56,Back,,,,,,,,,,dzwhmhd3jlg8yz0ijm6mz2ei1,C. Siems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472780753,8,1,1,0,14,dpp6fex0mdxsxhdct2qf66x5n,1,20.3,26,2022-10-16T11:04:23.317Z,2022-10-16T11:04:26Z,3848287697,56,Back,3848287703,212,20.8,3848287705,213,2.4,3848287701,141,46.9,3848287699,140,5.8,,,,,,,,,,1f2ltq7gcnimsdgixp8w36eax,L. Turányi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472780787,9,1,1,0,17,dpp6fex0mdxsxhdct2qf66x5n,1,5.8,46.9,2022-10-16T11:04:26.676Z,2022-10-16T11:04:29Z,3848287903,140,18.2,3848287905,141,71.6,3848287901,56,Back,3848287909,213,0.9,3848287907,212,21.3,,,,,,,,,,q4va8vnwzmwtdo6qymq4ywgl,F. Repohl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472780833,10,1,1,0,20,dpp6fex0mdxsxhdct2qf66x5n,1,18.2,71.6,2022-10-16T11:04:29.253Z,2022-10-16T11:04:32Z,3848288115,212,17.4,3848288109,56,Back,3848288117,213,0.9,3848288113,141,92.4,3848288111,140,27.9,,,,,,,,,,764yxrb6zqxke8l61qjd4o3qh,S. Ostermeier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472780875,11,1,1,0,23,dpp6fex0mdxsxhdct2qf66x5n,1,27.9,92.4,2022-10-16T11:04:32.228Z,2022-10-16T11:04:34Z,3848288325,213,3.9,3848288323,212,8.4,3848288321,141,84.0,3848288317,56,Back,3848288319,140,22.0,,,,,,,,,,c36h9olifkg6s63uktgf1puqd,S. Matysik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472780923,12,1,1,0,25,dpp6fex0mdxsxhdct2qf66x5n,1,22,84,2022-10-16T11:04:34.661Z,2022-10-16T11:04:38Z,3848288545,1,,3848288543,213,4.7,3848288541,212,33.1,3848288537,140,22.0,3848288539,141,35.3,3848288535,56,Back,,,,,,,764yxrb6zqxke8l61qjd4o3qh,S. Ostermeier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472780989,13,1,1,0,29,dpp6fex0mdxsxhdct2qf66x5n,0,22,35.2,2022-10-16T11:04:38.724Z,2022-10-16T11:04:45Z,3848288951,212,21.4,3848288949,141,9.2,3848288947,140,33.4,3848288953,213,5.3,3848288943,56,Back,,,,,,,,,,1f2ltq7gcnimsdgixp8w36eax,L. Turányi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472781013,3,8,1,0,34,nuaf3wtujl8erbciumch6c65,1,53.5,88,2022-10-16T11:04:43.048Z,2022-10-16T11:04:49Z,3848289043,56,Left,,,,,,,,,,,,,,,,,,,,,,8ovibbdbs49bwwwf3bbuij3hm,J. Pollak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472781023,4,5,1,0,34,nuaf3wtujl8erbciumch6c65,0,44.6,101.6,2022-10-16T11:04:43.733Z,2022-10-16T11:04:54Z,3848289105,347,,3848289729,233,14,3848289103,56,Back,,,,,,,,,,,,,,,,8ovibbdbs49bwwwf3bbuij3hm,J. Pollak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472781121,14,5,1,0,34,dpp6fex0mdxsxhdct2qf66x5n,1,55.4,-1.6,2022-10-16T11:04:43.733Z,2022-10-16T11:21:36Z,3848289693,347,,3848289711,233,4,3848289691,56,Right,,,,,,,,,,,,,,,,dzwhmhd3jlg8yz0ijm6mz2ei1,C. Siems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472781141,15,1,1,0,45,dpp6fex0mdxsxhdct2qf66x5n,1,51.3,0,2022-10-16T11:04:54.149Z,2022-10-16T11:04:55Z,3848289799,140,71.7,3848289795,107,,3848289805,213,0.5,3848289803,212,24.4,3848289801,141,15.8,3848289809,1,,3848289797,56,Right,,,,dzwhmhd3jlg8yz0ijm6mz2ei1,C. Siems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
