id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2503329263,1,34,16,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2023-02-03T17:29:44.970Z,2023-02-03T18:18:25Z,4009177281,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009177273,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4009246697,194,9uu3awe8j2wf502ke5l9nwg5x,4009177275,59,"12, 19, 3, 21, 16, 18, 25, 6, 9, 10, 7, 1, 4, 5, 11, 13, 14, 15, 23, 30",4009177279,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009177271,30,"5538ubmpq7ijg9s6fyt0qwglw, 6dr16qr33t4gjz70bv5bxc8dm, ikr5jm07viu4wblicjededt6, 6zmrvcurwjzt9y07c85s24r85, 9uu3awe8j2wf502ke5l9nwg5x, dxxo7gr1hcdzzum13rxotvk5x, 3ucjekvg77wnqsybahjae5iei, 8az7xzsavwdqyuhal2yxml10q, 6el60ixesyykp18873zddqve2, epxe17rtw23fpslr1e6cxlffu, dtj0nm0mjqz704pm3olqihf55, 9qi8kgzemtdhtgdd0ppqsyelm, 57cbneelzdjmwvsk87sgq7omi, dr441rdowee2tvp2ufmp8itm2, 6pgjx4bd90q1d1vof7bonhjx0, 5hdjbf8idy50wlf0d6qi3lk9h, f01nw6jfywo13d30t2j6lmivo, ccwb5o1w1wuxfie257h1m3hn8, 8fvhkgu9pio9hcs0qhndw1239, dfxumze2mdsrk4qj18vvlgj6c",4009177277,130,8,4009248991,197,17287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503335639,1,34,16,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2023-02-03T17:46:04.368Z,2023-02-03T18:21:24Z,4009207931,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009248827,197,12253,4009207919,30,"19gypl4enklm01cxfzzbrb4yd, az6k6sihxqdq5mzsa7htvkmlm, 9kmt7flw7n65qmfe0euadfd1x, 76sdgmzs9ldvnnah6x7zlr7qh, 9vdyzvt8ehavj3sfugjoi3rze, 6089nfwh31ha73pl7vlla75cl, 4y1m1y07xg9wwfnogsxtcj93p, 9uo1lm8ntj5o5vq1jutuvtb6d, 35899uqibespufub1v01dwrmd, 8fhfjo7zfz9u0xtn58qj9enrp, 41ojypiz2yg51sriq9sfreh1x, a10v8s11xcdsyspqnyhtfipjp, aa257iqvul1ksok2v3ouoe86h, dtz4c9bzealdegjsgvdoac6ad, 3p5r6kr9afi2f4qqno6scknze, 4kt9yk45t3gpq57tihninpes4, 9farsri8j50ajgnhkyur3l97t, 4wuo4yhm9bmihr1ywi0g4pvqh",4009207921,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4009207929,194,8fhfjo7zfz9u0xtn58qj9enrp,4009207927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4009207923,59,"26, 25, 13, 9, 15, 17, 7, 10, 23, 8, 24, 1, 5, 6, 11, 16, 18, 27",4009207925,130,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503344673,2,32,1,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2023-02-03T18:15:34.796Z,2023-02-03T18:15:36Z,4009253205,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503344667,2,32,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2023-02-03T18:15:34.796Z,2023-02-03T18:15:34Z,4009253195,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503344691,3,1,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,50.2,50.1,2023-02-03T18:15:34.896Z,2023-02-03T18:15:38Z,4009253281,140,37.8,4009253279,56,Back,4009253287,213,3.1,4009253289,279,S,4009253283,141,51.6,4009253285,212,13.1,,,,,,,6el60ixesyykp18873zddqve2,R. Maier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503344717,4,1,1,0,3,2f7gua216miwsfd83rgjsn4ap,1,43.9,53,2023-02-03T18:15:38.492Z,2023-02-03T18:16:11Z,4009253385,155,,4009253389,140,66.3,4009253391,141,75.0,4009253387,56,Center,4009253395,213,0.6,4009253393,212,27.9,,,,,,,8az7xzsavwdqyuhal2yxml10q,K. Piljić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503344727,5,1,1,0,7,2f7gua216miwsfd83rgjsn4ap,1,61.4,75,2023-02-03T18:15:41.900Z,2023-02-03T18:15:43Z,4009253455,56,Left,4009253459,141,91.1,4009253465,213,1.1,4009253461,212,12.1,4009253457,140,66.4,,,,,,,,,,dtj0nm0mjqz704pm3olqihf55,A. Baaß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503344739,6,1,1,0,8,2f7gua216miwsfd83rgjsn4ap,1,66.4,91.1,2023-02-03T18:15:43.148Z,2023-02-03T18:15:45Z,4009253539,56,Left,4009253547,213,5.2,4009253541,140,70.2,4009253545,212,8.0,4009253543,141,80.9,,,,,,,,,,ikr5jm07viu4wblicjededt6,E. Touon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503344743,7,1,1,0,10,2f7gua216miwsfd83rgjsn4ap,0,70.2,81.2,2023-02-03T18:15:45.532Z,2023-02-03T18:15:47Z,4009253555,140,71.6,4009253553,56,Left,4009253559,212,1.8,4009253589,233,3,4009253587,236,,4009253557,141,79.7,4009253593,286,,4009253561,213,5.7,dtj0nm0mjqz704pm3olqihf55,A. Baaß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503344745,3,74,1,0,10,4e5523it4v7s6kkakelbj9si5,1,27.8,22.5,2023-02-03T18:15:45.533Z,2023-02-03T19:08:48Z,4009253623,233,7,4009253565,285,,4009253563,56,Back,,,,,,,,,,,,,,,,76sdgmzs9ldvnnah6x7zlr7qh,A. Achcińska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
