id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2487757771,1,34,16,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2022-11-26T14:13:44.163Z,2022-11-26T15:03:41Z,3927025147,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3927025135,30,"cc32rolkcvyuul5t2uearz0mh, 7cisqfcp1zysc12owj5j4zpx, u8p6vsrl3b7ndbj3cj5owlih, yfdg1l58kdyyuodyqjwhwbth, 20ah7xw9zhbmaakbwzjzw0kph, 865nmkmx9qstpt90gc7bvp5ud, 7ektyvpzu0yj1b9dm7yfkxh3p, 4f16klwhusyiwjej79nx4y76x, cdzfyzjbmsg88l4r24mwx1ryt, 6mj7z1yytw7jrbnbpu2mqyezu, 8ruo0cyz6gvcp7yiks9fz1ed, bbmtozpiuyy7rtk7u87g5p79w, 31cikgu3amy77e8452p6rj816, 7mfl844y4zw1u07g3owaxyaga, 8s3zfsb1yqt3trc1n9jcxiol, 5p9ksw9re1j1ka7d3wm91pgid, 874o1s057ddcizshsu10wu6t, dsjuntinaobizkzy2c47npz3d, 2f4mu47m5t1lhn9sp4umhjtp0, d5egroaxxqgc7dent1w6f2ve2",3927117661,197,12245,3927025143,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3927025141,130,18,3927025139,59,"30, 14, 27, 23, 9, 5, 18, 6, 22, 11, 15, 31, 8, 10, 13, 17, 19, 20, 24, 26",3927025145,194,7ektyvpzu0yj1b9dm7yfkxh3p,3927025137,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487758785,1,34,16,0,0,6yhza3xbfafj5c9897mbkbudn,1,0,0,2022-11-26T14:15:55.524Z,2022-11-26T15:09:44Z,3927030589,59,"12, 2, 13, 4, 21, 16, 11, 9, 27, 7, 28, 1, 10, 18, 20, 22, 23, 31",3927030595,194,dqaq4g6ls8bl56rpd3irjt6fp,3927030587,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3927030593,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3927030591,130,4,3927030585,30,"1kv64bhvnb6bb2iva0cbot1t6, 32ofctw7kn3l8eucrhku63dg5, b4g5db74cenrnd0tr3ptxo89h, c2w5fyxoq2xw8xm6asrn17x7t, 5sycg0t0w11j4vm43arm93v1l, 6q0njimucm06r3x7enupxpl, dqaq4g6ls8bl56rpd3irjt6fp, 2ij21gq2d0xqcyho9t49glkvd, 8os606vx3apb3abv88vtbkb85, 553b1ywtlhutb6uwv04dhhqdx, 33rw3w7m8xbv7ojfaih6radjo, ango7gke2apqzfzsugq6983it, 9ipu1pbzzf14ec8ebrqnq1k6i, 5rcmpmxeny97slsu826vmwh61, 2btt5j9bqn7isihjvqgr427yt, cnvvojztptyxqfs8vd3fciok5, e6a4lxx6og97jg9qv4lplfo4p, 877yaw4haawqhe5n0wlbeln56",3927117403,197,8543,3927030597,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487775851,2,32,1,0,0,6yhza3xbfafj5c9897mbkbudn,1,0,0,2022-11-26T15:02:06.432Z,2022-11-26T15:02:08Z,3927123005,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487775847,2,32,1,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2022-11-26T15:02:06.432Z,2022-11-26T15:02:06Z,3927122987,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487775887,3,1,1,0,0,4moe0x01r1f5w30g38wshyftp,1,50,50,2022-11-26T15:02:06.532Z,2022-11-26T15:02:11Z,3927123181,140,36.4,3927123183,141,50.9,3927123185,212,14.3,3927123179,56,Back,3927123187,213,3.1,3927123189,279,S,,,,,,,6mj7z1yytw7jrbnbpu2mqyezu,M. Sternad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487775903,4,1,1,0,4,4moe0x01r1f5w30g38wshyftp,1,36.4,50.9,2022-11-26T15:02:11.114Z,2022-11-26T15:02:12Z,3927123281,140,21.2,3927123277,56,Back,3927123285,141,52.7,3927123293,213,3.1,3927123289,212,16.0,,,,,,,,,,8ruo0cyz6gvcp7yiks9fz1ed,J. Sehan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487775949,5,1,1,0,6,4moe0x01r1f5w30g38wshyftp,1,21.2,52.7,2022-11-26T15:02:12.554Z,2022-11-26T15:02:16Z,3927123481,140,12.0,3927123483,141,46.3,3927123479,56,Back,3927123485,212,10.6,3927123487,213,3.6,,,,,,,,,,20ah7xw9zhbmaakbwzjzw0kph,K. Schiechtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487775963,6,1,1,0,9,4moe0x01r1f5w30g38wshyftp,1,14.2,41.6,2022-11-26T15:02:16.007Z,2022-11-26T15:02:17Z,3927123561,213,5.1,3927123553,56,Back,3927123559,212,25.6,3927123555,140,22.9,3927123557,141,6.4,,,,,,,,,,cc32rolkcvyuul5t2uearz0mh,A. Borbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487776009,7,1,1,0,11,4moe0x01r1f5w30g38wshyftp,1,21.7,8.9,2022-11-26T15:02:17.565Z,2022-11-26T15:02:22Z,3927123829,141,46.3,3927123831,212,28.6,3927123833,213,2.0,3927123823,56,Back,3927123827,140,9.3,,,,,,,,,,865nmkmx9qstpt90gc7bvp5ud,M. Ulbrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487776023,8,1,1,0,15,4moe0x01r1f5w30g38wshyftp,1,13.3,46,2022-11-26T15:02:21.878Z,2022-11-26T15:02:24Z,3927123907,140,15.3,3927123909,141,16.4,3927123905,56,Back,3927123911,212,20.2,3927123913,213,4.8,,,,,,,,,,cc32rolkcvyuul5t2uearz0mh,A. Borbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
