id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/14/value,qualifier/12/value
2487712533,1,34,16,0,0,e8os1xpomlperuedy2f9a9ttu,1,0,0,2022-11-26T12:12:40.482Z,2022-11-26T13:10:52Z,3926780715,194,9lubh9wmixrdw0ttdyacul33d,3926780713,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3926780707,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3926862405,197,8568,3926780705,30,"19widovycdmuk6erzbmwb8mw9, 90j0tep6q5ekv8r9pfwx3fbvt, 560192sxsuoxdpwpe27ibst05, 9lubh9wmixrdw0ttdyacul33d, 1knjymb11ziv7sq5m1f4tdwwl, agdmqurwrf5k6izewj4voxcdl, f0zbdnxjsfalm8s8whu5vmklx, aji2uaf4qxmbarfhrsbtxmaqd, eq5z0yyr2uh1fvs5v2v8zipjp, 4i37e3q02cbkvlhcq2dsdsr11, 82attu22oztrh3s274g5yv1t5, 6it8xm0dvsxfalk0t0038azh0, 7fsubsa693f0e3miheubefxpm, 94w3ew434c7p7rnuq5bxieqqd, 880iar754wzvc7686yiaiectm, 4lfl3qipc5sf2b8cec6l43ap5, aoyar6ognwwp1t137fvvl2u50, c414n2dnu7om57lqw789mrp7u, e06uunnzydjpmmo780dhnggyd, cu3fl794mtsnkfxi4jesxv9ey",3926780717,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3926780711,130,4,3926780709,59,"1, 4, 18, 31, 33, 8, 28, 27, 10, 7, 14, 11, 12, 13, 17, 19, 21, 23, 26, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487714813,1,34,16,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2022-11-26T12:17:53.187Z,2022-11-26T12:56:43Z,3926793607,194,eyqhxpni376pocsunribu1jv9,3926793597,30,"q4va8vnwzmwtdo6qymq4ywgl, dzwhmhd3jlg8yz0ijm6mz2ei1, 1asefru50u06hyhmoa7d9qcx5, eyqhxpni376pocsunribu1jv9, 2lsz8g4mvgqvartyjfud90e6t, 1aarhrn1ncv5mi54thh5d045w, 9yzs0w3tjas15ic0o2b51q86h, 9oq5f3fgf6g9vyc965o35127e, ed31f3of5iql0onh9uellvtnt, 4h4v3c01l7hjkfnnz9ef8i5m1, gvm839vxy6tkznrtw9mop17u, 2ywmv0jjr4u8jgo8gnoisx0id, 764yxrb6zqxke8l61qjd4o3qh, 3de90guq76ncq4iqhstw29u22, 46wf8el37rvruhacvvbv38z1m, 8djtc44u653lmy03mnniax3l6, 54psl26zc4rs8cjnahl0jel05, 2h5t74e8r147rzbett9on72sp, 1f2ltq7gcnimsdgixp8w36eax, 4fidubhquqmngl2s15ozqfip6",3926793601,59,"27, 13, 30, 6, 3, 26, 18, 8, 17, 11, 7, 1, 2, 9, 14, 16, 20, 22, 24, 29",3926793605,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3926793603,130,8,3926866791,197,8650,3926793599,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3926793609,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487729103,2,32,1,0,0,e8os1xpomlperuedy2f9a9ttu,1,0,0,2022-11-26T13:00:15.984Z,2022-11-26T13:00:18Z,3926871977,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487729091,2,32,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2022-11-26T13:00:15.984Z,2022-11-26T13:00:16Z,3926871923,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487729107,3,1,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,50,50,2022-11-26T13:00:16.084Z,2022-11-26T13:00:18Z,3926871987,212,16.5,3926871981,56,Back,3926871983,140,34.4,3926871991,279,S,3926871985,141,52.7,3926871989,213,3.0,,,,,,,ed31f3of5iql0onh9uellvtnt,A. Arfaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487729119,4,1,1,0,2,dpp6fex0mdxsxhdct2qf66x5n,1,34.4,52.7,2022-11-26T13:00:18.701Z,2022-11-26T13:00:20Z,3926872025,56,Back,3926872031,212,12.2,3926872029,141,38.6,3926872027,140,27.2,3926872033,213,4.0,,,,,,,,,,eyqhxpni376pocsunribu1jv9,E. Senß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487729129,5,1,1,0,4,dpp6fex0mdxsxhdct2qf66x5n,1,27.2,38.6,2022-11-26T13:00:20.397Z,2022-11-26T13:00:22Z,3926872067,56,Back,3926872075,213,5.2,3926872073,212,16.8,3926872069,140,34.7,3926872071,141,16.8,,,,,,,,,,2lsz8g4mvgqvartyjfud90e6t,M. Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487729131,6,1,1,0,6,dpp6fex0mdxsxhdct2qf66x5n,0,33.7,18,2022-11-26T13:00:22.749Z,2022-11-26T13:00:25Z,3926872137,233,3,3926872085,212,2.5,3926872083,141,18.0,3926872133,236,,3926872081,140,36.1,3926872145,286,,3926872079,56,Back,3926872087,213,0.0,dzwhmhd3jlg8yz0ijm6mz2ei1,C. Siems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487729139,3,74,1,0,6,e8os1xpomlperuedy2f9a9ttu,1,66.4,90.8,2022-11-26T13:00:22.750Z,2022-11-26T13:12:34Z,3926872147,233,6,3926872123,56,Left,3926872125,285,,,,,,,,,,,,,,,,,82attu22oztrh3s274g5yv1t5,G. Reuteler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487729147,4,5,1,0,8,e8os1xpomlperuedy2f9a9ttu,0,66.4,101.6,2022-11-26T13:00:24.722Z,2022-11-26T13:02:09Z,3926872421,233,7,3926872173,56,Left,3926872175,347,,,,,,,,,,,,,,,,,82attu22oztrh3s274g5yv1t5,G. Reuteler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
