id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/14/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2504329687,1,34,16,0,0,eyecbfb1ur2104bhhwazhvrf,1,0,0,2023-02-05T11:30:32.425Z,2023-02-05T12:09:58Z,4014408679,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4014408685,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4014408683,130,8,4014408677,30,"cwotwuxqimldexy77lqdh2t3p, aq30av6eea3gxh2rk7c0bzi09, 1abadnoiq5hbwpfzzyvho4vkl, efynp5qo9b9x0lh9b4ft0ic8a, 25ord6k6oglqdzt77nrs19e5l, 9nyzegdr9nu4i5jp12h8q4et, 9u74jd7ak8uad6lnhnthawiqd, d32rm12ddel0p93luuh5fq9cl, 1lafqq1ic48v5500r8b0uprdh, 33nggo6w6e52yqmc2pa528xd5, 6aym6t1mr1xzv5pxvbtbn6hgp, 1mxczp7yxkjzn7umvbioobuac, 2x6hdcwn2s78i5frzj4q2s2c5, epdlb32r151kz861mljb1rs9h, 1l4s1w66pir9xk79jp78bxnmx, y7mxuyh5olv0rh5od3p2gtt5, 5s8fprpl188pkkzn3524vph7u, 4m7aug91lxhiq1ro70u3m4etw",4014408689,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014408681,59,"1, 8, 9, 10, 31, 20, 16, 33, 18, 7, 23, 2, 6, 17, 22, 25, 27, 28",4014488227,197,8753,4014408687,194,d32rm12ddel0p93luuh5fq9cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504333145,1,34,16,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,0,0,2023-02-05T11:38:16.077Z,2023-02-05T12:04:55Z,4014428157,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4014428161,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014428151,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4014478519,197,17029,4014428159,194,aemsodynsywxzi5m7czbenob9,4014428149,30,"biomno1rhjrnhw59fs2yisktm, mx0xcrbamcrs77w7socdzv11, d11imdjqgfg7c0vo1te98rvv8, aemsodynsywxzi5m7czbenob9, 2g09uohghh7k9c8de566k2led, 536gqq71ria9n0bbncfzagru, ac6txr5931brb1tib9d92ok8a, c45vx4712w32k3ttlgoijkhuy, 5g1fqltglztt6p9j20iwshbvu, 7xplwmgnz56mfkdwnjwep632s, 2b6315hlohr62lm3xzz5qidey, cwego71othceguyo85tw2m4iy, 4trepwlcclo2elj3epyrs0ep6, qirr699c3gjdqq420ssd9vit, 1tq2p5cd8gwndv33rrfl7zlxx, b9gxo2rldtuz9mi8lzgnm0mxg, 4ka05s9qgwog73yx3dsyp1s7o, 3l3ieiqvyz79tzfkniys3ifl6",4014428155,130,2,4014428153,59,"32, 21, 5, 17, 14, 23, 47, 8, 28, 20, 19, 9, 10, 11, 22, 25, 30, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504344149,2,32,1,0,0,eyecbfb1ur2104bhhwazhvrf,1,0,0,2023-02-05T12:02:49.270Z,2023-02-05T12:02:51Z,4014488517,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504344145,2,32,1,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,0,0,2023-02-05T12:02:49.270Z,2023-02-05T12:02:49Z,4014488515,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504344169,3,1,1,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,49.7,49.9,2023-02-05T12:02:49.370Z,2023-02-05T12:02:52Z,4014488613,56,Back,4014488615,140,32.2,4014488623,279,S,4014488621,213,2.7,4014488617,141,62.6,4014488619,212,20.3,,,,,,,5g1fqltglztt6p9j20iwshbvu,S. Heeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504344179,4,1,1,0,3,bax97wqmyvdu4xygi7wzcvdzd,1,31.8,61.8,2023-02-05T12:02:52.730Z,2023-02-05T12:02:54Z,4014488693,56,Back,4014488695,140,22.0,4014488697,141,34.3,4014488701,213,4.2,4014488699,212,21.3,,,,,,,,,,c45vx4712w32k3ttlgoijkhuy,V. Fürst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504344197,5,1,1,0,4,bax97wqmyvdu4xygi7wzcvdzd,1,22,34.3,2023-02-05T12:02:53.914Z,2023-02-05T12:02:56Z,4014488809,141,47.9,4014488813,213,2.6,4014488805,56,Back,4014488807,140,6.7,4014488811,212,18.5,,,,,,,,,,2g09uohghh7k9c8de566k2led,E. Henriksen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504344229,6,1,1,0,7,bax97wqmyvdu4xygi7wzcvdzd,0,6.7,47.9,2023-02-05T12:02:56.570Z,2023-02-05T12:03:00Z,4014488957,157,,4014488961,140,54.7,4014488969,1,,4014488967,213,6.1,4014488965,212,50.9,4014488959,56,Center,4014488963,141,37.7,,,,biomno1rhjrnhw59fs2yisktm,E. Mahmutovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504344279,3,1,1,0,11,eyecbfb1ur2104bhhwazhvrf,1,48.6,59.6,2023-02-05T12:03:00.992Z,2023-02-05T13:54:37Z,4014489145,140,68.1,4014489143,56,Center,4014489147,141,54.8,4014489149,212,20.7,4014489151,213,6.1,4014489141,3,,,,,,,,9nyzegdr9nu4i5jp12h8q4et,M. Specht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504344285,4,1,1,0,13,eyecbfb1ur2104bhhwazhvrf,0,68.2,54.8,2023-02-05T12:03:03.054Z,2023-02-05T13:54:40Z,4014489193,141,35.8,4014489195,212,13.1,4014489197,213,4.9,4014489187,3,,4014489189,56,Center,4014489191,140,70.1,,,,,,,9u74jd7ak8uad6lnhnthawiqd,N. Billa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
