id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2548560909,1,34,16,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,0,0,2023-05-14T10:09:08.094Z,2023-05-14T10:58:39Z,4276778891,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276778887,59,"32, 21, 25, 7, 8, 5, 19, 10, 11, 47, 17, 6, 9, 13, 20, 22, 23, 28, 30, 33",4276778893,194,aemsodynsywxzi5m7czbenob9,4276778883,30,"biomno1rhjrnhw59fs2yisktm, mx0xcrbamcrs77w7socdzv11, b9gxo2rldtuz9mi8lzgnm0mxg, 380wlef6rk03khlb0t5elb04q, c45vx4712w32k3ttlgoijkhuy, d11imdjqgfg7c0vo1te98rvv8, 2b6315hlohr62lm3xzz5qidey, 4trepwlcclo2elj3epyrs0ep6, qirr699c3gjdqq420ssd9vit, ac6txr5931brb1tib9d92ok8a, aemsodynsywxzi5m7czbenob9, c6g4g3t6fi6pg14zdmw3uvasq, cwego71othceguyo85tw2m4iy, 6snu37yc5c4kl9i3eg92ndams, 7xplwmgnz56mfkdwnjwep632s, 1tq2p5cd8gwndv33rrfl7zlxx, 536gqq71ria9n0bbncfzagru, 5g1fqltglztt6p9j20iwshbvu, 4ka05s9qgwog73yx3dsyp1s7o, 3l3ieiqvyz79tzfkniys3ifl6",4276778895,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276778885,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4276778889,130,8,4276891137,197,17496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548562113,1,34,16,0,0,6yhza3xbfafj5c9897mbkbudn,1,0,0,2023-05-14T10:12:16.765Z,2023-05-14T11:22:37Z,4276784667,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276784661,130,4,4276784665,194,dqaq4g6ls8bl56rpd3irjt6fp,4276784663,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4276891903,197,12902,4276784659,59,"1, 2, 23, 4, 21, 5, 11, 9, 27, 13, 18, 26, 7, 10, 20, 22, 28",4276784655,30,"ango7gke2apqzfzsugq6983it, 32ofctw7kn3l8eucrhku63dg5, e6a4lxx6og97jg9qv4lplfo4p, c2w5fyxoq2xw8xm6asrn17x7t, 5sycg0t0w11j4vm43arm93v1l, 8aibvmivjl0icinhglit7ltqt, dqaq4g6ls8bl56rpd3irjt6fp, 2ij21gq2d0xqcyho9t49glkvd, 8os606vx3apb3abv88vtbkb85, b4g5db74cenrnd0tr3ptxo89h, 5rcmpmxeny97slsu826vmwh61, 9477gkbyjyubkseqz2fq49y3t, 553b1ywtlhutb6uwv04dhhqdx, 9ipu1pbzzf14ec8ebrqnq1k6i, 2btt5j9bqn7isihjvqgr427yt, cnvvojztptyxqfs8vd3fciok5, 33rw3w7m8xbv7ojfaih6radjo",4276784657,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548584383,2,32,1,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,0,0,2023-05-14T11:00:59.641Z,2023-05-14T11:00:59Z,4276896329,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548584385,2,32,1,0,0,6yhza3xbfafj5c9897mbkbudn,1,0,0,2023-05-14T11:00:59.641Z,2023-05-14T11:01:01Z,4276896333,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548584403,3,1,1,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,50.2,50,2023-05-14T11:00:59.741Z,2023-05-14T11:01:02Z,4276896433,212,18.0,4276896427,56,Back,4276896435,213,3.5,4276896431,141,39.7,4276896437,279,S,4276896429,140,34.4,,,,,,,qirr699c3gjdqq420ssd9vit,D. Hoppius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548584427,4,1,1,0,2,bax97wqmyvdu4xygi7wzcvdzd,1,35.6,40.7,2023-05-14T11:01:02.468Z,2023-05-14T11:01:07Z,4276896575,213,3.7,4276896573,212,12.5,4276896569,140,25.6,4276896567,56,Back,4276896571,141,30.6,,,,,,,,,,4trepwlcclo2elj3epyrs0ep6,M. Günster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548584447,5,1,1,0,7,bax97wqmyvdu4xygi7wzcvdzd,1,27.4,24.3,2023-05-14T11:01:07.027Z,2023-05-14T11:01:09Z,4276896697,213,5.3,4276896689,140,34.6,4276896691,141,7.3,4276896687,56,Back,4276896693,212,13.8,,,,,,,,,,c45vx4712w32k3ttlgoijkhuy,V. Fürst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548584481,6,1,1,0,9,bax97wqmyvdu4xygi7wzcvdzd,1,31.2,5.5,2023-05-14T11:01:09.427Z,2023-05-14T11:01:11Z,4276896855,56,Right,4276896861,212,21.7,4276896859,141,13.1,4276896857,140,51.3,4276896863,213,0.2,,,,,,,,,,mx0xcrbamcrs77w7socdzv11,S. Freutel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548584489,7,1,1,0,11,bax97wqmyvdu4xygi7wzcvdzd,1,51.3,13.1,2023-05-14T11:01:11.091Z,2023-05-14T11:01:11Z,4276896889,56,Back,4276896899,213,2.7,4276896891,140,39.0,4276896921,156,,4276896893,141,22.7,4276896895,212,14.5,,,,,,,2b6315hlohr62lm3xzz5qidey,A. Halverkamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548584559,8,1,1,0,13,bax97wqmyvdu4xygi7wzcvdzd,0,39,22.4,2023-05-14T11:01:12.803Z,2023-05-14T11:01:17Z,4276897243,56,Right,4276897253,1,,4276897245,140,71.2,4276897251,213,6.1,4276897247,141,11.3,4276897249,212,34.6,,,,,,,4trepwlcclo2elj3epyrs0ep6,M. Günster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
