id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2527288847,1,34,16,0,0,nuaf3wtujl8erbciumch6c65,1,0,0,2023-04-02T10:01:42.968Z,2023-04-02T10:58:11Z,4156600093,30,"49ur7byczvl0qkqn9y2qq73s9, dh4eziicycykt8h2zr0to5tuy, 8ovibbdbs49bwwwf3bbuij3hm, 6l7cn7fmomj88kfdyo9seopg5, bkbp6hl12kc3y8wohv9l3a66t, 62soqddjmkrj99mvi1wivj4k5, 1f2h3qvn7d1dv5wsv63bojazu, 28fi0st48wljpt3kyee510iga, 2ltzk74krenmfh5gzcjpc2k4q, 2iaatg2gvp5w4j27ycreiqjt, 3p9ie3u7ej9o1wpzl4aonjtd6, 702asj69cc2fzzns98r7hp5p0, 65979lcr67xsnqvgtyswqubqh, 1eoc1w0vz8jmz4i0mpg20fiay, 4ezh3co3xg75tx7b03cokenyt, 7rb7zn6mvelljw1e3gbv8mmsp, 7ubpnkf47u1os2z47fam81i7e, 34ixdan8uojz66mob82kafxpm, ajxlorvqcyydwbynreva0e47p",4156600101,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4156806723,197,8752,4156600095,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4156600099,130,8,4156600105,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156600103,194,62soqddjmkrj99mvi1wivj4k5,4156600097,59,"1, 22, 20, 19, 8, 16, 7, 17, 15, 14, 23, 2, 3, 4, 5, 9, 11, 26, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527291927,1,34,16,0,0,bpx4ib85d65u9oyhglkt36k1b,1,0,0,2023-04-02T10:08:04.937Z,2023-04-02T10:58:22Z,4156615233,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156615227,130,8,4156615221,30,"bpwz6mj8utvxsd9mjyxcestii, 98q93f1kijhmnd79vkg83qitx, eyssu2jrc7qnzut1tx54twlm2, 9xbohfvww89ec7c1d97hkuj85, fpitimhwhx0wqkkrtuc10mvp, diy9eqdcrua61ao4goq5yges5, 692xxz6qlvbxhspozloeujt9l, c4tkrrhs6o8ii0wnmi5y66cwl, bwhwthiud4nqvdjy8rq1gcdsl, a5d0iik8dqj6oy803mvi4n1sl, 5uli2vvgaigz4yf05bwy81l2h, 9gusyyfm5lj82mqzrmpho16tx, 1u7a9cb0kw1l1aplw3c1ka2tx, dhv9lixpbtd4b27qmfw7cxf1m, 70n6epbcr1l9dvzqrddsbax2h, 1wlzoku6j132t554imm0co99l, 9j7pz666ckpiaihmlg5daf8d0, 43ff1bhi5474qzac8fksxqz11",4156615229,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4156615231,194,a5d0iik8dqj6oy803mvi4n1sl,4156615225,59,"22, 6, 20, 25, 4, 3, 12, 31, 11, 16, 17, 1, 9, 14, 23, 27, 36, 37",4156615223,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4156807649,197,8273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527334369,2,32,1,0,0,nuaf3wtujl8erbciumch6c65,1,0,0,2023-04-02T11:02:46.276Z,2023-04-02T11:02:46Z,4156831543,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527334383,2,32,1,0,0,bpx4ib85d65u9oyhglkt36k1b,1,0,0,2023-04-02T11:02:46.276Z,2023-04-02T11:02:47Z,4156831627,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527334465,3,1,1,0,0,bpx4ib85d65u9oyhglkt36k1b,1,49.8,50.2,2023-04-02T11:02:46.376Z,2023-04-02T11:02:50Z,4156832075,141,56.9,4156832087,279,S,4156832079,212,15.6,4156832067,56,Back,4156832071,140,35.6,4156832083,213,2.8,,,,,,,a5d0iik8dqj6oy803mvi4n1sl,L. Magull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527334519,4,1,1,0,4,bpx4ib85d65u9oyhglkt36k1b,1,35.6,56.9,2023-04-02T11:02:50.841Z,2023-04-02T11:02:52Z,4156832341,140,31.3,4156832347,213,4.3,4156832345,212,12.5,4156832343,141,39.7,4156832339,56,Back,,,,,,,,,,9xbohfvww89ec7c1d97hkuj85,S. Zadrazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527334641,5,1,1,0,6,bpx4ib85d65u9oyhglkt36k1b,1,31.3,39.7,2023-04-02T11:02:52.505Z,2023-04-02T11:02:57Z,4156833001,140,33.8,4156833005,212,19.6,4156833003,141,68.2,4156833011,213,1.4,4156832997,56,Back,,,,,,,,,,fpitimhwhx0wqkkrtuc10mvp,G. Viggósdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527334719,6,1,1,0,10,bpx4ib85d65u9oyhglkt36k1b,1,38.3,59.3,2023-04-02T11:02:56.921Z,2023-04-02T11:03:00Z,4156833431,212,20.4,4156833425,56,Back,4156833433,213,4.4,4156833429,141,31.2,4156833427,140,31.5,,,,,,,,,,diy9eqdcrua61ao4goq5yges5,S. Kumagai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527334791,7,1,1,0,14,bpx4ib85d65u9oyhglkt36k1b,1,34.2,24.9,2023-04-02T11:03:00.441Z,2023-04-02T11:03:03Z,4156833775,213,5.6,4156833773,212,23.4,4156833771,141,2.2,4156833767,56,Right,4156833769,140,51.0,,,,,,,,,,fpitimhwhx0wqkkrtuc10mvp,G. Viggósdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527334821,8,1,1,0,17,bpx4ib85d65u9oyhglkt36k1b,0,51.4,2,2023-04-02T11:03:03.657Z,2023-04-02T11:03:04Z,4156833925,140,65.6,4156833927,141,5.3,4156833921,56,Right,4156833931,212,15.1,4156833933,213,0.1,,,,,,,,,,98q93f1kijhmnd79vkg83qitx,T. Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
