id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2524161009,1,34,16,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2023-03-24T17:23:42.050Z,2023-03-24T18:18:15Z,4121424509,194,8fhfjo7zfz9u0xtn58qj9enrp,4121424501,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4121424507,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4121489649,197,12091,4121424503,59,"1, 12, 13, 10, 6, 17, 23, 7, 8, 29, 24, 3, 5, 11, 14, 18, 25, 27, 30",4121424499,30,"a10v8s11xcdsyspqnyhtfipjp, f18o5qahrzbg0jrw8whefv7xl, 9kmt7flw7n65qmfe0euadfd1x, 9uo1lm8ntj5o5vq1jutuvtb6d, dtz4c9bzealdegjsgvdoac6ad, 6089nfwh31ha73pl7vlla75cl, 35899uqibespufub1v01dwrmd, 4y1m1y07xg9wwfnogsxtcj93p, 8fhfjo7zfz9u0xtn58qj9enrp, dhpmw4d7pjjow643u12b84dpm, 41ojypiz2yg51sriq9sfreh1x, 3ubn4p929c0tv77dehaon5f1m, aa257iqvul1ksok2v3ouoe86h, 3p5r6kr9afi2f4qqno6scknze, d6ga5ai1ytp6be5is0zks8jjd, 9farsri8j50ajgnhkyur3l97t, az6k6sihxqdq5mzsa7htvkmlm, 4wuo4yhm9bmihr1ywi0g4pvqh, bf9vvcmhqqr78g8mw6n54xld6",4121424511,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4121424505,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524161025,1,34,16,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2023-03-24T17:23:45.348Z,2023-03-24T18:15:41Z,4121424611,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4121424605,130,12,4121424603,59,"30, 6, 27, 23, 14, 5, 19, 22, 11, 15, 18, 1, 8, 10, 13, 20, 24, 32, 37, 38",4121424607,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4121424609,194,7ektyvpzu0yj1b9dm7yfkxh3p,4121495273,197,13485,4121424599,30,"cc32rolkcvyuul5t2uearz0mh, 4f16klwhusyiwjej79nx4y76x, u8p6vsrl3b7ndbj3cj5owlih, yfdg1l58kdyyuodyqjwhwbth, 7cisqfcp1zysc12owj5j4zpx, 865nmkmx9qstpt90gc7bvp5ud, 874o1s057ddcizshsu10wu6t, cdzfyzjbmsg88l4r24mwx1ryt, 6mj7z1yytw7jrbnbpu2mqyezu, 8ruo0cyz6gvcp7yiks9fz1ed, 7ektyvpzu0yj1b9dm7yfkxh3p, 31kgqm4bhyekwwhye2cflt979, 31cikgu3amy77e8452p6rj816, 7mfl844y4zw1u07g3owaxyaga, 8s3zfsb1yqt3trc1n9jcxiol, dsjuntinaobizkzy2c47npz3d, 2f4mu47m5t1lhn9sp4umhjtp0, eqfpy2v3q1fzy13317hwl8yc5, 9refy9w1tnwu5kt3heoo3x0yc, 6f5xvyg8yfw1a7kgigpa8duc",4121424601,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524173173,2,32,1,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2023-03-24T18:16:10.117Z,2023-03-24T18:16:11Z,4121495935,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524173167,3,32,1,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2023-03-24T18:16:10.117Z,2023-03-24T18:16:10Z,4121495913,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524173185,4,1,1,0,0,4e5523it4v7s6kkakelbj9si5,1,50,50,2023-03-24T18:16:10.217Z,2023-03-24T18:16:14Z,4121496021,140,37.9,4121496029,279,S,4121496027,213,3.6,4121496019,56,Back,4121496023,141,40.4,4121496025,212,14.3,,,,,,,8fhfjo7zfz9u0xtn58qj9enrp,M. Islacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524173189,5,1,1,0,4,4e5523it4v7s6kkakelbj9si5,1,37.9,40.4,2023-03-24T18:16:14.368Z,2023-03-24T18:16:15Z,4121496053,212,17.2,4121496049,140,28.2,4121496051,141,60.8,4121496047,56,Back,4121496055,213,2.2,,,,,,,,,,9uo1lm8ntj5o5vq1jutuvtb6d,S. Beck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524173197,6,1,1,0,5,4e5523it4v7s6kkakelbj9si5,1,28.5,59.9,2023-03-24T18:16:15.536Z,2023-03-24T18:16:17Z,4121496091,140,23.9,4121496089,56,Back,4121496097,213,4.3,4121496093,141,43.7,4121496095,212,12.0,,,,,,,,,,6089nfwh31ha73pl7vlla75cl,S. Puntigam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524173205,7,1,1,0,7,4e5523it4v7s6kkakelbj9si5,1,27.4,41.9,2023-03-24T18:16:17.808Z,2023-03-24T18:16:55Z,4121496133,141,67.7,4121496129,56,Back,4121496135,212,17.7,4121496131,140,29.8,4121496137,213,1.4,,,,,,,,,,a10v8s11xcdsyspqnyhtfipjp,M. Klett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524173219,8,1,1,0,11,4e5523it4v7s6kkakelbj9si5,1,29.3,72.2,2023-03-24T18:16:21.424Z,2023-03-24T18:16:24Z,4121496217,212,16.7,4121496215,141,48.5,4121496213,140,25.2,4121496219,213,4.5,4121496211,56,Back,,,,,,,,,,6089nfwh31ha73pl7vlla75cl,S. Puntigam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524173249,9,1,1,0,13,4e5523it4v7s6kkakelbj9si5,1,25.6,48.1,2023-03-24T18:16:24.017Z,2023-03-24T18:16:53Z,4121496373,141,16.6,4121496375,212,23.0,4121496371,140,33.5,4121496369,56,Back,4121496377,213,5.1,,,,,,,,,,a10v8s11xcdsyspqnyhtfipjp,M. Klett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
