id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,assist
2514021477,2,34,16,0,0,6mng5xcarvyip7ixoss7au245,1,0,0,2023-03-01T17:33:20.783Z,2023-03-01T18:28:12Z,4065490857,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4065490861,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4065545943,197,8545,4065490851,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4065490853,59,"41, 4, 26, 14, 32, 23, 19, 2, 31, 25, 18, 5, 10, 11, 15, 16, 22, 28, 29",4065490855,130,2,4065490859,194,azitzbihzs5b3iv56nq4iszit,4065490849,30,"do1uv3ohvyvodhcindxj76qy1, e3gddzy59fp8lidsr83vpw12i, 3bg4ewc3n4ytybr96lc313ahh, a3rlansc0x5sw4hg75yhpanhm, agqhiv0awfumj9c4sbq81hh7u, azitzbihzs5b3iv56nq4iszit, qygwawkthmtcn3sx4ptq0e8k, 8etvu6b9z7sm2rg3wqkmchk9h, 9nc0572mgpafxbjnrk55emtt6, dseqkqirdljgr63ov3461vhsl, 6yoqpu952gnc6trdg6vpala6t, 4ennrl7as17fnvk5c3vhhg5qs, 344nsylufbb8jowjovftw4gve, 42h5sz2axk69ifygo0wzuvr2t, 1139rvy7ws5o77eq04wprf0tl, 3kofouuzii19d6w7mr7n9s2ui, 1tkgs09548p54arfjuufivk7o, ctt0noqy18w96i73n9pahoz55, ambjrl1ky848xbmdwsrsbjpey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514022431,1,34,16,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2023-03-01T17:38:45.645Z,2023-03-01T18:59:39Z,4065496407,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4065496409,194,7ektyvpzu0yj1b9dm7yfkxh3p,4065496401,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4065496399,30,"31kgqm4bhyekwwhye2cflt979, 4f16klwhusyiwjej79nx4y76x, u8p6vsrl3b7ndbj3cj5owlih, yfdg1l58kdyyuodyqjwhwbth, 7cisqfcp1zysc12owj5j4zpx, 865nmkmx9qstpt90gc7bvp5ud, cdzfyzjbmsg88l4r24mwx1ryt, 7ektyvpzu0yj1b9dm7yfkxh3p, ddb1x770krfpb3tm4oie234a2, 8ruo0cyz6gvcp7yiks9fz1ed, 6mj7z1yytw7jrbnbpu2mqyezu, bbmtozpiuyy7rtk7u87g5p79w, 31cikgu3amy77e8452p6rj816, 7mfl844y4zw1u07g3owaxyaga, 8s3zfsb1yqt3trc1n9jcxiol, dsjuntinaobizkzy2c47npz3d, 2f4mu47m5t1lhn9sp4umhjtp0, eqfpy2v3q1fzy13317hwl8yc5, 6f5xvyg8yfw1a7kgigpa8duc, 2gkjrql07f7q9fqlzgdn81ogk",4065582771,197,17121,4065496411,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4065496405,130,18,4065496403,59,"1, 6, 27, 23, 14, 5, 22, 18, 21, 15, 11, 31, 8, 10, 13, 20, 24, 32, 38, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514031197,2,32,1,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2023-03-01T18:30:21.577Z,2023-03-01T18:30:22Z,4065547609,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514031191,4,32,1,0,0,6mng5xcarvyip7ixoss7au245,1,0,0,2023-03-01T18:30:21.577Z,2023-03-01T18:30:21Z,4065547591,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514031205,3,1,1,0,0,4moe0x01r1f5w30g38wshyftp,1,50.5,49.3,2023-03-01T18:30:21.677Z,2023-03-01T18:30:26Z,4065547669,213,2.5,4065547667,212,16.8,4065547661,56,Back,4065547663,140,38.1,4065547671,279,S,4065547665,141,64.8,,,,,,,8ruo0cyz6gvcp7yiks9fz1ed,J. Sehan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514031209,4,1,1,0,4,4moe0x01r1f5w30g38wshyftp,1,38.1,64.8,2023-03-01T18:30:26.009Z,2023-03-01T18:30:28Z,4065547693,56,Back,4065547695,140,9.0,4065547699,212,31.6,4065547697,141,52.7,4065547701,213,3.4,,,,,,,,,,cdzfyzjbmsg88l4r24mwx1ryt,R. Dieckmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514031227,5,1,1,0,7,4moe0x01r1f5w30g38wshyftp,1,9.2,53,2023-03-01T18:30:28.753Z,2023-03-01T18:30:32Z,4065547793,213,1.1,4065547789,141,94.8,4065547791,212,31.6,4065547787,140,22.3,4065547785,56,Back,,,,,,,,,,31kgqm4bhyekwwhye2cflt979,L. Pauels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514031239,6,1,1,0,11,4moe0x01r1f5w30g38wshyftp,1,23.7,92.4,2023-03-01T18:30:32.641Z,2023-03-01T18:30:37Z,4065547861,141,54.0,4065547857,56,Back,4065547865,213,4.1,4065547863,212,31.2,4065547859,140,7.4,,,,,,,,,,yfdg1l58kdyyuodyqjwhwbth,H. Németh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514031245,7,1,1,0,15,4moe0x01r1f5w30g38wshyftp,1,8.6,42.9,2023-03-01T18:30:37.386Z,2023-03-01T18:30:38Z,4065547903,141,20.7,4065547905,212,20.1,4065547901,140,21.3,4065547899,56,Back,4065547907,213,5.4,,,,,,,,,,31kgqm4bhyekwwhye2cflt979,L. Pauels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514031253,8,1,1,0,17,4moe0x01r1f5w30g38wshyftp,1,20.7,20.9,2023-03-01T18:30:38.858Z,2023-03-01T18:30:43Z,4065547959,140,3.1,4065547963,212,24.3,4065547965,213,2.4,4065547957,56,Back,4065547961,141,44.1,,,,,,,,,,865nmkmx9qstpt90gc7bvp5ud,M. Ulbrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,
