id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2547679727,1,34,16,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2023-05-13T10:18:47.148Z,2023-05-13T11:12:08Z,4272117925,130,8,4272117923,59,"1, 30, 2, 6, 24, 3, 17, 16, 31, 18, 11, 8, 10, 14, 15, 20, 22, 34",4272117919,30,"2ywmv0jjr4u8jgo8gnoisx0id, 1asefru50u06hyhmoa7d9qcx5, 764yxrb6zqxke8l61qjd4o3qh, eyqhxpni376pocsunribu1jv9, 1f2ltq7gcnimsdgixp8w36eax, 2lsz8g4mvgqvartyjfud90e6t, ed31f3of5iql0onh9uellvtnt, 8djtc44u653lmy03mnniax3l6, bez9hd6po73pkved1bebbbdnt, 9yzs0w3tjas15ic0o2b51q86h, 4h4v3c01l7hjkfnnz9ef8i5m1, 9oq5f3fgf6g9vyc965o35127e, 9nadd9kif5hu80tyhg6b445hx, 46wf8el37rvruhacvvbv38z1m, bf38nsprlsb7783sgyl1ezq3t, 54psl26zc4rs8cjnahl0jel05, 2h5t74e8r147rzbett9on72sp, 9lt8qo4p7zhznd4xln1xxtlas",4272117927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4272192099,197,9561,4272117929,194,eyqhxpni376pocsunribu1jv9,4272117931,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272117921,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547681465,1,34,16,0,0,6mng5xcarvyip7ixoss7au245,1,0,0,2023-05-13T10:23:46.550Z,2023-05-13T11:08:48Z,4272127817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272127809,59,"41, 18, 11, 2, 32, 4, 19, 5, 7, 20, 17, 14, 15, 16, 21, 22, 25, 26, 29, 31",4272127813,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272127815,194,42h5sz2axk69ifygo0wzuvr2t,4272127807,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4272191841,197,8545,4272127811,130,8,4272127805,30,"do1uv3ohvyvodhcindxj76qy1, 6yoqpu952gnc6trdg6vpala6t, 42h5sz2axk69ifygo0wzuvr2t, 8etvu6b9z7sm2rg3wqkmchk9h, agqhiv0awfumj9c4sbq81hh7u, e3gddzy59fp8lidsr83vpw12i, qygwawkthmtcn3sx4ptq0e8k, 4ennrl7as17fnvk5c3vhhg5qs, 4663ukpnmrw6i3tm1fvzl7u1h, byrtspkep316747j5mj5lyei, 7i2liztq9k72g2lnz5i91whcl, a3rlansc0x5sw4hg75yhpanhm, 1139rvy7ws5o77eq04wprf0tl, 3kofouuzii19d6w7mr7n9s2ui, 8xphahi0vi6fnh8ou88zzb6j9, 1tkgs09548p54arfjuufivk7o, dseqkqirdljgr63ov3461vhsl, 3bg4ewc3n4ytybr96lc313ahh, ambjrl1ky848xbmdwsrsbjpey, 9nc0572mgpafxbjnrk55emtt6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547695207,2,32,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2023-05-13T11:02:09.841Z,2023-05-13T11:02:12Z,4272196507,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547695183,2,32,1,0,0,6mng5xcarvyip7ixoss7au245,1,0,0,2023-05-13T11:02:09.841Z,2023-05-13T11:02:10Z,4272196425,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547695241,3,1,1,0,0,6mng5xcarvyip7ixoss7au245,1,50.4,50,2023-05-13T11:02:09.941Z,2023-05-13T11:02:16Z,4272196729,279,S,4272196721,140,38.3,4272196725,212,16.4,4272196723,141,65.2,4272196719,56,Back,4272196727,213,2.5,,,,,,,4663ukpnmrw6i3tm1fvzl7u1h,M. Kyōkawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547695261,4,1,1,0,6,6mng5xcarvyip7ixoss7au245,1,38,65.8,2023-05-13T11:02:16.622Z,2023-05-13T11:02:20Z,4272196859,140,31.8,4272196865,213,2.0,4272196857,56,Back,4272196861,141,84.5,4272196863,212,14.3,,,,,,,,,,8etvu6b9z7sm2rg3wqkmchk9h,M. Rouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547695299,5,1,1,0,10,6mng5xcarvyip7ixoss7au245,1,31.6,87.4,2023-05-13T11:02:19.937Z,2023-05-13T11:02:24Z,4272197073,56,Back,4272197075,140,11.9,4272197077,141,63.3,4272197079,212,26.4,4272197081,213,3.8,,,,,,,,,,42h5sz2axk69ifygo0wzuvr2t,J. Cramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547695325,6,1,1,0,14,6mng5xcarvyip7ixoss7au245,1,10,59.6,2023-05-13T11:02:23.990Z,2023-05-13T11:02:27Z,4272197217,212,24.6,4272197213,140,21.1,4272197215,141,27.7,4272197219,213,5.2,4272197211,56,Back,,,,,,,,,,do1uv3ohvyvodhcindxj76qy1,A. Wellmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547695341,7,1,1,0,17,6mng5xcarvyip7ixoss7au245,1,23.7,21.5,2023-05-13T11:02:27.615Z,2023-05-13T11:02:30Z,4272197327,141,50.7,4272197325,140,11.4,4272197323,56,Back,4272197329,212,23.7,4272197331,213,2.1,,,,,,,,,,agqhiv0awfumj9c4sbq81hh7u,P. Culver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547695379,8,1,1,0,20,6mng5xcarvyip7ixoss7au245,1,11,51.6,2023-05-13T11:02:29.897Z,2023-05-13T11:02:34Z,4272197547,141,43.4,4272197545,140,54.7,4272197551,213,6.2,4272197543,56,Center,4272197553,1,,4272197541,157,,4272197549,212,46.2,,,,do1uv3ohvyvodhcindxj76qy1,A. Wellmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547695395,9,1,1,0,24,6mng5xcarvyip7ixoss7au245,0,54.7,43.7,2023-05-13T11:02:34.115Z,2023-05-13T11:02:35Z,4272197619,213,5.8,4272197613,140,65.7,4272197611,56,Center,4272197609,3,,4272197615,141,33.7,4272197617,212,13.4,,,,,,,4663ukpnmrw6i3tm1fvzl7u1h,M. Kyōkawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
