id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/12/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/15/value,qualifier/17/value
2552413819,1,34,16,0,0,nuaf3wtujl8erbciumch6c65,1,0,0,2023-05-21T13:19:06.396Z,2023-05-21T14:00:07Z,4297215013,194,62soqddjmkrj99mvi1wivj4k5,4297215005,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4297215011,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4297455915,197,8752,4297215007,59,"1, 2, 22, 20, 8, 26, 17, 18, 15, 10, 16, 4, 5, 6, 7, 9, 11, 23, 31",4297215015,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4297215009,130,10,4297215003,30,"49ur7byczvl0qkqn9y2qq73s9, 702asj69cc2fzzns98r7hp5p0, dh4eziicycykt8h2zr0to5tuy, 8ovibbdbs49bwwwf3bbuij3hm, bkbp6hl12kc3y8wohv9l3a66t, 34ixdan8uojz66mob82kafxpm, 28fi0st48wljpt3kyee510iga, axjakqkndyt2k8v2b0y97tw16, 2ltzk74krenmfh5gzcjpc2k4q, 9e95p87136h6zjam3zu0d9yol, 62soqddjmkrj99mvi1wivj4k5, 1eoc1w0vz8jmz4i0mpg20fiay, 4ezh3co3xg75tx7b03cokenyt, 8usrt98ggl8n4djfsyner2nf8, 1f2h3qvn7d1dv5wsv63bojazu, 7rb7zn6mvelljw1e3gbv8mmsp, 7ubpnkf47u1os2z47fam81i7e, 3p9ie3u7ej9o1wpzl4aonjtd6, 8zk6kcs75hjevbu61h9n2fkr9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552417205,1,34,16,0,0,6bl19flj1eggw2gw7sya19bof,1,0,0,2023-05-21T13:21:28.955Z,2023-05-21T13:59:31Z,4297232557,59,"1, 24, 13, 14, 4, 6, 28, 17, 9, 21, 29, 3, 5, 7, 10, 11, 20, 23, 30",4297456609,197,8253,4297232565,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4297232555,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4297232553,30,"3loe8qn8nalk7liisl2hx891x, b8jaoqvq01ot0l9yp0b0btwid, cbofbntctfuhr1vqpn7eywt05, 23kah59nbx1m7ro3imaaevoph, eyx4psuhprqtodl08iimdwb11, dqpv2janh4g4qkiqx7h7vs8gl, 8ex4lsveeyet8r5aja1gjh1hx, 42ah6u2wvj5tjuojzhtjiy6s5, 9hmgd3x5tekj4fnf0zju3i1ud, ch8ce5l6elqfogji42wyyedat, elrnwzbk985f5j49tn9gg9rai, dpwfd5fk2t1xl2sfxpuqjfe95, 9lt9pjnkuty7j6uwd5cvctwbt, 52w10pe7mkfv4twb2p2c5ugnp, 6c9ed4z6hw7s5v8c9631algid, f4g9co8i52ygweie4jjnvja39, 9e0vedknf3fgtc6ro1y8twixh, 9vgflgmrmvq8i95t3n70sur55, 1r2f06zhqa678zqwq034m0fkl",4297232559,130,8,4297232561,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4297232563,194,dqpv2janh4g4qkiqx7h7vs8gl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552462147,2,32,1,0,0,6bl19flj1eggw2gw7sya19bof,1,0,0,2023-05-21T14:00:44.156Z,2023-05-21T14:00:44Z,4297476549,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552462151,2,32,1,0,0,nuaf3wtujl8erbciumch6c65,1,0,0,2023-05-21T14:00:44.156Z,2023-05-21T14:00:46Z,4297476563,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552462159,3,1,1,0,0,nuaf3wtujl8erbciumch6c65,1,50.1,50,2023-05-21T14:00:44.256Z,2023-05-21T14:50:49Z,4297476605,140,37.1,4297476611,213,3.5,4297476613,279,S,4297476603,56,Back,4297476609,212,14.7,4297476607,141,42.1,,,,,,,2ltzk74krenmfh5gzcjpc2k4q,K. Maksuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552462243,4,1,1,0,4,nuaf3wtujl8erbciumch6c65,1,36.6,41.6,2023-05-21T14:00:48.279Z,2023-05-21T14:50:47Z,4297477027,212,18.5,4297477025,141,32.2,4297477029,213,3.5,4297477023,140,20.1,4297477021,56,Back,,,,,,,,,,28fi0st48wljpt3kyee510iga,N. Günnewig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552527665,351,1,1,0,5,nuaf3wtujl8erbciumch6c65,0,20.4,24.7,2023-05-21T14:00:49.156Z,2023-05-21T14:50:57Z,4297826019,140,23.6,4297826025,213,1.4,4297826017,56,Back,4297826023,212,15.5,4297826021,141,46.9,,,,,,,,,,bkbp6hl12kc3y8wohv9l3a66t,L. Weiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552462453,9,5,1,0,6,nuaf3wtujl8erbciumch6c65,1,-1.8,59,2023-05-21T14:00:50.329Z,2023-05-21T14:26:50Z,4297478123,56,Back,4297666775,233,125,4297478125,346,,,,,,,,,,,,,,,,,8ovibbdbs49bwwwf3bbuij3hm,J. Pollak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552477781,125,5,1,0,6,6bl19flj1eggw2gw7sya19bof,0,101.8,41,2023-05-21T14:00:50.329Z,2023-05-21T14:28:05Z,4297561335,346,,4297561333,56,Center,4297666823,233,9,,,,,,,,,,,,,,,,8ex4lsveeyet8r5aja1gjh1hx,T. Waßmuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552462295,6,1,1,0,6,nuaf3wtujl8erbciumch6c65,1,3.7,43.9,2023-05-21T14:00:50.335Z,2023-05-21T14:50:24Z,4297477257,141,40.0,4297822387,124,,4297822389,237,,4297477253,140,10.3,4297477263,213,5.9,4297477249,56,Back,4297477261,212,7.4,,,,49ur7byczvl0qkqn9y2qq73s9,L. Sieger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
