id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2515784459,1,34,16,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2023-03-05T11:10:58.299Z,2023-03-05T11:57:49Z,4074794701,130,8,4074794703,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4074929867,197,17098,4074794697,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4074794711,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074794707,194,8fhfjo7zfz9u0xtn58qj9enrp,4074794699,59,"1, 25, 13, 7, 5, 17, 23, 9, 8, 10, 24, 6, 11, 12, 18, 26, 27, 29",4074794695,30,"a10v8s11xcdsyspqnyhtfipjp, az6k6sihxqdq5mzsa7htvkmlm, 9kmt7flw7n65qmfe0euadfd1x, 4y1m1y07xg9wwfnogsxtcj93p, aa257iqvul1ksok2v3ouoe86h, 6089nfwh31ha73pl7vlla75cl, 35899uqibespufub1v01dwrmd, 76sdgmzs9ldvnnah6x7zlr7qh, 8fhfjo7zfz9u0xtn58qj9enrp, 9uo1lm8ntj5o5vq1jutuvtb6d, 41ojypiz2yg51sriq9sfreh1x, dtz4c9bzealdegjsgvdoac6ad, 3p5r6kr9afi2f4qqno6scknze, f18o5qahrzbg0jrw8whefv7xl, 9farsri8j50ajgnhkyur3l97t, 19gypl4enklm01cxfzzbrb4yd, 4wuo4yhm9bmihr1ywi0g4pvqh, dhpmw4d7pjjow643u12b84dpm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515786075,1,34,16,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2023-03-05T11:14:00.636Z,2023-03-05T12:20:11Z,4074931099,197,8544,4074803483,130,8,4074803481,59,"27, 2, 30, 6, 3, 24, 22, 8, 17, 15, 18, 1, 4, 9, 11, 14, 16, 20, 29, 31",4074803485,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074803477,30,"q4va8vnwzmwtdo6qymq4ywgl, 764yxrb6zqxke8l61qjd4o3qh, 1asefru50u06hyhmoa7d9qcx5, eyqhxpni376pocsunribu1jv9, 2lsz8g4mvgqvartyjfud90e6t, 1f2ltq7gcnimsdgixp8w36eax, 2h5t74e8r147rzbett9on72sp, 9oq5f3fgf6g9vyc965o35127e, ed31f3of5iql0onh9uellvtnt, bf38nsprlsb7783sgyl1ezq3t, 9yzs0w3tjas15ic0o2b51q86h, 2ywmv0jjr4u8jgo8gnoisx0id, c36h9olifkg6s63uktgf1puqd, 3de90guq76ncq4iqhstw29u22, 4h4v3c01l7hjkfnnz9ef8i5m1, 46wf8el37rvruhacvvbv38z1m, 8djtc44u653lmy03mnniax3l6, 54psl26zc4rs8cjnahl0jel05, 4fidubhquqmngl2s15ozqfip6, bez9hd6po73pkved1bebbbdnt",4074803489,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074803487,194,eyqhxpni376pocsunribu1jv9,4074803479,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811475,2,32,1,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2023-03-05T12:01:11.204Z,2023-03-05T12:01:11Z,4074937169,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811479,2,32,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2023-03-05T12:01:11.204Z,2023-03-05T12:01:13Z,4074937175,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811511,3,1,1,0,0,4e5523it4v7s6kkakelbj9si5,1,50.1,49.9,2023-03-05T12:01:11.304Z,2023-03-05T12:01:15Z,4074937371,140,39.7,4074937377,213,2.6,4074937369,56,Back,4074937373,141,60.6,4074937379,279,S,4074937375,212,13.1,,,,,,,8fhfjo7zfz9u0xtn58qj9enrp,M. Islacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811533,4,1,1,0,4,4e5523it4v7s6kkakelbj9si5,1,38.9,62.1,2023-03-05T12:01:15.495Z,2023-03-05T12:01:17Z,4074937519,141,69.0,4074937521,212,11.7,4074937515,56,Back,4074937523,213,2.7,4074937517,140,28.7,,,,,,,,,,76sdgmzs9ldvnnah6x7zlr7qh,A. Achcińska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811563,5,1,1,0,6,4e5523it4v7s6kkakelbj9si5,1,29.2,69.1,2023-03-05T12:01:17.719Z,2023-03-05T12:01:19Z,4074937635,140,34.5,4074937639,212,16.0,4074937637,141,91.2,4074937641,213,1.2,4074937633,56,Back,,,,,,,,,,6089nfwh31ha73pl7vlla75cl,S. Puntigam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811591,6,1,1,0,8,4e5523it4v7s6kkakelbj9si5,1,34.1,90.3,2023-03-05T12:01:19.623Z,2023-03-05T12:01:22Z,4074937779,56,Back,4074937787,213,4.4,4074937781,140,28.8,4074937783,141,68.7,4074937785,212,15.7,,,,,,,,,,9kmt7flw7n65qmfe0euadfd1x,G. Daughetee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811613,7,1,1,0,11,4e5523it4v7s6kkakelbj9si5,1,28.6,63.9,2023-03-05T12:01:22.422Z,2023-03-05T12:01:25Z,4074937883,213,4.3,4074937875,56,Back,4074937881,212,13.2,4074937879,141,45.8,4074937877,140,24.1,,,,,,,,,,6089nfwh31ha73pl7vlla75cl,S. Puntigam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811659,8,1,1,0,14,4e5523it4v7s6kkakelbj9si5,1,24.9,44.9,2023-03-05T12:01:25.751Z,2023-03-05T12:01:45Z,4074938075,212,13.3,4074938071,140,28.4,4074938077,213,5.0,4074938069,56,Back,4074938073,141,26.1,,,,,,,,,,a10v8s11xcdsyspqnyhtfipjp,M. Klett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
