id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/12/value
2522279861,1,34,16,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,0,0,2023-03-19T11:15:58.869Z,2023-03-19T11:58:10Z,4109224621,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4109333715,197,17496,4109224619,130,11,4109224617,59,"32, 14, 17, 5, 6, 23, 21, 20, 28, 22, 7, 9, 10, 11, 13, 19, 25, 30, 33, 47",4109224625,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4109224623,194,aemsodynsywxzi5m7czbenob9,4109224613,30,"biomno1rhjrnhw59fs2yisktm, 2g09uohghh7k9c8de566k2led, aemsodynsywxzi5m7czbenob9, d11imdjqgfg7c0vo1te98rvv8, c6g4g3t6fi6pg14zdmw3uvasq, 536gqq71ria9n0bbncfzagru, mx0xcrbamcrs77w7socdzv11, 7xplwmgnz56mfkdwnjwep632s, 5g1fqltglztt6p9j20iwshbvu, 1tq2p5cd8gwndv33rrfl7zlxx, 380wlef6rk03khlb0t5elb04q, cwego71othceguyo85tw2m4iy, 4trepwlcclo2elj3epyrs0ep6, qirr699c3gjdqq420ssd9vit, 6snu37yc5c4kl9i3eg92ndams, 2b6315hlohr62lm3xzz5qidey, b9gxo2rldtuz9mi8lzgnm0mxg, 4ka05s9qgwog73yx3dsyp1s7o, 3l3ieiqvyz79tzfkniys3ifl6, ac6txr5931brb1tib9d92ok8a",4109224615,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2522281535,1,34,16,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2023-03-19T11:19:17.450Z,2023-03-19T12:26:40Z,4109333795,197,17121,4109232345,59,"30, 6, 27, 23, 14, 5, 19, 22, 11, 32, 18, 8, 10, 13, 15, 20, 24, 31, 37, 38",4109232353,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4109232343,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4109232351,194,7ektyvpzu0yj1b9dm7yfkxh3p,4109232341,30,"cc32rolkcvyuul5t2uearz0mh, 4f16klwhusyiwjej79nx4y76x, u8p6vsrl3b7ndbj3cj5owlih, yfdg1l58kdyyuodyqjwhwbth, 7cisqfcp1zysc12owj5j4zpx, 865nmkmx9qstpt90gc7bvp5ud, 874o1s057ddcizshsu10wu6t, cdzfyzjbmsg88l4r24mwx1ryt, 6mj7z1yytw7jrbnbpu2mqyezu, eqfpy2v3q1fzy13317hwl8yc5, 7ektyvpzu0yj1b9dm7yfkxh3p, 31cikgu3amy77e8452p6rj816, 7mfl844y4zw1u07g3owaxyaga, 8s3zfsb1yqt3trc1n9jcxiol, 8ruo0cyz6gvcp7yiks9fz1ed, dsjuntinaobizkzy2c47npz3d, 2f4mu47m5t1lhn9sp4umhjtp0, bbmtozpiuyy7rtk7u87g5p79w, 9refy9w1tnwu5kt3heoo3x0yc, 6f5xvyg8yfw1a7kgigpa8duc",4109232347,130,12,4109232349,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2522303595,2,32,1,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2023-03-19T12:01:21.245Z,2023-03-19T12:01:22Z,4109342545,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522303583,2,32,1,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,0,0,2023-03-19T12:01:21.245Z,2023-03-19T12:01:21Z,4109342479,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522303613,3,1,1,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,50.1,49.7,2023-03-19T12:01:21.345Z,2023-03-19T12:01:24Z,4109342635,279,S,4109342633,213,3.0,4109342629,141,52.2,4109342627,140,36.1,4109342631,212,14.8,4109342625,56,Back,,,,,,,5g1fqltglztt6p9j20iwshbvu,S. Heeb,,,,,,,,,,,,,,,,,,,,,,,,,
2522303617,4,1,1,0,3,bax97wqmyvdu4xygi7wzcvdzd,0,36.1,52.2,2023-03-19T12:01:24.609Z,2023-03-19T12:01:26Z,4109342663,1,,4109342661,213,6.2,4109342653,140,73.9,4109342649,155,,4109342659,212,39.8,4109342657,141,47.3,4109342651,56,Center,,,,1tq2p5cd8gwndv33rrfl7zlxx,M. Ilić,,,,,,,,,,,,,,,,,,,,,,,,,
2522303631,3,1,1,0,5,4moe0x01r1f5w30g38wshyftp,0,28.1,53.6,2023-03-19T12:01:26.996Z,2023-03-19T12:01:58Z,4109342775,141,69.0,4109342773,140,42.0,4109342771,56,Back,4109342777,212,18.0,4109342769,3,,4109342779,213,0.6,,,,,,,yfdg1l58kdyyuodyqjwhwbth,H. Németh,,,,,,,,,,,,,,,,,,,,,,,,,
2522303659,5,1,1,0,8,bax97wqmyvdu4xygi7wzcvdzd,0,56,32.2,2023-03-19T12:01:30.178Z,2023-03-19T12:01:31Z,4109342931,56,Center,4109342937,212,17.5,4109342935,141,35.1,4109342933,140,72.6,4109342939,213,0.1,4109342929,157,,4109342941,1,,,,,2g09uohghh7k9c8de566k2led,E. Henriksen,,,,,,,,,,,,,,,,,,,,,,,,,
2522303695,4,1,1,0,10,4moe0x01r1f5w30g38wshyftp,1,29.3,61.4,2023-03-19T12:01:31.810Z,2023-03-19T12:01:34Z,4109343105,157,,4109343117,141,30.1,4109343127,213,4.8,4109343129,1,,4109343113,140,31.3,4109343109,56,Back,4109343123,212,21.4,,,,yfdg1l58kdyyuodyqjwhwbth,H. Németh,,,,,,,,,,,,,,,,,,,,,,,,,
2522303725,5,1,1,0,13,4moe0x01r1f5w30g38wshyftp,1,31.3,30.1,2023-03-19T12:01:34.545Z,2023-03-19T12:01:38Z,4109343277,56,Back,4109343279,140,34.0,4109343283,212,7.8,4109343285,213,5.1,4109343275,3,,4109343281,141,19.4,,,,,,,865nmkmx9qstpt90gc7bvp5ud,M. Ulbrich,,,,,,,,,,,,,,,,,,,,,,,,,
