id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/14/value,qualifier/15/value
2551476263,1,34,16,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2023-05-20T10:08:16.104Z,2023-05-20T11:00:24Z,4292276955,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4292276953,30,"2ywmv0jjr4u8jgo8gnoisx0id, c36h9olifkg6s63uktgf1puqd, 1asefru50u06hyhmoa7d9qcx5, 8djtc44u653lmy03mnniax3l6, 1f2ltq7gcnimsdgixp8w36eax, 46wf8el37rvruhacvvbv38z1m, 4h4v3c01l7hjkfnnz9ef8i5m1, eyqhxpni376pocsunribu1jv9, bez9hd6po73pkved1bebbbdnt, 9yzs0w3tjas15ic0o2b51q86h, ed31f3of5iql0onh9uellvtnt, 764yxrb6zqxke8l61qjd4o3qh, c7wjubp9lw0ep71cjt3bv6qdw, gvm839vxy6tkznrtw9mop17u, 9oq5f3fgf6g9vyc965o35127e, 3de90guq76ncq4iqhstw29u22, 9nadd9kif5hu80tyhg6b445hx, bf38nsprlsb7783sgyl1ezq3t, 54psl26zc4rs8cjnahl0jel05, 9lt8qo4p7zhznd4xln1xxtlas",4292276965,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292276959,130,8,4292276957,59,"1, 4, 30, 16, 24, 14, 11, 6, 31, 18, 17, 2, 5, 7, 8, 9, 10, 15, 20, 34",4292276963,194,eyqhxpni376pocsunribu1jv9,4292370459,197,8650,4292276961,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551477843,1,34,16,0,0,bpx4ib85d65u9oyhglkt36k1b,1,0,0,2023-05-20T10:13:09.006Z,2023-05-20T11:09:51Z,4292369285,197,9163,4292286347,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292286341,130,8,4292286335,30,"bpwz6mj8utvxsd9mjyxcestii, d9l67kneytb0mij099bneg1cl, 1zkoai1sdm9bbx29fi76e38ph, c4tkrrhs6o8ii0wnmi5y66cwl, fpitimhwhx0wqkkrtuc10mvp, 98q93f1kijhmnd79vkg83qitx, 692xxz6qlvbxhspozloeujt9l, 9xbohfvww89ec7c1d97hkuj85, bwhwthiud4nqvdjy8rq1gcdsl, a5d0iik8dqj6oy803mvi4n1sl, 5uli2vvgaigz4yf05bwy81l2h, 9gusyyfm5lj82mqzrmpho16tx, diy9eqdcrua61ao4goq5yges5, 1u7a9cb0kw1l1aplw3c1ka2tx, dhv9lixpbtd4b27qmfw7cxf1m, 70n6epbcr1l9dvzqrddsbax2h, 1wlzoku6j132t554imm0co99l, abp387e8q3413r6zu3w1ii2cq, 9j7pz666ckpiaihmlg5daf8d0, 43ff1bhi5474qzac8fksxqz11",4292286345,194,a5d0iik8dqj6oy803mvi4n1sl,4292286339,59,"22, 8, 30, 31, 4, 6, 12, 25, 11, 16, 17, 1, 3, 9, 14, 23, 27, 35, 36, 37",4292286343,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292286337,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551499543,2,32,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2023-05-20T11:06:10.674Z,2023-05-20T11:06:11Z,4292389501,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551499541,2,32,1,0,0,bpx4ib85d65u9oyhglkt36k1b,1,0,0,2023-05-20T11:06:10.674Z,2023-05-20T11:06:10Z,4292389495,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551499577,3,1,1,0,0,bpx4ib85d65u9oyhglkt36k1b,1,50.1,49.8,2023-05-20T11:06:10.774Z,2023-05-20T11:06:16Z,4292389743,213,2.9,4292389739,141,54.9,4292389745,279,S,4292389735,140,37.7,4292389741,212,13.5,4292389733,56,Back,,,,,,,bwhwthiud4nqvdjy8rq1gcdsl,L. Schüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551499589,4,1,1,0,5,bpx4ib85d65u9oyhglkt36k1b,1,37.2,55.1,2023-05-20T11:06:16.042Z,2023-05-20T11:06:17Z,4292389811,140,24.6,4292389809,56,Back,4292389813,141,36.5,4292389815,212,18.3,4292389817,213,3.9,,,,,,,,,,c4tkrrhs6o8ii0wnmi5y66cwl,G. Stanway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551499611,5,1,1,0,6,bpx4ib85d65u9oyhglkt36k1b,1,24.6,36.5,2023-05-20T11:06:17.514Z,2023-05-20T11:06:19Z,4292389967,56,Back,4292389975,213,1.5,4292389969,140,25.3,4292389973,212,21.8,4292389971,141,68.6,,,,,,,,,,fpitimhwhx0wqkkrtuc10mvp,G. Viggósdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551499631,6,1,1,0,8,bpx4ib85d65u9oyhglkt36k1b,1,25.3,68.1,2023-05-20T11:06:19.082Z,2023-05-20T11:06:21Z,4292390079,213,4.7,4292390077,212,21.6,4292390071,56,Back,4292390075,141,36.3,4292390073,140,24.9,,,,,,,,,,98q93f1kijhmnd79vkg83qitx,T. Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551499679,7,1,1,0,10,bpx4ib85d65u9oyhglkt36k1b,1,27.1,34.8,2023-05-20T11:06:21.514Z,2023-05-20T11:06:25Z,4292390325,56,Back,4292390333,213,1.5,4292390327,140,28.9,4292390329,141,68.3,4292390331,212,22.9,,,,,,,,,,fpitimhwhx0wqkkrtuc10mvp,G. Viggósdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551499727,8,1,1,0,14,bpx4ib85d65u9oyhglkt36k1b,1,24,75.1,2023-05-20T11:06:25.242Z,2023-05-20T11:06:29Z,4292390525,140,28.2,4292390523,56,Back,4292390527,141,91.6,4292390529,212,12.1,4292390531,213,1.2,,,,,,,,,,c4tkrrhs6o8ii0wnmi5y66cwl,G. Stanway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
