id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2507008609,1,34,16,0,0,eyecbfb1ur2104bhhwazhvrf,1,0,0,2023-02-12T14:08:28.217Z,2023-02-12T14:57:30Z,4028417969,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4028417971,59,"1, 22, 9, 10, 31, 20, 16, 33, 18, 7, 23, 4, 5, 6, 8, 17, 25, 27, 28",4028417975,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4028417979,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028417973,130,8,4028652841,197,8753,4028417977,194,d32rm12ddel0p93luuh5fq9cl,4028417967,30,"cwotwuxqimldexy77lqdh2t3p, 1l4s1w66pir9xk79jp78bxnmx, 1abadnoiq5hbwpfzzyvho4vkl, efynp5qo9b9x0lh9b4ft0ic8a, 25ord6k6oglqdzt77nrs19e5l, 9nyzegdr9nu4i5jp12h8q4et, 9u74jd7ak8uad6lnhnthawiqd, d32rm12ddel0p93luuh5fq9cl, 1lafqq1ic48v5500r8b0uprdh, 33nggo6w6e52yqmc2pa528xd5, 6aym6t1mr1xzv5pxvbtbn6hgp, diztxc63xkwv1tofz5s1ixbzd, 1oib97ihu6ofz1fvsvih0mnkl, 2x6hdcwn2s78i5frzj4q2s2c5, aq30av6eea3gxh2rk7c0bzi09, epdlb32r151kz861mljb1rs9h, y7mxuyh5olv0rh5od3p2gtt5, 5s8fprpl188pkkzn3524vph7u, 4m7aug91lxhiq1ro70u3m4etw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507020547,1,34,16,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2023-02-12T14:18:11.665Z,2023-02-12T14:57:15Z,4028475611,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028475607,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4028652253,197,12091,4028475599,30,"19gypl4enklm01cxfzzbrb4yd, az6k6sihxqdq5mzsa7htvkmlm, 9kmt7flw7n65qmfe0euadfd1x, 4y1m1y07xg9wwfnogsxtcj93p, aa257iqvul1ksok2v3ouoe86h, 6089nfwh31ha73pl7vlla75cl, 35899uqibespufub1v01dwrmd, 9vdyzvt8ehavj3sfugjoi3rze, 9uo1lm8ntj5o5vq1jutuvtb6d, 8fhfjo7zfz9u0xtn58qj9enrp, 41ojypiz2yg51sriq9sfreh1x, a10v8s11xcdsyspqnyhtfipjp, dtz4c9bzealdegjsgvdoac6ad, 76sdgmzs9ldvnnah6x7zlr7qh, 3p5r6kr9afi2f4qqno6scknze, 9farsri8j50ajgnhkyur3l97t, 4wuo4yhm9bmihr1ywi0g4pvqh, d6ga5ai1ytp6be5is0zks8jjd",4028475603,59,"26, 25, 13, 7, 5, 17, 23, 15, 10, 8, 24, 1, 6, 9, 11, 18, 27, 14",4028475601,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4028475609,194,8fhfjo7zfz9u0xtn58qj9enrp,4028475605,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507056701,2,32,1,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2023-02-12T15:01:58.057Z,2023-02-12T15:02:00Z,4028663035,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507056695,2,32,1,0,0,eyecbfb1ur2104bhhwazhvrf,1,0,0,2023-02-12T15:01:58.057Z,2023-02-12T15:01:58Z,4028663023,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507056713,3,1,1,0,0,4e5523it4v7s6kkakelbj9si5,1,50,50.1,2023-02-12T15:01:58.157Z,2023-02-12T15:08:01Z,4028663101,279,S,4028663097,212,11.6,4028663095,141,51.3,4028663099,213,3.1,4028663091,56,Back,4028663093,140,39.0,,,,,,,8fhfjo7zfz9u0xtn58qj9enrp,M. Islacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507056767,4,1,1,0,3,4e5523it4v7s6kkakelbj9si5,1,34.6,49.3,2023-02-12T15:02:01.364Z,2023-02-12T15:07:56Z,4028663437,141,74.7,4028663441,213,1.9,4028663433,56,Back,4028663439,212,18.1,4028663435,140,29.5,,,,,,,,,,9vdyzvt8ehavj3sfugjoi3rze,L. Cordes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507056789,5,1,1,0,8,4e5523it4v7s6kkakelbj9si5,1,29.5,74.7,2023-02-12T15:02:06.693Z,2023-02-12T15:02:27Z,4028663535,140,27.2,4028663539,212,19.8,4028663533,56,Back,4028663541,213,4.6,4028663537,141,45.8,,,,,,,,,,6089nfwh31ha73pl7vlla75cl,S. Puntigam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507056803,6,1,1,0,12,4e5523it4v7s6kkakelbj9si5,1,26.2,40.4,2023-02-12T15:02:10.421Z,2023-02-12T15:02:12Z,4028663617,212,8.5,4028663611,56,Back,4028663615,141,50.6,4028663619,213,2.2,4028663613,140,21.5,,,,,,,,,,aa257iqvul1ksok2v3ouoe86h,C. Degen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507056843,7,1,1,0,13,4e5523it4v7s6kkakelbj9si5,1,21.5,50.6,2023-02-12T15:02:11.957Z,2023-02-12T15:02:28Z,4028663875,140,26.7,4028663879,212,20.4,4028663873,56,Back,4028663881,213,1.3,4028663877,141,79.5,,,,,,,,,,19gypl4enklm01cxfzzbrb4yd,J. Pal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507056877,8,1,1,0,18,4e5523it4v7s6kkakelbj9si5,1,27,80.3,2023-02-12T15:02:16.822Z,2023-02-12T15:02:20Z,4028664077,140,65.9,4028664081,212,41.4,4028664085,1,,4028664083,213,6.1,4028664073,157,,4028664079,141,70.7,4028664075,56,Center,,,,6089nfwh31ha73pl7vlla75cl,S. Puntigam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
