id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2506892665,1,34,16,0,0,6bl19flj1eggw2gw7sya19bof,1,0,0,2023-02-12T11:03:43.756Z,2023-02-12T12:11:35Z,4027848105,194,6c9ed4z6hw7s5v8c9631algid,4027848099,59,"1, 2, 13, 11, 31, 4, 29, 8, 9, 10, 23, 7, 12, 16, 17, 20, 21, 24, 28, 77",4027848107,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027848103,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027848101,130,8,4027848097,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4027960043,197,8253,4027848095,30,"3loe8qn8nalk7liisl2hx891x, 49bajqj50h6lrbk4gt30eeodl, cbofbntctfuhr1vqpn7eywt05, f4g9co8i52ygweie4jjnvja39, 8g7i716knbylzqefolzb7l2vp, eyx4psuhprqtodl08iimdwb11, elrnwzbk985f5j49tn9gg9rai, 6l7cq8gkjb8r4i50vsd4xoo2x, 9hmgd3x5tekj4fnf0zju3i1ud, 6c9ed4z6hw7s5v8c9631algid, 9vgflgmrmvq8i95t3n70sur55, 52w10pe7mkfv4twb2p2c5ugnp, awhaid2wz82oubph46s75j8fe, 42k8yri0cxumhta00clvgez11, 42ah6u2wvj5tjuojzhtjiy6s5, 9e0vedknf3fgtc6ro1y8twixh, ch8ce5l6elqfogji42wyyedat, b8jaoqvq01ot0l9yp0b0btwid, 8ex4lsveeyet8r5aja1gjh1hx, 3w2wkclgijroy8b48fr80hbkl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506894305,1,34,16,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2023-02-12T11:09:39.533Z,2023-02-12T11:57:43Z,4027858917,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4027958763,197,17287,4027858913,59,"1, 19, 3, 21, 16, 18, 25, 6, 9, 10, 13, 4, 5, 7, 11, 14, 15, 24, 30",4027858909,30,"9qi8kgzemtdhtgdd0ppqsyelm, 6dr16qr33t4gjz70bv5bxc8dm, ikr5jm07viu4wblicjededt6, 6zmrvcurwjzt9y07c85s24r85, 9uu3awe8j2wf502ke5l9nwg5x, dxxo7gr1hcdzzum13rxotvk5x, 3ucjekvg77wnqsybahjae5iei, 8az7xzsavwdqyuhal2yxml10q, 6el60ixesyykp18873zddqve2, epxe17rtw23fpslr1e6cxlffu, 5hdjbf8idy50wlf0d6qi3lk9h, 57cbneelzdjmwvsk87sgq7omi, dr441rdowee2tvp2ufmp8itm2, dtj0nm0mjqz704pm3olqihf55, 6pgjx4bd90q1d1vof7bonhjx0, f01nw6jfywo13d30t2j6lmivo, ccwb5o1w1wuxfie257h1m3hn8, 7xm4fmfzpd3ff1ko7shkhqz9w, dfxumze2mdsrk4qj18vvlgj6c",4027858915,130,8,4027858919,194,9uu3awe8j2wf502ke5l9nwg5x,4027858911,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4027858921,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506914753,2,32,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2023-02-12T12:01:01.856Z,2023-02-12T12:01:02Z,4027963969,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506914759,2,32,1,0,0,6bl19flj1eggw2gw7sya19bof,1,0,0,2023-02-12T12:01:01.856Z,2023-02-12T12:01:03Z,4027963997,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506914787,3,1,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,49.7,50.3,2023-02-12T12:01:01.956Z,2023-02-12T12:01:06Z,4027964133,140,37.6,4027964137,212,16.7,4027964135,141,34.3,4027964139,213,3.8,4027964141,279,S,4027964131,56,Back,,,,,,,6el60ixesyykp18873zddqve2,R. Maier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506914815,4,1,1,0,4,2f7gua216miwsfd83rgjsn4ap,0,37.6,34.3,2023-02-12T12:01:06.628Z,2023-02-12T12:01:10Z,4027964275,141,14.0,4027964271,140,32.2,4027964285,213,4.3,4027964269,56,Back,4027964279,212,14.9,,,,,,,,,,8az7xzsavwdqyuhal2yxml10q,K. Piljić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506914819,3,1,1,0,7,6bl19flj1eggw2gw7sya19bof,0,26.2,79.9,2023-02-12T12:01:09.587Z,2023-02-12T12:01:11Z,4027964291,56,Back,4027964295,141,75.9,4027964299,213,6.1,4027964297,212,16.6,4027964293,140,41.8,,,,,,,,,,cbofbntctfuhr1vqpn7eywt05,F. Rauch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506914831,5,8,1,0,10,2f7gua216miwsfd83rgjsn4ap,1,48.5,25.5,2023-02-12T12:01:12.411Z,2023-02-12T12:01:12Z,4027964345,56,Back,,,,,,,,,,,,,,,,,,,,,,6zmrvcurwjzt9y07c85s24r85,A. Pfluger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506914897,6,1,1,0,15,2f7gua216miwsfd83rgjsn4ap,1,53.8,54.8,2023-02-12T12:01:16.892Z,2023-02-12T12:01:20Z,4027964617,141,82.9,4027964619,212,29.3,4027964613,56,Back,4027964615,140,32.6,4027964621,213,2.4,,,,,,,,,,6el60ixesyykp18873zddqve2,R. Maier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506914919,7,1,1,0,18,2f7gua216miwsfd83rgjsn4ap,0,34.1,79.6,2023-02-12T12:01:20.243Z,2023-02-12T12:01:35Z,4027964715,141,87.8,4027964711,56,Left,4027964721,1,,4027964713,140,73.1,4027964719,213,0.1,4027964717,212,41.3,,,,,,,ikr5jm07viu4wblicjededt6,E. Touon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506914917,4,49,1,0,20,6bl19flj1eggw2gw7sya19bof,1,28,11.3,2023-02-12T12:01:22.643Z,2023-02-12T12:01:22Z,,,,,,,,,,,,,,,,,,,,,,,,,49bajqj50h6lrbk4gt30eeodl,L. Wilms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506914945,5,1,1,0,21,6bl19flj1eggw2gw7sya19bof,1,24.3,11.6,2023-02-12T12:01:23.538Z,2023-02-12T12:01:25Z,4027964823,56,Back,4027964829,212,23.2,4027964827,141,30.7,4027964825,140,6.0,4027964831,213,2.5,,,,,,,,,,49bajqj50h6lrbk4gt30eeodl,L. Wilms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506914993,6,1,1,0,23,6bl19flj1eggw2gw7sya19bof,1,6,30.6,2023-02-12T12:01:25.539Z,2023-02-12T12:01:31Z,4027965045,212,45.0,4027965043,141,10.0,4027965047,213,6.0,4027965037,157,,4027965041,140,46.7,4027965039,56,Back,4027965049,1,,,,,3loe8qn8nalk7liisl2hx891x,M. Frohms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506915005,7,1,1,0,29,6bl19flj1eggw2gw7sya19bof,0,46.7,10,2023-02-12T12:01:31.234Z,2023-02-12T12:01:32Z,4027965113,212,11.9,4027965115,213,2.8,4027965109,140,36.0,4027965105,3,,4027965107,56,Back,4027965111,141,15.9,,,,,,,elrnwzbk985f5j49tn9gg9rai,J. Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506915015,8,45,1,0,30,6bl19flj1eggw2gw7sya19bof,0,41.1,21.8,2023-02-12T12:01:31.856Z,2023-02-12T12:58:45Z,4027965149,285,,4027965147,56,Back,4028112975,233,326,,,,,,,,,,,,,,,,6l7cq8gkjb8r4i50vsd4xoo2x,L. Lattwein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506943623,326,3,1,0,30,2f7gua216miwsfd83rgjsn4ap,1,58.9,78.2,2023-02-12T12:01:31.856Z,2023-02-12T12:49:02Z,4028112955,233,8,4028112917,56,Center,4028112919,286,,,,,,,,,,,,,,,,,epxe17rtw23fpslr1e6cxlffu,N. Kowalski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
