id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2481321713,1,34,16,0,0,eyecbfb1ur2104bhhwazhvrf,1,0,0,2022-11-04T17:20:30.292Z,2022-11-04T18:12:24Z,3893362715,30,"cwotwuxqimldexy77lqdh2t3p, 1l4s1w66pir9xk79jp78bxnmx, 1abadnoiq5hbwpfzzyvho4vkl, epdlb32r151kz861mljb1rs9h, 25ord6k6oglqdzt77nrs19e5l, 33nggo6w6e52yqmc2pa528xd5, efynp5qo9b9x0lh9b4ft0ic8a, 8ifhj2h1m7rt84i4bxksnmgnp, 9u74jd7ak8uad6lnhnthawiqd, 1lafqq1ic48v5500r8b0uprdh, 6aym6t1mr1xzv5pxvbtbn6hgp, 2x6hdcwn2s78i5frzj4q2s2c5, aq30av6eea3gxh2rk7c0bzi09, 46yjl6a3rr1djzc4qu6etlrai, y7mxuyh5olv0rh5od3p2gtt5, 5s8fprpl188pkkzn3524vph7u, d32rm12ddel0p93luuh5fq9cl",3893362727,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893459313,197,8753,3893362723,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3893362721,130,4,3893362725,194,25ord6k6oglqdzt77nrs19e5l,3893362717,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",3893362719,59,"1, 22, 9, 17, 31, 7, 10, 13, 16, 18, 23, 6, 8, 21, 25, 27, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481322901,1,34,16,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2022-11-04T17:24:34.237Z,2022-11-04T18:13:54Z,3893369471,30,"q4va8vnwzmwtdo6qymq4ywgl, 764yxrb6zqxke8l61qjd4o3qh, 2h5t74e8r147rzbett9on72sp, 46wf8el37rvruhacvvbv38z1m, 1f2ltq7gcnimsdgixp8w36eax, 1aarhrn1ncv5mi54thh5d045w, dzwhmhd3jlg8yz0ijm6mz2ei1, eyqhxpni376pocsunribu1jv9, ed31f3of5iql0onh9uellvtnt, 9yzs0w3tjas15ic0o2b51q86h, 4h4v3c01l7hjkfnnz9ef8i5m1, 9oq5f3fgf6g9vyc965o35127e, 8djtc44u653lmy03mnniax3l6, 54psl26zc4rs8cjnahl0jel05, 2gty977zjk5dpr6o72ybepp90, 4fidubhquqmngl2s15ozqfip6, 3fr48r9jcs4uw3he2ps7xu904",3893369475,59,"27, 2, 22, 14, 24, 26, 13, 6, 17, 18, 11, 8, 16, 20, 25, 29, 33",3893369473,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",3893462725,197,8650,3893369477,130,8,3893369479,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3893369481,194,eyqhxpni376pocsunribu1jv9,3893369483,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481342211,2,32,1,0,0,eyecbfb1ur2104bhhwazhvrf,1,0,0,2022-11-04T18:16:12.793Z,2022-11-04T18:16:12Z,3893468443,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481342219,2,32,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2022-11-04T18:16:12.793Z,2022-11-04T18:16:14Z,3893468499,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481342229,3,1,1,0,0,eyecbfb1ur2104bhhwazhvrf,1,49.9,50,2022-11-04T18:16:12.893Z,2022-11-04T18:16:15Z,3893468551,213,3.5,3893468549,212,13.9,3893468547,141,43.7,3893468553,279,S,3893468543,56,Back,3893468545,140,37.3,,,,,,,9u74jd7ak8uad6lnhnthawiqd,N. Billa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481342247,4,1,1,0,2,eyecbfb1ur2104bhhwazhvrf,1,37.3,43.7,2022-11-04T18:16:15.658Z,2022-11-04T18:16:17Z,3893468651,213,2.3,3893468643,56,Back,3893468649,212,18.2,3893468647,141,63.1,3893468645,140,25.4,,,,,,,,,,epdlb32r151kz861mljb1rs9h,F. Harsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481342271,5,1,1,0,4,eyecbfb1ur2104bhhwazhvrf,1,25.4,63.1,2022-11-04T18:16:17.178Z,2022-11-04T18:16:18Z,3893468767,140,25.2,3893468769,141,87.2,3893468773,213,1.6,3893468765,56,Back,3893468771,212,16.4,,,,,,,,,,33nggo6w6e52yqmc2pa528xd5,C. Hagel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481342289,6,1,1,0,6,eyecbfb1ur2104bhhwazhvrf,1,25.2,87.2,2022-11-04T18:16:18.826Z,2022-11-04T18:16:20Z,3893468887,213,4.5,3893468879,56,Back,3893468885,212,11.8,3893468881,140,22.5,3893468883,141,70.3,,,,,,,,,,1abadnoiq5hbwpfzzyvho4vkl,K. Naschenweng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481342309,7,1,1,0,7,eyecbfb1ur2104bhhwazhvrf,1,22.5,70.3,2022-11-04T18:16:20.650Z,2022-11-04T18:16:23Z,3893468983,140,23.5,3893468989,213,4.8,3893468987,212,23.1,3893468985,141,36.4,3893468981,56,Back,,,,,,,,,,33nggo6w6e52yqmc2pa528xd5,C. Hagel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481342323,8,1,1,0,10,eyecbfb1ur2104bhhwazhvrf,1,24.2,37.7,2022-11-04T18:16:23.355Z,2022-11-04T18:16:27Z,3893469075,56,Back,3893469079,141,62.4,3893469077,140,22.0,3893469081,212,17.0,3893469083,213,1.7,,,,,,,,,,25ord6k6oglqdzt77nrs19e5l,J. Feldkamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
