id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2479468151,1,34,16,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2022-10-30T14:08:24.015Z,2022-10-30T15:12:44Z,3883632467,130,18,3883632461,30,"q4va8vnwzmwtdo6qymq4ywgl, dzwhmhd3jlg8yz0ijm6mz2ei1, 2h5t74e8r147rzbett9on72sp, 1aarhrn1ncv5mi54thh5d045w, 1f2ltq7gcnimsdgixp8w36eax, 764yxrb6zqxke8l61qjd4o3qh, 46wf8el37rvruhacvvbv38z1m, eyqhxpni376pocsunribu1jv9, 9yzs0w3tjas15ic0o2b51q86h, ed31f3of5iql0onh9uellvtnt, 4h4v3c01l7hjkfnnz9ef8i5m1, 2ywmv0jjr4u8jgo8gnoisx0id, 9oq5f3fgf6g9vyc965o35127e, 8djtc44u653lmy03mnniax3l6, 54psl26zc4rs8cjnahl0jel05, 2gty977zjk5dpr6o72ybepp90, 4fidubhquqmngl2s15ozqfip6",3883970779,197,9561,3883632471,194,eyqhxpni376pocsunribu1jv9,3883632469,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3883632473,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883632465,59,"27, 13, 22, 26, 24, 2, 14, 6, 18, 17, 11, 1, 8, 16, 20, 25, 29",3883632463,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479472411,1,34,16,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2022-10-30T14:11:03.639Z,2022-10-30T14:59:26Z,3883655259,30,"5538ubmpq7ijg9s6fyt0qwglw, 6dr16qr33t4gjz70bv5bxc8dm, ikr5jm07viu4wblicjededt6, dxxo7gr1hcdzzum13rxotvk5x, 9uu3awe8j2wf502ke5l9nwg5x, 57cbneelzdjmwvsk87sgq7omi, 6zmrvcurwjzt9y07c85s24r85, 6i71063juhqq2d35riwhr1uqx, 6el60ixesyykp18873zddqve2, 5hdjbf8idy50wlf0d6qi3lk9h, 3ucjekvg77wnqsybahjae5iei, dr441rdowee2tvp2ufmp8itm2, epxe17rtw23fpslr1e6cxlffu, 6pgjx4bd90q1d1vof7bonhjx0, f01nw6jfywo13d30t2j6lmivo, ccwb5o1w1wuxfie257h1m3hn8, 8fvhkgu9pio9hcs0qhndw1239, 3585c838j2bk9rr5tw2but4ic, c2lq7lei84ba4ft8hp8jdht04, 565jokvoc8s75gk2h33pi4msq",3883655283,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883969031,197,17287,3883655271,130,4,3883655267,59,"12, 19, 3, 18, 16, 4, 21, 17, 9, 13, 25, 5, 10, 11, 14, 15, 23, 24, 27, 29",3883655263,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3883655279,194,9uu3awe8j2wf502ke5l9nwg5x,3883655275,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479532827,2,32,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2022-10-30T15:01:49.776Z,2022-10-30T15:01:49Z,3883979809,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479532833,2,32,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2022-10-30T15:01:49.776Z,2022-10-30T15:01:51Z,3883979829,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479532903,3,1,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,49.9,50,2022-10-30T15:01:49.876Z,2022-10-30T15:01:54Z,3883980171,56,Back,3883980177,212,23.1,3883980173,140,28.0,3883980175,141,52.8,3883980179,213,3.1,3883980181,279,S,,,,,,,ed31f3of5iql0onh9uellvtnt,A. Arfaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479532927,4,1,1,0,4,dpp6fex0mdxsxhdct2qf66x5n,1,28.4,45.4,2022-10-30T15:01:54.606Z,2022-10-30T15:01:56Z,3883980291,212,12.8,3883980289,141,26.7,3883980285,56,Back,3883980287,140,26.8,3883980293,213,4.6,,,,,,,,,,1aarhrn1ncv5mi54thh5d045w,C. Fröhlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479532997,5,1,1,0,6,dpp6fex0mdxsxhdct2qf66x5n,1,27.2,23.6,2022-10-30T15:01:56.413Z,2022-10-30T15:02:00Z,3883980647,141,37.1,3883980651,213,0.8,3883980649,212,12.2,3883980645,140,34.9,3883980643,56,Back,,,,,,,,,,1f2ltq7gcnimsdgixp8w36eax,L. Turányi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479533079,6,1,1,0,10,dpp6fex0mdxsxhdct2qf66x5n,1,32.6,45.2,2022-10-30T15:02:00.446Z,2022-10-30T15:02:04Z,3883981085,213,1.7,3883981083,212,24.8,3883981081,141,81.2,3883981077,56,Back,3883981079,140,28.7,,,,,,,,,,46wf8el37rvruhacvvbv38z1m,J. Wirtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479533171,7,1,1,0,15,dpp6fex0mdxsxhdct2qf66x5n,1,29.4,82.4,2022-10-30T15:02:04.782Z,2022-10-30T15:02:10Z,3883981533,141,83.2,3883981535,212,27.2,3883981531,140,55.3,3883981529,56,Left,3883981537,213,0.0,,,,,,,,,,2h5t74e8r147rzbett9on72sp,A. Emmerling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479533175,8,61,1,0,20,dpp6fex0mdxsxhdct2qf66x5n,0,37.1,96.9,2022-10-30T15:02:10.478Z,2022-10-30T15:02:10Z,3883981563,56,Back,,,,,,,,,,,,,,,,,,,,,,9yzs0w3tjas15ic0o2b51q86h,J. Bayings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
