id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/16/value,qualifier/17/value
2522271239,1,34,16,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2023-03-19T10:57:30.077Z,2023-03-19T11:32:00Z,4109261053,197,12017,4109182749,30,"c6wbavw0v5bxajsd2xz7qg1d5, ifp26xl8pzgarz05vnfjv3yt, 3yx85beji7yke6s4su7f0tzh1, c5ze370ixl09ccy818f92jkk5, 4rxi67te6h5sfv95cxs2gmynd, b4r8ripw5dilngnxrb5fkkkid, b7o9ncawaqn5jj5v32b3gn1be, bkyl1g1z7xenlu0augv7717u1, bb1q58ts374m0dgx2afl6gq5m, 7o8xh2r55xb1yiz5gjvnp0rmx, 1zq3xp6uas4qe3jv0huphuzmd, 4xlf56csffamnnw04mba3wpw4, e8zyhpx14n6upjw5fnqbc9k44, 68vj95m8a7vmurirk0hr8lboq, aglsidifjxvmwn1cyg6qcze38, 26xyd3qlh5v3ypcrdx4l1waju, 90hq4z2yaqtm03zefavqmf46h, am9nqqu4kh06f457nxwmpgg0k, dejb47luo9o523wl9fm9yncgl, 4udz6yr09afpwg201j7ruyaz8",4109182759,194,b4r8ripw5dilngnxrb5fkkkid,4109182753,59,"1, 16, 3, 28, 26, 2, 8, 21, 30, 10, 20, 5, 6, 7, 18, 19, 22, 29, 33, 55",4109182755,130,4,4109182757,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4109182751,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4109182761,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522271271,1,34,16,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2023-03-19T10:57:35.965Z,2023-03-19T11:55:16Z,4109258997,197,16707,4109182919,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4109182907,30,"7o6r8tzrtw3820q5g8slo51w5, 7hjudlzsedzdtoh1mujgqj3yt, 7lx9lvt04ne2umnr922nbx68l, 8gef0np3atw3ihedrd6b16g9h, 51kuc7ba0zrbs82iok6sia76d, bbryvdwzavouhzf5d31kysvvu, 4qzbgxsev4wibbvo4osmwb4r9, 7fu77l8o1mi2fq8iqqirsu09h, 5dnoofqsczzkdqrdmj661d239, 5nljieat47whdahci7pz82tjo, a5ysq9fe13ges96z29omy3gmh, ewrcxn31z5uhgemq7bhbwvw89, eoup3nwpmplc03m9p7olaxel0, giu5n1h30ybxtkwdquf1l6g9, 4m30589hhq4xbg98r9vxuiyg9, 6aybaux5k8c5xtzswmbljv1m1, y1n01stf6l2bn9nw1l1qv7kk, bli75mkfku2no79sep0n21v8q, cfntkj03dvexguaq8sp37fglx, 5zsg8757gph0bjpznr9uciycq",4109182917,194,7o6r8tzrtw3820q5g8slo51w5,4109182909,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4109182915,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4109182913,130,21,4109182911,59,"1, 27, 5, 73, 11, 77, 71, 6, 29, 3, 4, 12, 15, 19, 20, 24, 28, 30, 36, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522288579,2,32,1,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2023-03-19T11:33:55Z,2023-03-19T11:34:24Z,4109266315,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522288925,4,32,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2023-03-19T11:33:55Z,2023-03-19T11:34:33Z,4109268109,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522288971,5,1,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,50,50,2023-03-19T11:33:55.255Z,2023-03-19T13:43:36Z,4109268311,141,51.3,4109268315,213,3.0,4109268313,212,6.3,4109268309,140,44.1,4109470059,279,S,4109268307,56,Back,,,,,,,c5ze370ixl09ccy818f92jkk5,Z. Ferrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522288559,2,43,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2023-03-19T11:33:55.633Z,2023-03-19T11:34:24Z,4109266251,127,Right to Left,4109267703,144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522288981,6,1,1,0,2,bcuj94typp0ykv77ijp9wpsve,0,44.1,51.3,2023-03-19T11:33:57.029Z,2023-03-19T13:43:36Z,4109268371,140,58.4,4109268377,213,0.4,4109268373,141,61.8,4109268375,212,16.6,4109268369,56,Center,,,,,,,,,,bb1q58ts374m0dgx2afl6gq5m,V. Battelani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522288965,4,8,1,0,4,7pm0maqtof5rdc3ksumasw55g,1,39.9,36.9,2023-03-19T11:33:59.974Z,2023-03-19T13:41:26Z,4109268289,56,Back,,,,,,,,,,,,,,,,,,,,,,7hjudlzsedzdtoh1mujgqj3yt,E. Santoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522288661,3,43,1,0,4,bcuj94typp0ykv77ijp9wpsve,1,0,0,2023-03-19T11:34:00.333Z,2023-03-19T11:34:13Z,4109266757,22,0,4109267103,144,39,4109266763,279,S,4109266761,56,Center,4109266769,253,0,4109266759,19,0,,,,,,,c5ze370ixl09ccy818f92jkk5,Z. Ferrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522288623,3,43,1,0,6,7pm0maqtof5rdc3ksumasw55g,1,0,0,2023-03-19T11:34:02.458Z,2023-03-19T11:34:06Z,4109266835,144,5,4109266563,56,Back,4109266565,346,0,,,,,,,,,,,,,,,,7o6r8tzrtw3820q5g8slo51w5,A. Capelletti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
