id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/9/value,qualifier/10/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/13/value,assist,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2543081145,1,34,16,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-05-03T17:46:33.593Z,2023-05-03T18:52:15Z,4247535869,59,"16, 2, 5, 40, 20, 28, 56, 4, 27, 90, 10, 1, 7, 8, 9, 12, 14, 17, 19, 24, 25, 30, 33, 46, 83",4247535875,194,e2vtm1318mm61db2wtj4m5p79,4247535873,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247535871,130,8,4247535865,30,"3fpnfgoy4lbpapv2th6g60cet, e2vtm1318mm61db2wtj4m5p79, dmrj53hcw8vcffxx0lfudbob9, 72vim7cq99zdjjwivwtr773vu, b33rlpjo3kx4477alx82si5wq, cfpaejad8i9p2r1fj0wx0g222, 9vnr9uog5fmggich2i4vjxwbt, cknjube5flk1r5ppqthj82c5, 1dwwsz1i6v8zwh802ujwf7emt, 7ox43isyywsnrfcd56nm65be, 3jln1gzc0859ymphvq83i0mp5, 7kph61hobc93t2c2tl8l5j105, 9ncagt0ezp4f41hz3b64af1t5, 9sxg58hszjq17avxgumftdu22, 5awkzgwwh48prwgvxwewuc5hx, eyra5urhrm92240e7qbll736d, wr2f0yl1bf68r73hkjee2pqt, 11o903vztwpnmvgrinn208qnd, 3tpmw6tlijytn0ahwztvedkut, ehztjmhg6fsddm1fqb00547o5, ad1n9czqhmfe1saleourqmzth, 17au7v1ocl4zab872g59821yi, 3v1fnp5e9pxfzgou5ebrgprrp, enqcaecpt5hy0qv9x5pzmkjc9, 68cu39v9m8pykapkh2b97ltqt",4247535877,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247535867,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4247787401,197,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543084915,1,34,16,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2023-05-03T17:52:20.365Z,2023-05-03T19:00:50Z,4247556849,130,8,4247556845,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4247556855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247556847,59,"12, 17, 5, 28, 21, 44, 26, 6, 20, 27, 10, 3, 4, 9, 13, 15, 18, 19, 23, 24, 45, 77, 99",4247556843,30,"eu9b86opw6n66vftu1r5alfqh, 913rgsi93o890wc2cbuwlbqp5, 7ojvhhfvbtbn60sc50y4l2ctm, 9qrewt049r6yq88c715ymau39, 360knvg4k1yywxnb8o1mlyggl, 3jruai7zu28e8f0ooj4t16l05, 7358y8d8v19qn6s8h0kx7tn11, a8ez7qv4n62b8s45pdo8u07o5, 74g3ef24ctcgw1kee77d3acr8, 860ysqvvnpfya7bwxbe4g0wk5, 319knuftqo071luold2fqluqd, d9bg5jjv8pz0f8u55x3hg0962, ay6tmp6zkxtjzse2gel3rgnl6, 1t1kgb0r5ca32f54emsscfob9, g324scl7t7h6j05g973me82y, ckzn72wo51pmw475t9tl6vr2t, 86nwv5baekm00h4d3z0suwhyh, a7gi41760sk45wbkpbps3njdh, 33erk8bdhefx5xnkjad2fvy8k, 5sxy1z2pz5bhlp767lyjte76d, a3o9x85aooe65w5r3ibs8ltk9, 1gnc1tbpmomiqt1sty2lktt5, 98agxmllw183w3cml8j8q76dw",4247811407,197,16721,4247556853,194,319knuftqo071luold2fqluqd,4247556851,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543132645,2,32,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-05-03T19:00:06.847Z,2023-05-04T00:42:36Z,4247821253,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543132639,2,32,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2023-05-03T19:00:06.847Z,2023-05-03T19:00:07Z,4247821227,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543132673,3,1,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,49.9,50.3,2023-05-03T19:00:07.013Z,2023-05-04T00:47:34Z,4247821361,140,36.7,4248616921,178,,4247821373,213,2.8,4247821369,212,14.7,4247821365,141,57.7,4247821377,279,S,4247821357,56,Back,,,,860ysqvvnpfya7bwxbe4g0wk5,P. Galdames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543132705,4,1,1,0,2,af91jdcs6x0bqkmdb78rokod2,1,36.9,59.1,2023-05-03T19:00:08.941Z,2023-05-04T00:47:42Z,4247821533,141,91.8,4247821531,140,34.9,4247821529,56,Back,4247821537,213,1.7,4248617115,178,,4247821535,212,22.3,,,,,,,9qrewt049r6yq88c715ymau39,S. Meïté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543132771,5,1,1,0,5,af91jdcs6x0bqkmdb78rokod2,1,35.5,89.1,2023-05-03T19:00:11.858Z,2023-05-04T00:47:50Z,4247821955,56,Back,4247821959,141,71.2,4247821957,140,21.0,4247821961,212,19.5,4247821963,213,3.8,4248617363,178,,,,,,,,7ojvhhfvbtbn60sc50y4l2ctm,J. Vásquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543132787,6,1,1,0,6,af91jdcs6x0bqkmdb78rokod2,0,21,73.4,2023-05-03T19:00:13.564Z,2023-05-04T00:47:53Z,4247822073,141,90.0,4247822071,140,58.2,4247822077,213,0.3,4248617453,178,,4247822069,56,Left,4247822075,212,40.7,4247822079,1,,4248075717,157,,3jruai7zu28e8f0ooj4t16l05,L. Lochoshvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543132793,3,44,1,0,9,9dntj5dioj5ex52yrgwzxrq9l,1,43.1,14.1,2023-05-03T19:00:16.649Z,2023-05-04T01:48:11Z,4247822091,56,Back,4247822093,285,,4247822103,233,7,,,,,,,,,,,,,,,,b33rlpjo3kx4477alx82si5wq,P. Kalulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543132791,7,44,1,0,9,af91jdcs6x0bqkmdb78rokod2,0,56.9,85.9,2023-05-03T19:00:16.650Z,2023-05-04T00:48:07Z,4247822239,233,3,4247822087,56,Left,4247822089,286,,,,,,,,,,,,,,,,,74g3ef24ctcgw1kee77d3acr8,F. Afena-Gyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
