id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,keyPass,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2543091285,1,34,16,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-05-03T18:06:18.768Z,2023-05-03T19:07:48Z,4247593751,30,"c7fky0h6gi7wmibnv2tzf6mz9, 68etig279gs3btjb7fv6rvfth, 9mldc318nq0tli73wjh6ueket, 9sjt5rv156hr2llfu241r6cph, m7fe173js8on94ag3htziy8l, 130pg17ru5fzq4igokx0k73e1, 2q0bx5wsc6b68vpps79hosnah, kc4qkj63uqu3wnkydxtvmwh5, 83kdacraf2mcnbg038ld68ne2, c39nv7jn5c3qzglosgzigif2t, bo98qzo4gu0npm4pewc25ovyt, 5uro3xukpb1lsnwepj06lgzit, 7uf7y7xa6hy3gieetcte3td2i, dp1y9x5r6z1q120hj3sgyhxat, co1vwppy1870xm5iymj3wmp5h, 20f5apcbciifqyln8hp3cziwa, 6mybntbgl188coqd2dl6ulhm2, a9z0jsjwfteq974bxwucvc4ix, 3tuxipzf6pqvga0a12422gatx, 448dubo3a0ty03v6ajxpw2k2c, 5054kfjkrimomrhilbe5j3xbe, g64b8x11ndowv2zj29r9i311, c2ezyc2fftje7rcm5ybbuytp1, 8o8o4rxbdhv002pj0q21l0f84, 8kdamc6zz4bskby51c59uuntg",4247593763,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247593759,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247593757,130,6,4247785147,197,16329,4247593753,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4247593755,59,"1, 5, 17, 61, 23, 6, 29, 28, 38, 7, 8, 2, 3, 19, 22, 24, 25, 26, 27, 30, 32, 33, 34, 42, 77",4247593761,194,68etig279gs3btjb7fv6rvfth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543093227,1,34,16,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-05-03T18:09:34.547Z,2023-05-03T19:01:17Z,4247776701,197,17993,4247604929,130,12,4247604935,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247604933,194,c9lu69xk59a75bnpzgalh1kut,4247604927,59,"1, 2, 32, 15, 6, 33, 20, 22, 10, 9, 77, 5, 11, 12, 14, 21, 23, 24, 36, 45, 46, 47, 90, 95",4247604931,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247604923,30,"c9lu69xk59a75bnpzgalh1kut, 2r6hs8npijvt4wekd059t6tx, 19856wqwrmzmvfw9thf0tzrv9, ujb2hkujcnwnyrbsgk3ilmtx, by2gxuixij1eciu56k8mb3cgl, 6zcok1vbaitp91a9nrac20t05, botfgp0oq4wqlwtcs9m90kded, 1xscywgyfqisqexmpfvbf9g45, 7r2tgpdrr4v6n9d2gkzwmlazt, a5eki9p236y4zxmp9qz202pcl, 3ddsnnhxo0mem95lcph71ix1x, ci37qg2uu0z3nppxvn0z9034l, 6d7rip50yu2j7vyk76zokeehh, aripnzu9yo2wlr8ud93ufdhih, can2l9ha4ufsxdjxdkb739fkk, 84so0uovope0pkt6cz2iisbth, ahgd3on22t4h7gg9ipnj1itw5, 8kttsnok9bbh7kpy3zz3j2xg5, asyzhp3qu95vmzdbau6nmoic5, 6vz9qzgtbh3iqzv73xw2xaiok, 7agtkarul2qlsc20avvj45w8a, 99gk3o7eh6m02n9ggj3ixprvu, 8qgbxff7xlg0zjtyees7ljljp, q6ns1fyw7w10xkkubh8etfc9",4247604925,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543133637,2,32,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-05-03T19:01:11.711Z,2023-05-04T01:13:19Z,4247826389,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543133645,2,32,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-05-03T19:01:11.711Z,2023-05-03T19:01:15Z,4247826441,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543133715,3,1,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,50.1,50.1,2023-05-03T19:01:11.776Z,2023-05-04T01:45:20Z,4247826835,141,50.9,4247826833,140,33.7,4247826837,212,17.2,4248715629,178,,4247826839,213,3.1,4247826831,56,Back,4247826841,279,S,,,,c39nv7jn5c3qzglosgzigif2t,S. Verdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543133799,4,1,1,0,3,ap6blbxhq9elm62vw6tutzlwg,1,34.1,49.3,2023-05-03T19:01:15.362Z,2023-05-04T01:45:24Z,4248715715,178,,4247827269,213,0.6,4247827261,56,Left,4247827271,1,,4247827263,140,64.0,4247827265,141,83.6,4247827259,155,,4247827267,212,39.1,130pg17ru5fzq4igokx0k73e1,I. Hien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543133805,5,44,1,0,7,ap6blbxhq9elm62vw6tutzlwg,1,68.8,87.2,2023-05-03T19:01:18.824Z,2023-05-04T02:35:13Z,4247827307,286,,4247827305,56,Left,4247827335,233,3,,,,,,,,,,,,,,,,kc4qkj63uqu3wnkydxtvmwh5,O. Abildgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543133791,3,44,1,0,7,3vo5mpj7catp66nrwwqiuhuup,0,31.2,12.8,2023-05-03T19:01:18.825Z,2023-05-04T01:46:14Z,4247827195,56,Back,4247827389,233,5,4247827197,285,,,,,,,,,,,,,,,,,2r6hs8npijvt4wekd059t6tx,D. Dumfries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543133823,6,1,1,0,7,ap6blbxhq9elm62vw6tutzlwg,0,64,83.6,2023-05-03T19:01:18.849Z,2023-05-04T02:35:13Z,4247827429,213,0.0,4247827419,168,,4247827423,140,83.3,4248717665,388,,4247827421,56,Left,4247827425,141,84.4,4247827417,3,,4247827427,212,20.3,kc4qkj63uqu3wnkydxtvmwh5,O. Abildgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543135267,29,49,1,0,8,3vo5mpj7catp66nrwwqiuhuup,1,12.2,13.4,2023-05-03T19:01:20.137Z,2023-05-04T01:46:19Z,,,,,,,,,,,,,,,,,,,,,,,,,6zcok1vbaitp91a9nrac20t05,D. D'Ambrosio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
