id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist
2490025331,1,34,16,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2022-12-10T10:53:22.895Z,2022-12-10T11:50:42Z,3939027537,30,"c6wbavw0v5bxajsd2xz7qg1d5, ifp26xl8pzgarz05vnfjv3yt, 3yx85beji7yke6s4su7f0tzh1, c5ze370ixl09ccy818f92jkk5, b4r8ripw5dilngnxrb5fkkkid, 4xlf56csffamnnw04mba3wpw4, b7o9ncawaqn5jj5v32b3gn1be, 7o8xh2r55xb1yiz5gjvnp0rmx, 68vj95m8a7vmurirk0hr8lboq, 1zq3xp6uas4qe3jv0huphuzmd, bkyl1g1z7xenlu0augv7717u1, e8zyhpx14n6upjw5fnqbc9k44, 33fdo0axm0x7s88xj3br3xt61, 6a9iztbvqz1ivizma0g528v84, aglsidifjxvmwn1cyg6qcze38, 26xyd3qlh5v3ypcrdx4l1waju, am9nqqu4kh06f457nxwmpgg0k, bb1q58ts374m0dgx2afl6gq5m, dejb47luo9o523wl9fm9yncgl, 60n2n8den11uhjvk7lpse8qhg",3939027541,59,"1, 16, 3, 28, 2, 5, 8, 10, 7, 20, 21, 6, 9, 11, 18, 19, 29, 30, 33, 44",3939027543,130,23,3939027545,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939027547,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939063283,194,b4r8ripw5dilngnxrb5fkkkid,3939063285,197,16701,3939027539,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490025343,1,34,16,0,0,ca8pjvyb7hgttr1dalj2nguum,1,0,0,2022-12-10T10:53:28.603Z,2022-12-10T12:20:33Z,3939027621,30,"6clgafy8vlbq6qw2ofptwkwd1, 496otta0vz8p7eackdpfod68l, 48rypey85a23z9ht4k5skw8b8, c5s6l4u9gjdv3ce5rc0we8sx6, 3izcnjpqeumq1mjfy1osc3qhh, b6e5e8znxa7u9qhtxtwflxgwl, 27rdlepga8wdw4xj949y5vh05, a9piss5nrytn5tn83frlj02qd, 94161is0x6f3s9kyrm2cxjf85, 30mwaentr99qb99ce6y9o1p0p, 56eun8e4lpn74l3fqhasn7fqi, 5pzwqucy2dh371u2uc8iugul1, 1ql4mxhyvvp14meu36zbu0es5, 72rc6zija9e9d4ggx884dq7dh, cesfj7ea02i5bewyth29lpvro, 3d6o80x3c0kq6t2dvxzqrt8t1, 86hh9b5pqts5dbx3zhf6i1zx0, 2eg5q67ivbjr99ltdrvez9zbo, wfje6qr76i6p8bf1n5e2zspg, ahl0jmc489czpldqg3gr649g",3939027629,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939061511,194,56eun8e4lpn74l3fqhasn7fqi,3939027627,130,4,3939061513,197,14652,3939027625,59,"22, 2, 14, 6, 3, 29, 5, 20, 33, 11, 18, 7, 8, 13, 15, 19, 32, 34, 35, 38",3939027631,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939027623,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490032661,2,32,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2022-12-10T11:30:17.217Z,2022-12-10T11:30:17Z,3939064725,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490032663,2,32,1,0,0,ca8pjvyb7hgttr1dalj2nguum,1,0,0,2022-12-10T11:30:17.217Z,2022-12-10T11:30:19Z,3939064731,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490032697,3,1,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,50.2,50,2022-12-10T11:30:17.317Z,2022-12-10T11:30:22Z,3939064887,140,34.4,3939064895,279,S,3939064893,213,3.2,3939064889,141,47.5,3939064891,212,16.7,3939064885,56,Back,,,,,,,1zq3xp6uas4qe3jv0huphuzmd,A. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490032709,4,1,1,0,4,bcuj94typp0ykv77ijp9wpsve,1,34.4,47.5,2022-12-10T11:30:22.164Z,2022-12-10T11:30:24Z,3939064967,212,23.7,3939064965,141,82.3,3939064963,140,33.7,3939064969,213,1.6,3939064961,56,Back,,,,,,,,,,7o8xh2r55xb1yiz5gjvnp0rmx,Taty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490032717,5,1,1,0,7,bcuj94typp0ykv77ijp9wpsve,1,33.6,82.4,2022-12-10T11:30:24.229Z,2022-12-10T11:30:25Z,3939064991,56,Left,3939064999,213,0.1,3939064997,212,30.1,3939064993,140,62.2,3939064995,141,86.0,,,,,,,,,,b4r8ripw5dilngnxrb5fkkkid,G. Apicella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490032719,6,61,1,0,8,bcuj94typp0ykv77ijp9wpsve,0,62.2,86,2022-12-10T11:30:25.861Z,2022-12-10T11:30:26Z,3939065003,56,Left,,,,,,,,,,,,,,,,,,,,,,c5ze370ixl09ccy818f92jkk5,Z. Ferrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490032729,3,61,1,0,10,ca8pjvyb7hgttr1dalj2nguum,0,49,15.2,2022-12-10T11:30:27.508Z,2022-12-10T11:30:27Z,3939065067,56,Back,,,,,,,,,,,,,,,,,,,,,,27rdlepga8wdw4xj949y5vh05,G. Karchouni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490032765,7,1,1,0,12,bcuj94typp0ykv77ijp9wpsve,1,59.4,90.8,2022-12-10T11:30:29.572Z,2022-12-10T11:30:36Z,3939065205,140,71.2,3939065203,56,Left,3939065209,212,13.1,3939065207,141,97.1,3939065211,213,0.3,,,,,,,,,,bkyl1g1z7xenlu0augv7717u1,V. Di Giammarino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490032767,8,61,1,0,18,bcuj94typp0ykv77ijp9wpsve,0,71.1,73.3,2022-12-10T11:30:35.710Z,2022-12-10T12:09:44Z,3939065221,56,Center,,,,,,,,,,,,,,,,,,,,,,1zq3xp6uas4qe3jv0huphuzmd,A. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490032757,4,61,1,0,18,ca8pjvyb7hgttr1dalj2nguum,0,27.2,26.4,2022-12-10T11:30:35.970Z,2022-12-10T11:30:36Z,3939065177,56,Back,,,,,,,,,,,,,,,,,,,,,,a9piss5nrytn5tn83frlj02qd,F. Simonetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490032793,9,3,1,0,24,bcuj94typp0ykv77ijp9wpsve,0,72.8,70.8,2022-12-10T11:30:41.749Z,2022-12-10T11:30:44Z,3939065337,56,Center,3939065485,233,5,3939065339,286,,,,,,,,,,,,,,,,,68vj95m8a7vmurirk0hr8lboq,A. Corelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490032805,5,7,1,0,24,ca8pjvyb7hgttr1dalj2nguum,0,27.2,29.2,2022-12-10T11:30:41.750Z,2022-12-10T12:17:01Z,3939065413,285,,3939065441,233,9,3939065411,56,Back,,,,,,,,,,,,,,,,27rdlepga8wdw4xj949y5vh05,G. Karchouni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
