id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2548637999,1,34,16,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2023-05-14T12:05:31.221Z,2023-05-14T13:04:04Z,4277165511,30,"u60zu48a4zqnupyxp2d0mqqd, jk8n72zhngmdw2ek47zx7f11, 896uaqjrz22q6fqjfzuwf77jd, 9y8fnvazj02vy31ljx3du0d79, 2kfkjjqh7vrfcfbgr4aa85dqt, 8n0c5t5wzfkoauryyzy8be0gl, 72im0m7d8rqpsclo4f5crqmsp, 3bhy6x04rbwzk0nh1fm59dmnd, 1wynwp4x95o9w5tt4cdog6i1, dpcws493fepch23sk26m1a8yd, 7knk2xsg4690hgq9us9us8ull, af58rhtg8ck7c8g7nwfs67d91, 2p1pns6j6id4nx3nbi7fv0wrt, cv0p6dzx3res3affivdwcpolx, copo8qsmvy2fhpi1aev6f46i1, cp13vthbds3tl1wtfelfx2evp, 9bba1hgnx5mzpkzeazsoikn9x, 5d9i8ubibyiecxecr9jjvxexh, 9c9g2havtsf29fpt5582y8ne2, 40msbo4o5bwx0oeuz4743w161, 1ct0gujao4wvj1ff3aebqgqnd, 4zy4d60v2qmaplm9xbe51y1gp, abq67eup8kd31w8da2i0eftgp, bcqutyzafpahp2ni41u2xt4gl",4277165513,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4277165519,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4277165517,130,8,4277165515,59,"95, 19, 17, 68, 13, 5, 7, 99, 9, 20, 23, 1, 3, 4, 12, 18, 21, 22, 31, 55, 70, 77, 81, 91",4277409413,197,9742,4277360055,194,dpcws493fepch23sk26m1a8yd,4277165521,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548642073,1,34,16,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-05-14T12:09:42.159Z,2023-05-14T14:00:22Z,4277186363,130,18,4277186355,30,"b3hr4q25jvqr7565z5ydqylt5, bcqsti42fhzap385lnfe4auhh, 4d17grk2qflzake218uz76uei, av8588qp8e5wz3s7cg1n2qgnp, ejgtltbsu0djglqw98gywgu6t, thnje2i2s96fcbuscj57053p, 79e6khfyg3rdauul0yjlixv8q, 2qdgfxqyh0bjn3alkz97py8k5, dq037w5t3ht5zgd75mue4p1pl, 91sgvwun5559mwe9bszj4xql1, 6ck9f1ppvl65nui0x71q80jx1, annamxplmbyakvo2akw63xxw5, erdqr6vrr5tlfypbks3og0dlh, 4vonqsqrzoyye4vs6n7dud2p5, 1muwnu7rq4feejspx7no203px, 61phh511ju65h6coren0pbkd1, 9noq0ogmqc2cwj3nowoadcdlh, ejmdm3h3oxr0fqubd5sbozq0a, 64z85woxiowxzod5e0g0x77x1, 721e4tx2wrwb4kd9w80fcq19l, 2zk88fh1e5js1g2jmfkrjmxka, 1b8uwkohkevu6ltjex0liklpl, 18yip8wsirmu6s0idhvapnaad, rblijalj0qnu455jtjoi3pjo, 6jwy293owzzhldv4i9wxntjv9, ahrgnlsku8ghrj2qc0s6p1rhm",4277186369,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4277398105,197,8477,4277186367,194,2qdgfxqyh0bjn3alkz97py8k5,4277186359,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4277186365,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4277186361,59,"16, 84, 30, 5, 4, 55, 6, 32, 47, 37, 17, 2, 3, 7, 8, 9, 10, 11, 12, 19, 22, 26, 77, 80, 89, 91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548687647,2,32,1,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2023-05-14T13:01:31.921Z,2023-05-14T13:01:32Z,4277420125,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548687659,2,32,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-05-14T13:01:31.921Z,2023-05-14T22:26:42Z,4277420203,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548687707,3,1,1,0,0,gi0l1habji5hpgar77dl5jqe,1,50.3,50.2,2023-05-14T13:01:32.117Z,2023-05-14T22:35:42Z,4277420503,212,2.7,4277420499,140,52.3,4279519249,178,,4277420507,279,S,4277420497,56,Center,4277420505,213,5.6,4277420501,141,47.8,,,,dpcws493fepch23sk26m1a8yd,P. Zieliński,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548687765,4,1,1,0,1,gi0l1habji5hpgar77dl5jqe,1,54.4,44.6,2023-05-14T13:01:33.481Z,2023-05-14T22:35:57Z,4277420845,140,66.3,4277420851,213,5.3,4277420847,141,16.0,4277420849,212,23.1,4277420843,56,Right,4279520609,178,,,,,,,,9y8fnvazj02vy31ljx3du0d79,S. Lobotka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548687793,5,1,1,0,4,gi0l1habji5hpgar77dl5jqe,1,66.4,16,2023-05-14T13:01:36.218Z,2023-05-14T22:36:05Z,4277421039,212,8.8,4277421033,56,Right,4277421041,213,5.3,4277421035,140,70.8,4277421037,141,4.9,4279521837,178,,,,,,,,jk8n72zhngmdw2ek47zx7f11,B. Bereszyński,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548687821,6,1,1,0,6,gi0l1habji5hpgar77dl5jqe,1,72.5,9.1,2023-05-14T13:01:38.787Z,2023-05-14T22:36:13Z,4277421183,141,47.6,4279522015,178,,4277421181,140,76.2,4277421179,56,Center,4277421177,155,,4277421187,213,1.4,4277421185,212,26.5,,,,72im0m7d8rqpsclo4f5crqmsp,E. Elmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549101693,902,67,1,0,8,gi0l1habji5hpgar77dl5jqe,1,75.4,45.8,2023-05-14T13:01:40.228Z,2023-05-15T00:18:17Z,4279657261,233,803,,,,,,,,,,,,,,,,,,,,,,1wynwp4x95o9w5tt4cdog6i1,V. Osimhen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549101689,803,67,1,0,8,67z1gqyiuzpmmb15q5fy7ntc4,0,24.6,54.2,2023-05-14T13:01:40.229Z,2023-05-14T23:10:48Z,4279657269,233,902,,,,,,,,,,,,,,,,,,,,,,91sgvwun5559mwe9bszj4xql1,A. Petagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
