id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2489018457,1,34,16,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2022-12-04T10:31:45.396Z,2022-12-04T11:48:38Z,3933689537,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3933786699,197,16707,3933689535,194,7o6r8tzrtw3820q5g8slo51w5,3933689527,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3933689531,130,4,3933689529,59,"1, 27, 7, 6, 11, 14, 71, 4, 24, 36, 10, 3, 12, 15, 17, 21, 28, 73, 77",3933689525,30,"7o6r8tzrtw3820q5g8slo51w5, 7hjudlzsedzdtoh1mujgqj3yt, egz2k5rilem5eycz1blntm3v8, 7fu77l8o1mi2fq8iqqirsu09h, 51kuc7ba0zrbs82iok6sia76d, 97c2wpbq7cw51dh668feuju1h, 4qzbgxsev4wibbvo4osmwb4r9, a5ysq9fe13ges96z29omy3gmh, 6aybaux5k8c5xtzswmbljv1m1, cfntkj03dvexguaq8sp37fglx, 78kvxlwqgxlr5tw44nnkcwslx, 4udz6yr09afpwg201j7ruyaz8, ewrcxn31z5uhgemq7bhbwvw89, eoup3nwpmplc03m9p7olaxel0, dhus1gg9t5tpqh3xxwrte9l1x, d0od4dxuv7bywyzy3300rp27e, y1n01stf6l2bn9nw1l1qv7kk, 8gef0np3atw3ihedrd6b16g9h, bbryvdwzavouhzf5d31kysvvu",3933689533,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489018849,1,34,16,0,0,7jaarwfaeewpo3vnfvhc2c665,1,0,0,2022-12-04T10:33:08.528Z,2022-12-04T11:43:13Z,3933807921,197,8196,3933691813,130,10,3933691811,59,"73, 2, 3, 4, 20, 85, 8, 15, 27, 26, 6, 1, 9, 10, 21, 23, 32, 33, 77, 78",3933691807,30,"7znpe1zzdhv7izxm0m0c2a6eh, 9ihxuqs1v194z96ytkbr6tot1, 8hrg2luo5rmy9njl7a5xd6oyd, duqwuxyvts7b8y171m2zjgfe1, b8g6l2yrz5zkx0z4cwqbtrm96, ae23upd2mq9lzptqvyydvfsh5, ynp4teryxz8qxmby29s1muhh, 8kyz2zkpdn0wdf1ybpmgd2ay1, 6c4yw57zmdchgqhb4uaybmklx, 8m1zaxpia31zue120389es72t, 8xmxzyft6jgirmjmtokysv9at, 1q1rzbagz0tikytlgql4667oq, 6deaavas7332takve0kva6bbp, 8vylda616yxfy53t66o4ua162, 3dhppw7le5km30lulvbpdxsrt, 34wzrwrb4kbwo1iudvi32t9sl, eb8kdhe0pwhhpvpfdmrlqqjth, bs7324p1bdh7ggv14x3f2x4ut, 7uj1fxna6f1mtu0r4c3x5seeh, 28egj5kbmudnzoospmg1kqrkk",3933691819,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3933691815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3933691817,194,ae23upd2mq9lzptqvyydvfsh5,3933691809,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489036003,3,43,1,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2022-12-04T11:31:05.998Z,2022-12-04T11:48:57Z,3933819151,144,1,3933781407,212,17.5,3933781405,141,54.8,3933781409,213,2.9,3933781401,56,Back,3933781403,140,34.0,,,,,,,6aybaux5k8c5xtzswmbljv1m1,M. Martinovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489035935,2,32,1,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2022-12-04T11:31:07.222Z,2022-12-04T11:31:14Z,3933781005,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489035903,2,32,1,0,0,7jaarwfaeewpo3vnfvhc2c665,1,0,0,2022-12-04T11:31:07.222Z,2022-12-04T11:31:12Z,3933780837,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489043565,178,1,1,0,1,7pm0maqtof5rdc3ksumasw55g,1,50.1,49.7,2022-12-04T11:31:08.710Z,2022-12-04T11:51:17Z,3933822911,212,24.3,3933822913,213,3.6,3933822909,141,32.4,3933822905,56,Back,3933822907,140,29.8,3933823013,279,S,,,,,,,6aybaux5k8c5xtzswmbljv1m1,M. Martinovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489036063,4,43,1,0,11,7pm0maqtof5rdc3ksumasw55g,1,0,0,2022-12-04T11:31:18.254Z,2022-12-04T12:14:42Z,3933876181,144,49,,,,,,,,,,,,,,,,,,,,,,7o6r8tzrtw3820q5g8slo51w5,A. Capelletti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489036111,5,1,1,0,12,7pm0maqtof5rdc3ksumasw55g,1,5.8,53,2022-12-04T11:31:19.791Z,2022-12-04T11:31:26Z,3933782049,56,Back,3933782053,141,91.5,3933782051,140,24.5,3933782055,212,32.7,3933782059,1,,3933782057,213,0.9,,,,,,,7o6r8tzrtw3820q5g8slo51w5,A. Capelletti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489036125,6,1,1,0,18,7pm0maqtof5rdc3ksumasw55g,1,32.5,83,2022-12-04T11:31:26.094Z,2022-12-04T11:31:27Z,3933782121,213,1.1,3933782115,141,95.3,3933782117,212,9.4,3933782113,140,36.5,3933782111,56,Back,,,,,,,,,,egz2k5rilem5eycz1blntm3v8,A. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489036147,7,1,1,0,20,7pm0maqtof5rdc3ksumasw55g,1,40.2,94.2,2022-12-04T11:31:27.805Z,2022-12-04T11:31:30Z,3933782257,141,76.9,3933782255,140,39.8,3933782259,212,11.8,3933782261,213,4.7,3933782253,56,Back,,,,,,,,,,a5ysq9fe13ges96z29omy3gmh,B. Bardin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
