id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2511815007,1,34,16,0,0,ca8pjvyb7hgttr1dalj2nguum,1,0,0,2023-02-25T10:26:47.296Z,2023-02-25T11:54:27Z,4053911921,197,8200,4053863269,194,3d6o80x3c0kq6t2dvxzqrt8t1,4053863261,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4053863263,59,"12, 17, 13, 6, 3, 19, 25, 34, 9, 18, 11, 1, 7, 20, 21, 29, 32, 33, 35, 37",4053863267,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4053863265,130,8,4053863259,30,"bohrvdzf1oep0vhdmiz1rj2z9, bqf3am2yut3ymts5kgvsrku7d, 72rc6zija9e9d4ggx884dq7dh, c5s6l4u9gjdv3ce5rc0we8sx6, 3izcnjpqeumq1mjfy1osc3qhh, 3d6o80x3c0kq6t2dvxzqrt8t1, 7q0ltszzjzk7nlvvxjbagmggl, 2eg5q67ivbjr99ltdrvez9zbo, 3myrbf50fefc98vkxh3ggw82x, 56eun8e4lpn74l3fqhasn7fqi, 30mwaentr99qb99ce6y9o1p0p, 35n3tr5z00jo52ysgjn0d7be2, 5pzwqucy2dh371u2uc8iugul1, a9piss5nrytn5tn83frlj02qd, bv7ypnes6mhtc49i1576joahg, b6e5e8znxa7u9qhtxtwflxgwl, 86hh9b5pqts5dbx3zhf6i1zx0, 94161is0x6f3s9kyrm2cxjf85, wfje6qr76i6p8bf1n5e2zspg, b9102b7qx5e3pvf59g8o4ptlg",4053863271,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511815527,1,34,16,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2023-02-25T10:28:54.261Z,2023-02-25T11:40:19Z,4053865353,194,72a3aetghls98os7onhc60vdh,4053912033,197,8189,4053865349,130,23,4053865351,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4053865343,30,"18ufr5nlyfnnzzbzmqo9ynis5, 1rsv7xi31ffxqpjeaw76t1n8p, adixpvw9dh994g3pcxqp4aimt, 1kmq43pxjjjacnrmcsw2dka1h, 72a3aetghls98os7onhc60vdh, dwmb9deiywwddo0bbnrgw2x91, cosxbigh37xkponybzlgrg0dl, 4zr1u1gdqagr6e53pnyruywut, e0sh07t0vl714r690gtghfnbp, e6yhuu5eu6qpk7gybytdtxqdx, ccy7sflcnyiaf9c9j4c9p92ax, e4i408ibyt4r0n7znz46qllka, cnvii81lylt9gcn9iox9lkvdh, 7n5xycobojwgk6bq50o4ix0wl, 1d0us90tod393omtmaft90b11, 6mvj0jfbicvwt296r6wuqajca, 2va4upf5w45brysw8q9w22gkq, botcpxadt5i04s4p8prbd3dyi, dib3fbzymcfivscevdlqks89h, 79abiotlhtb5edjedx8oqjysp",4053865347,59,"1, 7, 27, 8, 5, 34, 10, 87, 15, 20, 91, 4, 6, 11, 16, 17, 19, 21, 24, 88",4053865345,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4053865355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511826393,2,32,1,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2023-02-25T11:32:33.433Z,2023-02-25T11:32:33Z,4053913381,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511826395,2,32,1,0,0,ca8pjvyb7hgttr1dalj2nguum,1,0,0,2023-02-25T11:32:33.433Z,2023-02-25T11:32:35Z,4053913393,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511826411,3,1,1,0,0,p2dsrpus5eckpz2h16svaour,1,50,50,2023-02-25T11:32:33.533Z,2023-02-25T11:33:44Z,4053913457,56,Back,4053913463,212,17.3,4053913461,141,65.4,4053913459,140,36.9,4053913467,279,S,4053913465,213,2.5,,,,,,,4zr1u1gdqagr6e53pnyruywut,Vero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511826417,4,1,1,0,3,p2dsrpus5eckpz2h16svaour,1,37.6,68.5,2023-02-25T11:32:36.580Z,2023-02-25T11:32:37Z,4053913501,56,Back,4053913503,140,28.6,4053913505,141,64.6,4053913507,212,9.8,4053913509,213,3.4,,,,,,,,,,ccy7sflcnyiaf9c9j4c9p92ax,A. Zamanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511826425,5,1,1,0,4,p2dsrpus5eckpz2h16svaour,1,28.6,64.6,2023-02-25T11:32:37.572Z,2023-02-25T11:32:39Z,4053913567,213,1.2,4053913565,212,23.0,4053913563,141,96.1,4053913561,140,36.6,4053913557,56,Back,,,,,,,,,,dwmb9deiywwddo0bbnrgw2x91,L. Agard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511826437,6,1,1,0,6,p2dsrpus5eckpz2h16svaour,0,40.4,96.7,2023-02-25T11:32:39.460Z,2023-02-25T11:32:44Z,4053913629,212,40.0,4053913627,141,92.0,4053913625,140,78.4,4053913623,56,Left,4053913633,1,,4053913621,155,,4053913631,213,6.2,,,,adixpvw9dh994g3pcxqp4aimt,L. Tucceri Cimini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511826435,3,49,1,0,10,ca8pjvyb7hgttr1dalj2nguum,1,16.8,4.6,2023-02-25T11:32:43.795Z,2023-02-25T11:32:43Z,,,,,,,,,,,,,,,,,,,,,,,,,3izcnjpqeumq1mjfy1osc3qhh,S. van der Gragt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511826445,4,1,1,0,10,ca8pjvyb7hgttr1dalj2nguum,0,20.1,5.9,2023-02-25T11:32:44.169Z,2023-02-25T11:32:46Z,4053913663,157,,4053913675,1,,4053913669,141,0.0,4053913673,213,6.0,4053913671,212,16.1,4053913665,56,Back,4053913667,140,34.7,,,,3izcnjpqeumq1mjfy1osc3qhh,S. van der Gragt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
