id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value
2452478705,1,34,16,0,0,acpt3r9i7hburdteruzc31u96,1,0,0,2022-08-28T14:49:55.817Z,2022-08-28T15:38:39Z,3740178021,59,"1, 20, 7, 6, 37, 25, 12, 10, 9, 19, 18, 3, 4, 8, 14, 15, 17, 26, 27, 32",3740178019,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740178017,30,"6cazgi9vrmiy7pj7mspkmrnbp, dms6dx6taz2d9wxcgqfk87lk9, 8qywmb7vw14hygvzliislo1xx, 5zfwazpzlcnm9r7621wefv8ph, ad6p2jcex4poforoc5a2m42qd, cobqvig9w519u0pu924u49045, 8sb5yv5enqvr8bemx86jxc2j9, 3f3c49bl4331k4nrrhvq6fu8l, yobsx8qzjrdt67z3vbzygd79, 2l1m95m3ub9ptm0f7no1ylxw5, 162sfvdvwcsap2r0v4clllqz9, 8kp0hm0mftts0lx42esqbxt5h, 2nyteuqhg3tvltcdjmivfoyqx, a6k8vha3qcugelyjo82monahh, ah7rqmwf12jy914sapkcg91pl, 26cvxz862r0s1ckpehvsm1b6d, e14n0cktqewsx0a1q4kev326t, 5bsuoowi9tkilzmz6vp79n36d, adixpvw9dh994g3pcxqp4aimt, a3q5iykho66l9yamfh83hn7x1",3740278905,197,8206,3740178025,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740178029,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740178027,194,8qywmb7vw14hygvzliislo1xx,3740178023,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452481489,1,34,16,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2022-08-28T14:55:06.572Z,2022-08-28T15:39:23Z,3740192873,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740192879,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740192883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740280079,197,8189,3740192877,130,8,3740192881,194,72a3aetghls98os7onhc60vdh,3740192875,59,"1, 16, 4, 23, 5, 34, 20, 8, 11, 87, 10, 30, 2, 6, 7, 9, 17, 19, 55, 88",3740192871,30,"18ufr5nlyfnnzzbzmqo9ynis5, 1d0us90tod393omtmaft90b11, e4i408ibyt4r0n7znz46qllka, a36ljq1b2o9ydtdtkjri5yt3p, 72a3aetghls98os7onhc60vdh, dwmb9deiywwddo0bbnrgw2x91, e6yhuu5eu6qpk7gybytdtxqdx, 1kmq43pxjjjacnrmcsw2dka1h, 7n5xycobojwgk6bq50o4ix0wl, 4zr1u1gdqagr6e53pnyruywut, cosxbigh37xkponybzlgrg0dl, bou3v9eox682bm04tv0l4tkpg, italh6z4wnf7982z2k4f2uj8, cnvii81lylt9gcn9iox9lkvdh, 1rsv7xi31ffxqpjeaw76t1n8p, 2v7svoulkkgzvdeb4e0hw7jyt, 6mvj0jfbicvwt296r6wuqajca, 2va4upf5w45brysw8q9w22gkq, 3ym9jjnellqfvf2lg88vi0atx, 79abiotlhtb5edjedx8oqjysp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498625,2,32,1,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2022-08-28T15:31:14.542Z,2022-08-28T15:31:16Z,3740284401,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498617,2,32,1,0,0,acpt3r9i7hburdteruzc31u96,1,0,0,2022-08-28T15:31:14.542Z,2022-08-28T15:31:14Z,3740284363,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498653,3,1,1,0,0,acpt3r9i7hburdteruzc31u96,1,50,50,2022-08-28T15:31:14.642Z,2022-08-28T16:26:16Z,3740284537,279,S,3740284533,212,14.8,3740284529,140,36.6,3740284527,56,Back,3740284531,141,43.1,3740284535,213,3.5,,,,,,,8sb5yv5enqvr8bemx86jxc2j9,M. Mascarello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498669,4,1,1,0,2,acpt3r9i7hburdteruzc31u96,1,36.6,43.1,2022-08-28T15:31:17.250Z,2022-08-28T16:25:43Z,3740284601,56,Back,3740284607,212,4.1,3740284609,213,1.8,3740284605,141,48.9,3740284603,140,35.6,,,,,,,,,,5zfwazpzlcnm9r7621wefv8ph,L. Fusetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498681,5,1,1,0,3,acpt3r9i7hburdteruzc31u96,0,35.6,48.9,2022-08-28T15:31:18.531Z,2022-08-28T16:26:06Z,3740284709,140,73.3,3740284707,56,Center,3740284713,212,40.2,3740284717,1,,3740284715,213,0.2,3740284705,155,,3740284711,141,59.3,,,,cobqvig9w519u0pu924u49045,M. Mesjasz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498713,3,1,1,0,4,p2dsrpus5eckpz2h16svaour,1,23.1,34.3,2022-08-28T15:31:19.470Z,2022-08-28T15:31:23Z,3740284895,140,32.7,3740284901,213,0.7,3740284891,3,,3740284893,56,Back,3740284897,141,47.9,3740284899,212,13.7,,,,,,,1d0us90tod393omtmaft90b11,K. Eržen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498737,4,1,1,0,8,p2dsrpus5eckpz2h16svaour,1,32.7,47.9,2022-08-28T15:31:22.926Z,2022-08-28T15:31:24Z,3740285011,3,,3740285015,140,44.2,3740285017,141,37.7,3740285019,212,13.9,3740285021,213,5.8,3740285013,56,Back,,,,,,,dwmb9deiywwddo0bbnrgw2x91,L. Agard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498741,5,50,1,0,10,p2dsrpus5eckpz2h16svaour,1,42.8,37.8,2022-08-28T15:31:24.798Z,2022-08-28T15:31:26Z,3740285035,56,Back,3740285037,286,,3740285081,233,6,,,,,,,,,,,,,,,,7n5xycobojwgk6bq50o4ix0wl,Z. Kaján,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
