id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist
2506154231,1,34,16,0,0,5snsl2d1lu2oclbriztdy61d6,1,0,0,2023-02-11T12:35:35.441Z,2023-02-11T13:27:27Z,4024021941,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024021933,30,"ax9lyewa6alv4v3btpwlm4pn9, 72mtf2acxf523gwm13zq5jvth, f98n454u9g97ngyluh0rd4ut, 978grivb05fx65k9zg3g0czxl, 19cmbo4cc9cgh10wgotg3s0k5, 8z970w0wmh524aliuxnze5l91, 5et546tgrpw51ep3kfbzdyx1x, 31myx78t8pvy886l3g8tsmrit, e0254ysu7nwqiuku9szuf9wph, 47n7enqd3bfy0gawlth0a4mhh, 28y2auuxfuxvvbbds3bwtlskp, e4svndmjv164s2xdigdit1uc5, du2oxcctxwk3tpg0imbctjcut, 7ba612p8pdv2fhz19u32js251, 5t9mthxv6kthq6tnntv5q4fdh, 4ghj3cp5v817497z1l8k1vw0l, a8jqw3uon5yv03m2nvkklnpat, 1ec205o2whcblu6h4qz4kw44p, 5x729t5j2ldmq4fmlgj1my191, a2b4op7l073rehwbpbfy0sis4",4024021935,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4024021937,59,"12, 13, 2, 20, 32, 23, 7, 10, 9, 11, 18, 1, 5, 6, 14, 15, 16, 19, 27, 33",4024021943,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024041427,194,72mtf2acxf523gwm13zq5jvth,4024216327,197,17078,4024021939,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506157813,1,34,16,0,0,ca8pjvyb7hgttr1dalj2nguum,1,0,0,2023-02-11T12:40:52.143Z,2023-02-11T13:35:12Z,4024039415,59,"12, 25, 13, 34, 3, 19, 33, 6, 9, 18, 11, 1, 5, 17, 20, 21, 35, 37, 38, 41",4024039423,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024039417,130,8,4024216345,197,14652,4024039411,30,"bohrvdzf1oep0vhdmiz1rj2z9, 7q0ltszzjzk7nlvvxjbagmggl, 72rc6zija9e9d4ggx884dq7dh, 2eg5q67ivbjr99ltdrvez9zbo, 3izcnjpqeumq1mjfy1osc3qhh, 3d6o80x3c0kq6t2dvxzqrt8t1, 94161is0x6f3s9kyrm2cxjf85, c5s6l4u9gjdv3ce5rc0we8sx6, 3myrbf50fefc98vkxh3ggw82x, 56eun8e4lpn74l3fqhasn7fqi, 30mwaentr99qb99ce6y9o1p0p, 35n3tr5z00jo52ysgjn0d7be2, 27rdlepga8wdw4xj949y5vh05, bqf3am2yut3ymts5kgvsrku7d, a9piss5nrytn5tn83frlj02qd, bv7ypnes6mhtc49i1576joahg, wfje6qr76i6p8bf1n5e2zspg, b9102b7qx5e3pvf59g8o4ptlg, ahl0jmc489czpldqg3gr649g, dkovq51hmzhdj925mhairfztg",4024039419,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024039413,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4024039421,194,3d6o80x3c0kq6t2dvxzqrt8t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506197777,2,32,1,0,0,5snsl2d1lu2oclbriztdy61d6,1,0,0,2023-02-11T13:32:08.987Z,2023-02-11T13:32:09Z,4024234823,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506197793,2,32,1,0,0,ca8pjvyb7hgttr1dalj2nguum,1,0,0,2023-02-11T13:32:08.987Z,2023-02-11T13:32:09Z,4024234881,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506197837,3,1,1,0,0,5snsl2d1lu2oclbriztdy61d6,1,50.1,50.4,2023-02-11T13:32:09.087Z,2023-02-11T13:32:12Z,4024235093,56,Back,4024235103,279,S,4024235095,140,37.1,4024235097,141,56.0,4024235101,213,2.9,4024235099,212,14.2,,,,,,,e0254ysu7nwqiuku9szuf9wph,V. Giacinti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506197859,4,1,1,0,3,5snsl2d1lu2oclbriztdy61d6,1,36.5,54.5,2023-02-11T13:32:12.606Z,2023-02-11T13:32:15Z,4024235271,140,29.3,4024235269,56,Back,4024235277,213,4.4,4024235273,141,18.9,4024235275,212,25.4,,,,,,,,,,978grivb05fx65k9zg3g0czxl,G. Greggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506197877,5,1,1,0,6,5snsl2d1lu2oclbriztdy61d6,1,28.6,17.9,2023-02-11T13:32:15.294Z,2023-02-11T13:32:17Z,4024235343,56,Back,4024235351,141,33.9,4024235353,212,11.5,4024235355,213,1.9,4024235349,140,25.1,,,,,,,,,,72mtf2acxf523gwm13zq5jvth,E. Bartoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506197949,6,1,1,0,7,5snsl2d1lu2oclbriztdy61d6,1,25.2,36.6,2023-02-11T13:32:16.958Z,2023-02-11T13:32:21Z,4024235739,212,21.4,4024235741,213,1.4,4024235733,56,Back,4024235735,140,28.8,4024235737,141,67.6,,,,,,,,,,19cmbo4cc9cgh10wgotg3s0k5,E. Linari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506197987,7,1,1,0,12,5snsl2d1lu2oclbriztdy61d6,0,35.1,78.1,2023-02-11T13:32:21.727Z,2023-02-11T13:32:24Z,4024235937,1,,4024235935,213,0.0,4024235929,140,66.6,4024235925,155,,4024235927,56,Left,4024235931,141,79.3,4024235933,212,33.1,,,,8z970w0wmh524aliuxnze5l91,C. Wenninger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506198033,3,1,1,0,15,ca8pjvyb7hgttr1dalj2nguum,1,25.2,31.8,2023-02-11T13:32:24.541Z,2023-02-11T13:32:26Z,4024236165,212,14.1,4024236167,213,5.5,4024236155,56,Back,4024236159,140,34.4,4024236163,141,16.7,4024236151,3,,,,,,,,3izcnjpqeumq1mjfy1osc3qhh,S. van der Gragt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
