id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/13/value,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2501228817,1,34,16,0,0,ca8pjvyb7hgttr1dalj2nguum,1,0,0,2023-01-28T12:30:43.859Z,2023-01-28T13:42:38Z,3998130777,194,3d6o80x3c0kq6t2dvxzqrt8t1,3998130775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998130769,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3998130771,59,"22, 25, 13, 34, 17, 19, 5, 6, 10, 9, 11, 3, 12, 14, 18, 21, 27, 29, 33, 37",3998130767,30,"6clgafy8vlbq6qw2ofptwkwd1, 7q0ltszzjzk7nlvvxjbagmggl, 72rc6zija9e9d4ggx884dq7dh, 2eg5q67ivbjr99ltdrvez9zbo, bqf3am2yut3ymts5kgvsrku7d, 3d6o80x3c0kq6t2dvxzqrt8t1, 27rdlepga8wdw4xj949y5vh05, c5s6l4u9gjdv3ce5rc0we8sx6, 13e3434z48bduvnvyly0zg5w5, 3myrbf50fefc98vkxh3ggw82x, 30mwaentr99qb99ce6y9o1p0p, 3izcnjpqeumq1mjfy1osc3qhh, bohrvdzf1oep0vhdmiz1rj2z9, 48rypey85a23z9ht4k5skw8b8, 56eun8e4lpn74l3fqhasn7fqi, bv7ypnes6mhtc49i1576joahg, 3xk25f9db4datnc3pzfb8e85x, b6e5e8znxa7u9qhtxtwflxgwl, 94161is0x6f3s9kyrm2cxjf85, b9102b7qx5e3pvf59g8o4ptlg",3998130781,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998130779,197,8201,3998130773,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501233345,1,34,16,0,0,acpt3r9i7hburdteruzc31u96,1,0,0,2023-01-28T12:37:33.703Z,2023-01-28T13:46:35Z,3998152035,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3998152043,194,8qywmb7vw14hygvzliislo1xx,3998342193,197,8206,3998152037,59,"1, 4, 7, 12, 25, 5, 19, 11, 18, 9, 10, 3, 6, 8, 17, 20, 22, 26, 32, 37",3998152039,130,8,3998152033,30,"6cazgi9vrmiy7pj7mspkmrnbp, 2nyteuqhg3tvltcdjmivfoyqx, 8qywmb7vw14hygvzliislo1xx, 8sb5yv5enqvr8bemx86jxc2j9, cobqvig9w519u0pu924u49045, 1euxm106eodeidsr5gor1kbmd, 2l1m95m3ub9ptm0f7no1ylxw5, di3hdoveoiv3nwroamxgxd3o5, 162sfvdvwcsap2r0v4clllqz9, yobsx8qzjrdt67z3vbzygd79, 3f3c49bl4331k4nrrhvq6fu8l, 8kp0hm0mftts0lx42esqbxt5h, 5zfwazpzlcnm9r7621wefv8ph, a6k8vha3qcugelyjo82monahh, e14n0cktqewsx0a1q4kev326t, dms6dx6taz2d9wxcgqfk87lk9, av7gcm2jf4ahewdoefe6yxrrp, 5bsuoowi9tkilzmz6vp79n36d, a3q5iykho66l9yamfh83hn7x1, ad6p2jcex4poforoc5a2m42qd",3998152045,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998152041,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501273813,2,32,1,0,0,ca8pjvyb7hgttr1dalj2nguum,1,0,0,2023-01-28T13:33:11.506Z,2023-01-28T13:33:11Z,3998358217,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501273817,2,32,1,0,0,acpt3r9i7hburdteruzc31u96,1,0,0,2023-01-28T13:33:11.506Z,2023-01-28T13:33:13Z,3998358265,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501273841,3,1,1,0,0,acpt3r9i7hburdteruzc31u96,1,48.9,50.9,2023-01-28T13:33:11.606Z,2023-01-28T15:54:38Z,3998358373,141,37.7,3998358379,213,4.1,3998358383,279,S,3998358375,212,11.3,3998358369,56,Back,3998358371,140,42.3,,,,,,,162sfvdvwcsap2r0v4clllqz9,M. Piemonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501273881,4,1,1,0,2,acpt3r9i7hburdteruzc31u96,1,42.5,38.7,2023-01-28T13:33:13.895Z,2023-01-28T15:54:35Z,3998358599,140,40.5,3998358607,213,1.7,3998358601,141,63.6,3998358595,56,Back,3998358603,212,17.1,,,,,,,,,,8sb5yv5enqvr8bemx86jxc2j9,M. Mascarello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501273917,5,1,1,0,3,acpt3r9i7hburdteruzc31u96,0,39.3,61.3,2023-01-28T13:33:15.399Z,2023-01-28T16:25:53Z,3998358775,56,Right,3998358783,213,5.6,3998358777,140,70.9,3998358779,141,19.1,3998358773,155,,3998358785,1,,3998358781,212,43.9,,,,di3hdoveoiv3nwroamxgxd3o5,C. Grimshaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501273997,3,1,1,0,6,ca8pjvyb7hgttr1dalj2nguum,0,24.2,81.4,2023-01-28T13:33:17.551Z,2023-01-28T14:35:46Z,3998359169,3,,3998359175,141,88.1,3998359171,56,Back,3998359177,212,15.3,3998359173,140,38.1,3998359179,213,0.3,,,,,,,72rc6zija9e9d4ggx884dq7dh,B. Merlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274051,6,1,1,0,9,acpt3r9i7hburdteruzc31u96,0,57.5,7.1,2023-01-28T13:33:21.439Z,2023-01-28T14:37:16Z,3998359467,212,9.5,3998359461,56,Right,3998359465,141,0.0,3998359459,3,,3998359463,140,64.8,3998359469,213,5.6,,,,,,,8sb5yv5enqvr8bemx86jxc2j9,M. Mascarello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274249,4,5,1,0,10,ca8pjvyb7hgttr1dalj2nguum,1,34.2,101.3,2023-01-28T13:33:22.193Z,2023-01-28T13:33:35Z,3998360465,347,,3998360463,56,Back,3998360501,233,7,,,,,,,,,,,,,,,,7q0ltszzjzk7nlvvxjbagmggl,F. Thøgersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274057,7,5,1,0,10,acpt3r9i7hburdteruzc31u96,0,65.8,-1.3,2023-01-28T13:33:22.193Z,2023-01-28T13:53:40Z,3998359491,347,,3998360545,233,4,3998359489,56,Right,,,,,,,,,,,,,,,,8sb5yv5enqvr8bemx86jxc2j9,M. Mascarello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274479,5,1,1,0,23,ca8pjvyb7hgttr1dalj2nguum,1,41.2,100,2023-01-28T13:33:35.359Z,2023-01-28T16:04:47Z,3998361579,140,77.1,3998361581,141,90.9,3998361585,213,6.1,3998361587,1,,3998361575,107,,3998361583,212,38.3,3998361577,56,Left,,,,72rc6zija9e9d4ggx884dq7dh,B. Merlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274499,6,1,1,0,36,ca8pjvyb7hgttr1dalj2nguum,0,99.4,71.1,2023-01-28T13:33:47.807Z,2023-01-28T13:33:48Z,3998361671,141,66.0,3998361673,212,3.7,3998361675,213,4.4,3998361669,140,98.3,3998361667,56,Center,,,,,,,,,,30mwaentr99qb99ce6y9o1p0p,T. Chawinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274635,8,61,1,0,37,acpt3r9i7hburdteruzc31u96,1,1.9,36.7,2023-01-28T13:33:48.793Z,2023-01-28T14:36:52Z,3998362319,56,Back,,,,,,,,,,,,,,,,,,,,,,cobqvig9w519u0pu924u49045,M. Mesjasz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
