id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/12/value,qualifier/13/value,qualifier/16/value,assist,qualifier/20/value
2543574313,1,34,16,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-05-04T17:39:04.199Z,2023-05-04T18:56:58Z,4250199673,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4250199671,30,"h12c7ocq35slzrop3ltnrsnp, f0o0jfa9hp54otpnwe09d591, 8dgh4fzut8khpt32d6dsrljsa, 1fdgli7rrzvlhcs1exckc0r11, dnk24js88d4ie661mwo7jkq95, cnk07o3823zl5gd7qr2bdks7p, cxjuod6b1ro67656dxwhpqqc5, bk1gdyxtfp4drwb0yotwerbsa, d5m5q6dlc7vnbs634dinbsuwa, mh8eevw5lj4i9c7ue5n9j845, 9cy6lgb0e0cq4a7ht389qaklx, 9jx56wcoj1htd69i749wfwkx5, an5eip4p2zmw49hh9eqksigo9, 2l87vg4m0glbbdvnrg4zud51x, c68syh6axbkqmcmvrpumqb8mi, 2hbduprkyabq8g1nhe6b4g3bp, 6e9fu9o226zn6jzx02jutvi3u, 4494989zl7g13nw17wan5adp1, anr1wukl3xezz39fwogjzatw5, 1lota2za1imhl3oydwa89u5l, 6gf25ng7surglurqkroozlfit, dmza22ad3iars2svmghrwhfit, d7xfjvw4kun7fx4j9ldr6cb11, 54mmovmx3osoxgbloe9rzmx9l, d6vg86aml1ttoyks4vvvk0smh, 31b0dvddmki2b2zvumesyrx4a",4250199677,130,23,4250199675,59,"13, 24, 65, 5, 4, 33, 11, 35, 28, 19, 18, 1, 3, 8, 9, 14, 21, 22, 23, 25, 26, 30, 32, 34, 55, 91",4250199681,194,cnk07o3823zl5gd7qr2bdks7p,4250320939,197,2194,4250199679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4250199683,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543574867,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-05-04T17:40:37.645Z,2023-05-04T18:57:05Z,4250202887,30,"4hrmzpx1nt5ze55fpby71mcb9, 1po7tmdv73zfjentt0p20wdlh, 7ohgxs03szerp6mwiiv58ryay, 6eqqtmbg35rg2stk10ic7q8k5, 4gmki0xpn2e9o9p7wnm0k8p1x, 3l0mj1zzhytxvm9tryvqv8kix, 5lvdnoyknuoyr6kdruposgctl, bpfg11qh1q0zj2x6sqd3srvmx, a46kdc4sdf7e6520s8gm9glm2, 1cu7fg8sf90isf9gp21e5fqh, 38de1wbyp2ruksgffna791n8p, 46twjsjrm4ljb7bhobbpwx5h, 6xt6fnmwrs7btha4d2t7wkktm, 56bidwsegakrtx3z1qbbpnc6i, 7e11kdi7wh9tleor9w5o2fdn9, 4zn8zufrd17h9d5xl7qhahbyt, bdb6j168crcrwje9k0titxv55, a2n9op95qyb3rkye5pxqjb7bp, 2yijk5l991mdyjprmuudq7qzu, 3cbwh4pfwae5xw072cy14gb85, 9m6yva52cmdq7uu31qrwdrund",4250202899,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4250323337,197,551,4250202893,130,4,4250202889,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4250202891,59,"28, 3, 50, 6, 5, 26, 30, 20, 99, 7, 8, 1, 4, 11, 14, 17, 19, 22, 25, 29, 34",4250202895,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4250202897,194,38de1wbyp2ruksgffna791n8p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543598511,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-05-04T18:46:18.615Z,2023-05-04T18:46:18Z,4250329557,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543598519,2,32,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-05-04T18:46:18.615Z,2023-05-05T01:16:27Z,4250329583,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543598537,3,1,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,49.9,50.3,2023-05-04T18:46:18.683Z,2023-05-05T04:19:53Z,4250329671,279,S,4250329669,213,3.4,4250329667,212,13.9,4250329665,141,45.6,4250329661,140,37.0,4250329659,56,Back,4250919543,178,,,,,a46kdc4sdf7e6520s8gm9glm2,M. Barrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543598561,4,1,1,0,1,ej5er0oyngdw138yuumwqbyqt,1,32.6,45.5,2023-05-04T18:46:20.327Z,2023-05-05T04:19:59Z,4250329791,213,1.6,4250329789,212,19.7,4250329779,56,Back,4250329783,140,31.5,4250919615,178,,4250329785,141,74.4,,,,,,,5lvdnoyknuoyr6kdruposgctl,J. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543598571,5,1,1,0,3,ej5er0oyngdw138yuumwqbyqt,1,31.5,74.4,2023-05-04T18:46:22.179Z,2023-05-05T04:20:03Z,4250329839,212,18.0,4250329837,141,99.4,4250329835,140,26.0,4250329833,56,Back,4250329841,213,1.9,4250919647,178,,,,,,,,6eqqtmbg35rg2stk10ic7q8k5,N. Moro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543598607,6,1,1,0,6,ej5er0oyngdw138yuumwqbyqt,1,28.2,86.3,2023-05-04T18:46:24.653Z,2023-05-05T04:20:08Z,4250919669,178,,4250330009,141,72.6,4250330011,212,11.9,4250330005,56,Back,4250330007,140,21.2,4250330013,213,4.0,,,,,,,7ohgxs03szerp6mwiiv58ryay,A. Cambiaso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543598617,7,1,1,0,9,ej5er0oyngdw138yuumwqbyqt,1,23.8,72.7,2023-05-04T18:46:28.549Z,2023-05-05T04:25:10Z,4250330049,56,Back,4250921149,178,,4250330051,140,25.6,4250330055,212,26.5,4250330057,213,4.8,4250330053,141,33.9,,,,,,,3l0mj1zzhytxvm9tryvqv8kix,J. Lucumí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543598637,8,1,1,0,12,ej5er0oyngdw138yuumwqbyqt,1,24.9,33.1,2023-05-04T18:46:30.821Z,2023-05-05T04:25:13Z,4250330169,213,4.9,4250921171,178,,4250330165,141,6.7,4250330167,212,18.4,4250330161,56,Back,4250330163,140,28.6,,,,,,,4gmki0xpn2e9o9p7wnm0k8p1x,A. Soumaoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
