id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2458608817,1,34,16,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,0,0,2022-09-11T11:34:57.854Z,2022-09-11T12:41:51Z,3772843521,59,"16, 5, 13, 21, 8, 32, 77, 15, 9, 10, 18, 1, 7, 12, 19, 22, 23, 24, 33, 38",3772843531,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3772843517,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3772843527,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773044905,197,8185,3772843529,194,8aglulhb1aof871k1z7exuvo5,3772843515,30,"czmpp6e2oo276u9prac16le51, 7um4xb0p8zr4o11lsyd9n0hqt, aat1vixi4qu8bmxtw45maqytx, 89l4376fhyf32a6tdjou6zqw9, 8aglulhb1aof871k1z7exuvo5, 3qnkvefimj0i4kl78jucipnf9, 6cs8qwc1exex8ik9w3nejnkyd, 6alny8atonddyhmltw3dgo1d5, 7lt5as8r1xms7ujjgt7pynl5, 8f64tianoo4mc7t1lyz6acqtx, 6dmnxn0v7tcrwtd6hm2jaf6j9, 66cgzmlvygqqgb8vrv380c4bt, 3dftc6lswgfgb4xoju4xb2xg5, djh9uya9vanxsyfgpt1rc4yqx, ccy7sflcnyiaf9c9j4c9p92ax, 40sizsfd9vaym7yvwpvohu415, 3ypl97rrz80zb454kq039yuol, bli75mkfku2no79sep0n21v8q, bdsv3kql5t6sw5ed2gsxmz2eh, 2olepm49g7zzyez2o3kgw7gtl",3772843525,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458615435,1,34,16,0,0,ca8pjvyb7hgttr1dalj2nguum,1,0,0,2022-09-11T11:43:44.199Z,2022-09-11T12:31:09Z,3772875831,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3772875821,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3772875827,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773044979,197,8200,3772875829,194,56eun8e4lpn74l3fqhasn7fqi,3772875819,30,"6clgafy8vlbq6qw2ofptwkwd1, 496otta0vz8p7eackdpfod68l, 72rc6zija9e9d4ggx884dq7dh, 2eg5q67ivbjr99ltdrvez9zbo, 3izcnjpqeumq1mjfy1osc3qhh, b6e5e8znxa7u9qhtxtwflxgwl, 27rdlepga8wdw4xj949y5vh05, 56eun8e4lpn74l3fqhasn7fqi, 30mwaentr99qb99ce6y9o1p0p, 13e3434z48bduvnvyly0zg5w5, 94161is0x6f3s9kyrm2cxjf85, c5s6l4u9gjdv3ce5rc0we8sx6, 5pzwqucy2dh371u2uc8iugul1, 1ql4mxhyvvp14meu36zbu0es5, 3myrbf50fefc98vkxh3ggw82x, bohrvdzf1oep0vhdmiz1rj2z9, 48rypey85a23z9ht4k5skw8b8, bqf3am2yut3ymts5kgvsrku7d, 3d6o80x3c0kq6t2dvxzqrt8t1, b9102b7qx5e3pvf59g8o4ptlg",3772875823,59,"22, 2, 13, 34, 3, 29, 5, 18, 11, 10, 33, 6, 7, 8, 9, 12, 14, 17, 19, 37",3772875825,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458651021,2,32,1,0,0,ca8pjvyb7hgttr1dalj2nguum,1,0,0,2022-09-11T12:31:01.344Z,2022-09-11T12:31:03Z,3773047417,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458651011,2,32,1,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,0,0,2022-09-11T12:31:01.344Z,2022-09-11T12:31:01Z,3773047395,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458651059,3,1,1,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,50.1,50.5,2022-09-11T12:31:01.444Z,2022-09-11T12:55:42Z,3773047643,140,39.7,3773047645,141,45.6,3773047649,213,3.4,3773047647,212,11.4,3773047641,56,Back,3773047651,279,S,,,,,,,8f64tianoo4mc7t1lyz6acqtx,C. Girelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458651089,4,1,1,0,3,7w2y7s7q5r1h1flz9y4sj6xka,1,39.6,46.6,2022-09-11T12:31:05.093Z,2022-09-11T12:31:07Z,3773047815,56,Back,3773047823,213,3.5,3773047817,140,19.3,3773047821,212,22.6,3773047819,141,35.7,,,,,,,,,,7lt5as8r1xms7ujjgt7pynl5,S. Cantore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458651131,5,1,1,0,6,7w2y7s7q5r1h1flz9y4sj6xka,1,18.4,37,2022-09-11T12:31:07.701Z,2022-09-11T12:31:13Z,3773048069,56,Back,3773048071,140,20.4,3773048073,141,60.3,3773048077,213,1.4,3773048075,212,16.0,,,,,,,,,,7um4xb0p8zr4o11lsyd9n0hqt,A. Nildén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458651141,6,1,1,0,11,7w2y7s7q5r1h1flz9y4sj6xka,1,23.5,59.6,2022-09-11T12:31:12.980Z,2022-09-11T12:31:14Z,3773048119,56,Back,3773048121,140,34.7,3773048125,212,22.8,3773048123,141,88.4,3773048127,213,1.0,,,,,,,,,,3qnkvefimj0i4kl78jucipnf9,L. Sembrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458651169,7,1,1,0,13,7w2y7s7q5r1h1flz9y4sj6xka,1,34.7,88.4,2022-09-11T12:31:14.421Z,2022-09-11T12:31:16Z,3773048255,213,4.4,3773048245,141,66.6,3773048241,140,30.3,3773048251,212,15.5,3773048237,56,Back,,,,,,,,,,aat1vixi4qu8bmxtw45maqytx,L. Boattin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458651211,8,1,1,0,14,7w2y7s7q5r1h1flz9y4sj6xka,1,30.3,66.6,2022-09-11T12:31:16.189Z,2022-09-11T12:31:20Z,3773048463,141,12.0,3773048457,56,Back,3773048465,212,37.7,3773048469,1,,3773048467,213,4.9,3773048461,140,36.7,,,,,,,3qnkvefimj0i4kl78jucipnf9,L. Sembrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
