id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/17/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2548642389,1,34,16,0,0,4raiad4l2j5lkfaz92pk4osb,1,0,0,2023-05-14T12:10:00.587Z,2023-05-14T13:20:03Z,4277188115,30,"f8kcf2l4h2qzdww1vof5x9t5, i4yzdkusjs6qn4v06oxj6qxh, 66at96kfhvigkny465lkmrnbp, 6mit9txkiacrr2dq1i27rm76d, bhi4ivjgojkot4d7za72gu2nd, acg898oezqn7590ue8x8aik89, b5cqy1xamdj38bh87gvz4iac5, f0d8cjxx5cw5i22m0yy6azb2t, 6gjn7pt0i34q45g4porckuj8p, 963czsr3yecwk4s3p1wby5x3p, ec04djw7dspowrm7h7wr6e5ed, 2udciji4n7tr07ft7twe2r9w5, 9e3t2wyjqzxsn690aysao8cfd, euibd75fsyggns1w3xerzzrh1, 21pztrby95djexvw3m9hhzgt1, 6gab9bfl0kj0hy1z0u75pl42d, 3jtsqwoi9w0dxxneld0mt5rs9, 476nfumr6aadvufrqk72tq5be, eh1ul4duphy1iz4odwx9tkjjd, eq7q971ebxu7ipqbyvj5n4c15, b7vmywgydbcs4m9pcjcoabt62, 4kfx8fzf54bli2a2o0i3fvhed, dpnp9rguhhs04of6vmlw5spg5, 5bi4t2dob5mo0okdbv6sna6fo, 471t4engadct4su6thk5r5qtw, d5qnt7begrpds3mwx0s3rwh78",4277416595,194,66at96kfhvigkny465lkmrnbp,4277188117,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4277188119,59,"31, 23, 3, 32, 4, 98, 11, 10, 99, 72, 77, 1, 2, 5, 7, 8, 15, 16, 22, 28, 33, 34, 38, 42, 48, 51",4277188125,197,563,4277188121,130,8,4277188123,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4277188127,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548648089,1,34,16,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2023-05-14T12:15:57.719Z,2023-05-14T13:00:15Z,4277219347,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4277413777,197,8396,4277219341,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4277219343,59,"1, 2, 8, 18, 29, 50, 37, 4, 30, 24, 11, 3, 5, 13, 14, 15, 20, 26, 39, 80, 99",4277219339,30,"93237ztqyi3r4hu3rmgzrgudx, 96d5il3afakek9qvsbtldu162, c4pxog9ntat2es7oz0cz5dgb9, 4h1jj93i0v1pfemnjydnoc0dl, ah0f7tonnst92d8q91j1wll62, dkx1rfzizskaplpex70i3q0o9, b881arnahhahg0iaix4mx266t, 13o5eskqs8b88yerwltk0tivp, ewt8nxg2m27fj0n7dr9hbul05, bl76cebhta912vfi9z7ky32p6, 18jovwk0ysx6ajb8y75179j9x, 6gzi8qf8szxn99dnwh3h6gkb9, 8zyg5zuzyr6t0idi5od2ypvbp, c33x61zuxixolkkalsigc3q0a, 8e4wkgb71btkez592um5vts0k, ar0g6o07dm7nwcf2dyzux8ay2, al3t9fzj4ab55yux0zkd1jkr9, 8shwa0k28rt5duyrhuqza1hhx, 3z0aknj901kdnvsp4sld6ejv8, bf4gvp8pzp50lhtb2fc35zeok, hhv3h90gifzevkeqh97cb504",4277219345,130,16,4277413775,194,b881arnahhahg0iaix4mx266t,4277219349,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548688185,2,32,1,0,0,4raiad4l2j5lkfaz92pk4osb,1,0,0,2023-05-14T13:02:04.449Z,2023-05-14T20:36:30Z,4277423173,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548688195,2,32,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2023-05-14T13:02:04.449Z,2023-05-14T13:02:07Z,4277423225,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548688237,3,1,1,0,0,4raiad4l2j5lkfaz92pk4osb,1,50,50,2023-05-14T13:02:04.479Z,2023-05-14T21:01:47Z,4277423447,56,Back,4277423453,212,16.1,4277423451,141,39.6,4277423457,279,S,4277423455,213,3.6,4279315001,178,,4277423449,140,36.2,,,,963czsr3yecwk4s3p1wby5x3p,A. Barák,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548688257,4,1,1,0,2,4raiad4l2j5lkfaz92pk4osb,1,36.2,38.7,2023-05-14T13:02:07.240Z,2023-05-14T21:01:51Z,4277423561,140,39.7,4277423567,213,5.1,4277423563,141,23.7,4277423559,56,Back,4279315645,178,,4277423565,212,10.8,,,,,,,bhi4ivjgojkot4d7za72gu2nd,N. Milenković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548688337,5,1,1,0,4,4raiad4l2j5lkfaz92pk4osb,1,39.7,23.7,2023-05-14T13:02:09.418Z,2023-05-14T21:01:55Z,4277423945,212,16.4,4277423941,140,26.2,4277423943,141,35.7,4277423947,213,2.6,4277423939,56,Back,4279315877,178,,,,,,,,i4yzdkusjs6qn4v06oxj6qxh,L. Venuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548688387,6,1,1,0,7,4raiad4l2j5lkfaz92pk4osb,1,26.7,41.3,2023-05-14T13:02:12.007Z,2023-05-14T21:01:58Z,4277424247,140,24.6,4277424251,212,13.4,4277424253,213,1.7,4279316003,178,,4277424245,56,Back,4277424249,141,60.7,,,,,,,bhi4ivjgojkot4d7za72gu2nd,N. Milenković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548688533,7,1,1,0,10,4raiad4l2j5lkfaz92pk4osb,1,24.6,61,2023-05-14T13:02:14.486Z,2023-05-14T21:02:00Z,4277424981,213,3.7,4279316123,178,,4277424979,212,21.3,4277424973,56,Back,4277424977,141,44.9,4277424975,140,7.2,,,,,,,acg898oezqn7590ue8x8aik89,Igor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548688589,8,1,1,0,16,4raiad4l2j5lkfaz92pk4osb,1,8.8,42.9,2023-05-14T13:02:21.345Z,2023-05-14T21:02:03Z,4277425291,213,5.0,4277425289,212,20.2,4277425287,141,14.2,4277425283,56,Back,4277425285,140,13.6,4279316299,178,,,,,,,,f8kcf2l4h2qzdww1vof5x9t5,M. Cerofolini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
