id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,assist
2551475395,1,34,16,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2023-05-20T10:05:46.947Z,2023-05-20T10:39:22Z,4292271993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292271991,194,9nc4igej6cflyxrihy20zd045,4292271983,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4292271989,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4292271981,30,"6a4e840hagvde76wq00oitboq, c9y25sxg24aripna871g8x9g4, 3py0rmx89fgdd8e65l853yqne, 6l457lm38yflk2l01ho3kk48a, 9nc4igej6cflyxrihy20zd045, 5snw4b4ndo6hus8hpxq9q19lh, dlk4qvpj8rn8jy2efhu4xn3yt, 3ycwiqwexrq74zjs6l2rj0dsl, d154hxm83w5x1m0ht905cgpg5, b80b2mxpxjcboqc81evm6oa2, a1jt0xute9v4oazyt8dtq2kiy, 8rc3h630i5cinvhyvziqdfpp1, bimp62qt9yetz1mwz1z18ri7d, 69ij8unhyklcdc4d11u02v6y, 9skgc5kozhnn4cp5fghmnwout, 69ewfo1qoyc0xhk227754o9h, 7asw3c7rhaqrmnc4kk7q0hp0p, 7q2zs9kmolc8ivuz368gvsatx, a45s5uyyl703686asm9cfhono",4292271985,59,"1, 11, 30, 5, 24, 14, 16, 21, 58, 9, 22, 4, 6, 8, 10, 12, 18, 20, 33",4292271987,130,4,4292310797,197,16864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551478209,1,34,16,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2023-05-20T10:14:06.539Z,2023-05-20T10:35:23Z,4292316047,197,15038,4292288581,194,3yx85beji7yke6s4su7f0tzh1,4292288573,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4292288583,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292288571,30,"c6wbavw0v5bxajsd2xz7qg1d5, ifp26xl8pzgarz05vnfjv3yt, 3yx85beji7yke6s4su7f0tzh1, c5ze370ixl09ccy818f92jkk5, 4rxi67te6h5sfv95cxs2gmynd, 4xlf56csffamnnw04mba3wpw4, dejb47luo9o523wl9fm9yncgl, b7o9ncawaqn5jj5v32b3gn1be, 68vj95m8a7vmurirk0hr8lboq, 7o8xh2r55xb1yiz5gjvnp0rmx, 1zq3xp6uas4qe3jv0huphuzmd, b4r8ripw5dilngnxrb5fkkkid, e8zyhpx14n6upjw5fnqbc9k44, 26xyd3qlh5v3ypcrdx4l1waju, bkyl1g1z7xenlu0augv7717u1, 90hq4z2yaqtm03zefavqmf46h, am9nqqu4kh06f457nxwmpgg0k, bb1q58ts374m0dgx2afl6gq5m, c7j8qfg6s4uajtjla3mxg68t0, 4udz6yr09afpwg201j7ruyaz8",4292288579,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292288577,130,8,4292288575,59,"1, 16, 3, 28, 26, 5, 33, 8, 7, 10, 20, 2, 6, 19, 21, 22, 29, 30, 47, 55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551485327,2,32,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2023-05-20T10:33:21.645Z,2023-05-20T10:33:21Z,4292324333,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551485331,2,32,1,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2023-05-20T10:33:21.645Z,2023-05-20T10:33:24Z,4292324341,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551485361,3,1,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,50.1,50.3,2023-05-20T10:33:21.745Z,2023-05-20T11:29:44Z,4292324477,212,2.8,4292324475,141,54.3,4292324473,140,50.9,4292324481,279,S,4292324479,213,1.3,4292324471,56,Center,,,,,,,b7o9ncawaqn5jj5v32b3gn1be,V. Gallazzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551485369,4,1,1,0,3,bcuj94typp0ykv77ijp9wpsve,1,58.4,67.9,2023-05-20T10:33:25.453Z,2023-05-20T10:33:27Z,4292324539,141,73.3,4292324543,213,0.2,4292324535,56,Center,4292324537,140,74.6,4292324541,212,17.4,,,,,,,,,,c5ze370ixl09ccy818f92jkk5,Z. Ferrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551485371,5,61,1,0,6,bcuj94typp0ykv77ijp9wpsve,0,73.6,72.6,2023-05-20T10:33:27.805Z,2023-05-20T10:33:28Z,4292324553,56,Center,,,,,,,,,,,,,,,,,,,,,,68vj95m8a7vmurirk0hr8lboq,A. Corelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551485375,3,49,1,0,6,8gw3pgcd0doivaul55q8na9lg,1,28.5,39.3,2023-05-20T10:33:28.609Z,2023-05-20T10:33:28Z,,,,,,,,,,,,,,,,,,,,,,,,,6l457lm38yflk2l01ho3kk48a,L. Pastrenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551485391,4,1,1,0,7,8gw3pgcd0doivaul55q8na9lg,1,28.5,39.3,2023-05-20T10:33:28.782Z,2023-05-20T10:33:31Z,4292324617,141,15.2,4292324615,140,39.2,4292324621,213,5.3,4292324619,212,19.9,4292324613,56,Back,,,,,,,,,,6l457lm38yflk2l01ho3kk48a,L. Pastrenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551485435,5,1,1,0,9,8gw3pgcd0doivaul55q8na9lg,1,40.3,13.3,2023-05-20T10:33:30.942Z,2023-05-20T10:33:36Z,4292324857,141,15.6,4292324861,213,2.8,4292324855,140,36.5,4292324859,212,4.3,4292324853,56,Back,,,,,,,,,,b80b2mxpxjcboqc81evm6oa2,C. Beccari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
