id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,assist
2501239469,1,34,16,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2023-01-28T12:46:29.532Z,2023-01-28T13:44:42Z,3998182705,30,"c6wbavw0v5bxajsd2xz7qg1d5, b4r8ripw5dilngnxrb5fkkkid, 3yx85beji7yke6s4su7f0tzh1, bkyl1g1z7xenlu0augv7717u1, 4rxi67te6h5sfv95cxs2gmynd, 4xlf56csffamnnw04mba3wpw4, b7o9ncawaqn5jj5v32b3gn1be, c5ze370ixl09ccy818f92jkk5, 33fdo0axm0x7s88xj3br3xt61, 7o8xh2r55xb1yiz5gjvnp0rmx, 1zq3xp6uas4qe3jv0huphuzmd, e8zyhpx14n6upjw5fnqbc9k44, 68vj95m8a7vmurirk0hr8lboq, ifp26xl8pzgarz05vnfjv3yt, 26xyd3qlh5v3ypcrdx4l1waju, am9nqqu4kh06f457nxwmpgg0k, bb1q58ts374m0dgx2afl6gq5m, dejb47luo9o523wl9fm9yncgl, 4udz6yr09afpwg201j7ruyaz8",3998182717,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998182709,59,"1, 2, 3, 21, 26, 5, 8, 28, 9, 10, 20, 6, 7, 16, 19, 29, 30, 33, 55",3998182711,130,8,3998341757,197,16701,3998182707,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3998182713,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3998182715,194,b4r8ripw5dilngnxrb5fkkkid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501243825,1,34,16,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2023-01-28T12:55:46.576Z,2023-01-28T13:46:06Z,3998205835,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3998205825,30,"18ufr5nlyfnnzzbzmqo9ynis5, 1rsv7xi31ffxqpjeaw76t1n8p, adixpvw9dh994g3pcxqp4aimt, 1kmq43pxjjjacnrmcsw2dka1h, cnvii81lylt9gcn9iox9lkvdh, 72a3aetghls98os7onhc60vdh, 79abiotlhtb5edjedx8oqjysp, botcpxadt5i04s4p8prbd3dyi, 7n5xycobojwgk6bq50o4ix0wl, 2va4upf5w45brysw8q9w22gkq, cosxbigh37xkponybzlgrg0dl, e0sh07t0vl714r690gtghfnbp, italh6z4wnf7982z2k4f2uj8, e4i408ibyt4r0n7znz46qllka, 1d0us90tod393omtmaft90b11, 6mvj0jfbicvwt296r6wuqajca, dib3fbzymcfivscevdlqks89h, 162dxb8xc7nwc04nhintw7dn9, 4zr1u1gdqagr6e53pnyruywut, ccy7sflcnyiaf9c9j4c9p92ax",3998205839,130,2,3998205841,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998345863,194,72a3aetghls98os7onhc60vdh,3998205843,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998205837,59,"1, 7, 27, 8, 6, 5, 88, 21, 11, 19, 10, 15, 2, 4, 16, 17, 24, 33, 87, 91",3998345867,197,8189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274047,2,32,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2023-01-28T13:33:22.541Z,2023-01-28T13:33:22Z,3998359433,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274055,2,32,1,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2023-01-28T13:33:22.541Z,2023-01-28T13:33:24Z,3998359487,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274109,3,1,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,50.1,50,2023-01-28T13:33:22.641Z,2023-01-28T13:33:27Z,3998359719,56,Back,3998359721,140,29.2,3998359729,279,S,3998359723,141,51.1,3998359727,213,3.1,3998359725,212,22.0,,,,,,,33fdo0axm0x7s88xj3br3xt61,Verena Amorim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274135,4,1,1,0,4,bcuj94typp0ykv77ijp9wpsve,1,30.8,48.4,2023-01-28T13:33:27.022Z,2023-01-28T13:33:28Z,3998359849,212,31.3,3998359845,140,25.7,3998359843,56,Back,3998359847,141,93.7,3998359851,213,1.7,,,,,,,,,,c5ze370ixl09ccy818f92jkk5,Z. Ferrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274243,5,1,1,0,6,bcuj94typp0ykv77ijp9wpsve,1,26.5,91,2023-01-28T13:33:28.574Z,2023-01-28T13:33:35Z,3998360427,140,53.8,3998360425,56,Left,3998360433,213,0.1,3998360429,141,93.6,3998360431,212,28.7,,,,,,,,,,3yx85beji7yke6s4su7f0tzh1,M. Fusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274253,6,43,1,0,12,bcuj94typp0ykv77ijp9wpsve,1,0,0,2023-01-28T13:33:35.134Z,2023-01-28T13:41:23Z,3998360477,56,Back,3998360479,286,0,3998402421,144,50,,,,,,,,,,,,,,,,1zq3xp6uas4qe3jv0huphuzmd,A. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274271,3,43,1,0,12,p2dsrpus5eckpz2h16svaour,1,0,0,2023-01-28T13:33:35.135Z,2023-01-28T13:34:25Z,3998360557,167,0,3998360561,285,0,3998365491,144,7,3998360559,56,Right,3998360597,233,6,,,,,,,,,,72a3aetghls98os7onhc60vdh,A. Tortelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274517,7,43,1,0,13,bcuj94typp0ykv77ijp9wpsve,1,0,0,2023-01-28T13:33:36.383Z,2023-01-28T13:33:51Z,3998362023,144,5,3998361797,233,4,3998361757,56,Back,3998361759,347,0,,,,,,,,,,,,,1zq3xp6uas4qe3jv0huphuzmd,A. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274281,4,43,1,0,13,p2dsrpus5eckpz2h16svaour,1,0,0,2023-01-28T13:33:36.506Z,2023-01-28T13:34:23Z,3998360589,56,Right,3998365335,144,5,3998360593,347,0,,,,,,,,,,,,,,,,72a3aetghls98os7onhc60vdh,A. Tortelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274523,8,4,1,0,26,bcuj94typp0ykv77ijp9wpsve,1,51.5,96,2023-01-28T13:33:48.685Z,2023-01-28T13:33:54Z,3998362069,233,5,3998361773,152,,3998361775,265,,3998361771,56,Left,3998361777,286,,3998361769,13,,,,,,,,1zq3xp6uas4qe3jv0huphuzmd,A. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274569,5,4,1,0,26,p2dsrpus5eckpz2h16svaour,0,48.5,4,2023-01-28T13:33:48.686Z,2023-01-28T16:32:43Z,3998362395,233,8,3998361967,265,,3998361961,13,,3998361969,285,,3998361963,56,Back,3998361965,152,,,,,,,,79abiotlhtb5edjedx8oqjysp,A. Jóhannsdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274701,9,1,1,0,30,bcuj94typp0ykv77ijp9wpsve,1,48.2,94.1,2023-01-28T13:33:53.375Z,2023-01-28T13:33:57Z,3998362653,155,,3998362655,152,,3998362665,213,5.9,3998362659,140,75.5,3998362663,212,31.2,3998362651,5,,3998362661,141,75.8,3998362657,56,Center,1zq3xp6uas4qe3jv0huphuzmd,A. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274729,10,1,1,0,34,bcuj94typp0ykv77ijp9wpsve,1,74.6,76.7,2023-01-28T13:33:57.406Z,2023-01-28T13:33:58Z,3998362841,213,1.9,3998362823,56,Left,3998362831,141,97.0,3998362837,212,14.8,3998362827,140,69.4,,,,,,,,,,7o8xh2r55xb1yiz5gjvnp0rmx,Taty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274745,11,1,1,0,36,bcuj94typp0ykv77ijp9wpsve,1,69.4,97,2023-01-28T13:33:58.687Z,2023-01-28T13:33:59Z,3998362889,56,Left,3998362891,140,54.4,3998362893,141,98.1,3998362897,213,3.1,3998362895,212,15.8,,,,,,,,,,1zq3xp6uas4qe3jv0huphuzmd,A. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274795,12,1,1,0,36,bcuj94typp0ykv77ijp9wpsve,1,54.9,97,2023-01-28T13:33:59.390Z,2023-01-28T13:34:03Z,3998363171,213,5.9,3998363165,140,70.7,3998363163,56,Left,3998363167,141,87.6,3998363169,212,17.8,,,,,,,,,,3yx85beji7yke6s4su7f0tzh1,M. Fusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274809,13,50,1,0,40,bcuj94typp0ykv77ijp9wpsve,1,67.6,80.4,2023-01-28T13:34:02.975Z,2023-01-28T14:33:12Z,3998363507,233,6,3998363233,56,Left,3998363235,286,,,,,,,,,,,,,,,,,bkyl1g1z7xenlu0augv7717u1,V. Di Giammarino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274841,6,7,1,0,40,p2dsrpus5eckpz2h16svaour,1,32.4,19.6,2023-01-28T13:34:02.976Z,2023-01-28T13:34:06Z,3998363409,285,,3998363407,56,Back,3998363463,233,13,,,,,,,,,,,,,,,,1kmq43pxjjjacnrmcsw2dka1h,A. Parisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274845,7,49,1,0,43,p2dsrpus5eckpz2h16svaour,1,32.1,32.1,2023-01-28T13:34:05.611Z,2023-01-28T13:34:05Z,,,,,,,,,,,,,,,,,,,,,,,,,cnvii81lylt9gcn9iox9lkvdh,S. Breitner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274931,8,1,1,0,43,p2dsrpus5eckpz2h16svaour,1,33.6,35.8,2023-01-28T13:34:06.427Z,2023-01-28T13:34:10Z,3998363887,56,Back,3998363893,212,34.5,3998363895,213,1.5,3998363891,141,86.5,3998363889,140,34.4,3998363897,1,,,,,,,,cnvii81lylt9gcn9iox9lkvdh,S. Breitner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501274967,9,1,1,0,47,p2dsrpus5eckpz2h16svaour,1,34.6,88.6,2023-01-28T13:34:10.491Z,2023-01-28T13:34:12Z,3998364061,141,64.0,3998364057,56,Back,3998364063,212,18.6,3998364059,140,42.3,3998364065,213,5.2,,,,,,,,,,adixpvw9dh994g3pcxqp4aimt,L. Tucceri Cimini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
