id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,assist,qualifier/12/value,qualifier/9/value,qualifier/14/value,qualifier/16/value
2487718293,1,34,16,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2022-11-26T12:30:04.804Z,2022-11-26T13:34:33Z,3926813041,30,"18ufr5nlyfnnzzbzmqo9ynis5, 1d0us90tod393omtmaft90b11, 1rsv7xi31ffxqpjeaw76t1n8p, 1kmq43pxjjjacnrmcsw2dka1h, cnvii81lylt9gcn9iox9lkvdh, 72a3aetghls98os7onhc60vdh, 6mvj0jfbicvwt296r6wuqajca, 79abiotlhtb5edjedx8oqjysp, 2va4upf5w45brysw8q9w22gkq, 4zr1u1gdqagr6e53pnyruywut, e6yhuu5eu6qpk7gybytdtxqdx, italh6z4wnf7982z2k4f2uj8, e4i408ibyt4r0n7znz46qllka, 2v7svoulkkgzvdeb4e0hw7jyt, 7n5xycobojwgk6bq50o4ix0wl, botcpxadt5i04s4p8prbd3dyi, bou3v9eox682bm04tv0l4tkpg, 162dxb8xc7nwc04nhintw7dn9, dwmb9deiywwddo0bbnrgw2x91, 3ym9jjnellqfvf2lg88vi0atx",3926813047,130,8,3926813053,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3926939675,197,8188,3926813051,194,72a3aetghls98os7onhc60vdh,3926813043,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3926813049,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3926813045,59,"1, 16, 7, 8, 6, 5, 17, 88, 19, 87, 20, 2, 4, 9, 11, 21, 30, 33, 34, 55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487720397,1,34,16,0,0,acpt3r9i7hburdteruzc31u96,1,0,0,2022-11-26T12:36:18.101Z,2022-11-26T13:36:13Z,3926824683,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3926936601,197,17509,3926824693,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3926824689,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3926824685,59,"1, 4, 3, 11, 25, 6, 19, 12, 18, 9, 7, 10, 15, 17, 20, 22, 26, 32, 35, 37",3926824691,194,8qywmb7vw14hygvzliislo1xx,3926824681,30,"6cazgi9vrmiy7pj7mspkmrnbp, 2nyteuqhg3tvltcdjmivfoyqx, 8kp0hm0mftts0lx42esqbxt5h, di3hdoveoiv3nwroamxgxd3o5, cobqvig9w519u0pu924u49045, 5zfwazpzlcnm9r7621wefv8ph, 2l1m95m3ub9ptm0f7no1ylxw5, 8sb5yv5enqvr8bemx86jxc2j9, 162sfvdvwcsap2r0v4clllqz9, yobsx8qzjrdt67z3vbzygd79, 8qywmb7vw14hygvzliislo1xx, 3f3c49bl4331k4nrrhvq6fu8l, 26cvxz862r0s1ckpehvsm1b6d, e14n0cktqewsx0a1q4kev326t, dms6dx6taz2d9wxcgqfk87lk9, av7gcm2jf4ahewdoefe6yxrrp, 5bsuoowi9tkilzmz6vp79n36d, a3q5iykho66l9yamfh83hn7x1, 7wgfjhcpikj87dihj1i9broyc, ad6p2jcex4poforoc5a2m42qd",3926824687,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487742007,2,32,1,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2022-11-26T13:32:21.553Z,2022-11-26T13:32:23Z,3926940723,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487742005,3,32,1,0,0,acpt3r9i7hburdteruzc31u96,1,0,0,2022-11-26T13:32:21.553Z,2022-11-26T13:32:21Z,3926940711,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487742029,4,1,1,0,0,acpt3r9i7hburdteruzc31u96,1,50,50,2022-11-26T13:32:21.653Z,2022-11-26T13:32:25Z,3926940871,213,3.2,3926940867,141,49.1,3926940869,212,14.7,3926940865,140,36.0,3926940863,56,Back,3926940873,279,S,,,,,,,2l1m95m3ub9ptm0f7no1ylxw5,L. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487742035,5,61,1,0,4,acpt3r9i7hburdteruzc31u96,1,37.1,50.6,2022-11-26T13:32:25.724Z,2022-11-26T13:32:26Z,3926940893,56,Back,,,,,,,,,,,,,,,,,,,,,,di3hdoveoiv3nwroamxgxd3o5,C. Grimshaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487742057,6,1,1,0,5,acpt3r9i7hburdteruzc31u96,0,36.6,51,2022-11-26T13:32:27.230Z,2022-11-26T13:32:31Z,3926940991,140,77.5,3926940997,213,0.5,3926940987,155,,3926940989,56,Left,3926940999,1,,3926940995,212,48.9,3926940993,141,85.3,,,,5zfwazpzlcnm9r7621wefv8ph,L. Fusetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487742061,3,44,1,0,7,p2dsrpus5eckpz2h16svaour,1,25,12.7,2022-11-26T13:32:29.468Z,2022-11-26T13:32:31Z,3926941045,233,7,3926941013,285,,3926941011,56,Back,,,,,,,,,,,,,,,,1d0us90tod393omtmaft90b11,K. Eržen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487742059,7,44,1,0,7,acpt3r9i7hburdteruzc31u96,0,75,87.3,2022-11-26T13:32:29.469Z,2022-11-26T13:32:31Z,3926941065,233,3,3926941005,286,,3926941003,56,Left,,,,,,,,,,,,,,,,2l1m95m3ub9ptm0f7no1ylxw5,L. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487742065,4,1,1,0,8,p2dsrpus5eckpz2h16svaour,0,26.9,12.2,2022-11-26T13:32:29.850Z,2022-11-26T13:32:30Z,3926941037,141,10.7,3926941041,213,5.8,3926941031,3,,3926941035,140,28.6,3926941039,212,2.1,3926941033,56,Back,,,,,,,1d0us90tod393omtmaft90b11,K. Eržen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
