id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/11/value,assist,qualifier/18/id,qualifier/18/qualifierId
2486876519,1,34,16,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2022-11-20T10:41:31.767Z,2022-11-20T12:11:48Z,3922369863,59,"1, 16, 3, 28, 5, 4, 8, 10, 9, 20, 21, 2, 6, 11, 19, 29, 30, 33, 44, 74",3922369859,30,"c6wbavw0v5bxajsd2xz7qg1d5, ifp26xl8pzgarz05vnfjv3yt, 3yx85beji7yke6s4su7f0tzh1, c5ze370ixl09ccy818f92jkk5, 4xlf56csffamnnw04mba3wpw4, a5unceohcp7m8mrrso11uipqt, b7o9ncawaqn5jj5v32b3gn1be, 7o8xh2r55xb1yiz5gjvnp0rmx, 33fdo0axm0x7s88xj3br3xt61, 1zq3xp6uas4qe3jv0huphuzmd, bkyl1g1z7xenlu0augv7717u1, b4r8ripw5dilngnxrb5fkkkid, e8zyhpx14n6upjw5fnqbc9k44, 6a9iztbvqz1ivizma0g528v84, 26xyd3qlh5v3ypcrdx4l1waju, am9nqqu4kh06f457nxwmpgg0k, bb1q58ts374m0dgx2afl6gq5m, dejb47luo9o523wl9fm9yncgl, 60n2n8den11uhjvk7lpse8qhg, 8tx7ytb6uxqjymzdsu78rrpqs",3922369865,130,23,3922369861,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3922369869,194,3yx85beji7yke6s4su7f0tzh1,3922369871,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3922369867,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3922400133,197,16701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486876689,1,34,16,0,0,7jaarwfaeewpo3vnfvhc2c665,1,0,0,2022-11-20T10:44:13.972Z,2022-11-20T11:41:13Z,3922370957,59,"12, 2, 3, 4, 85, 20, 8, 6, 7, 27, 21, 1, 9, 15, 22, 23, 26, 32, 77, 78",3922400079,197,17097,3922370959,130,10,3922370963,194,ae23upd2mq9lzptqvyydvfsh5,3922370955,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3922370953,30,"bzctf3ho6wtxhmemreonkho7p, 9ihxuqs1v194z96ytkbr6tot1, 8hrg2luo5rmy9njl7a5xd6oyd, duqwuxyvts7b8y171m2zjgfe1, ae23upd2mq9lzptqvyydvfsh5, b8g6l2yrz5zkx0z4cwqbtrm96, ynp4teryxz8qxmby29s1muhh, 8xmxzyft6jgirmjmtokysv9at, 2q342ep7xb1jln18nlz0m0vdh, 6c4yw57zmdchgqhb4uaybmklx, 3dhppw7le5km30lulvbpdxsrt, 1q1rzbagz0tikytlgql4667oq, 6deaavas7332takve0kva6bbp, 8kyz2zkpdn0wdf1ybpmgd2ay1, 7dy7sy437pa1h4a6whsw7jnit, 34wzrwrb4kbwo1iudvi32t9sl, 8m1zaxpia31zue120389es72t, eb8kdhe0pwhhpvpfdmrlqqjth, 7uj1fxna6f1mtu0r4c3x5seeh, 28egj5kbmudnzoospmg1kqrkk",3922370961,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3922370965,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486882075,2,32,1,0,0,7jaarwfaeewpo3vnfvhc2c665,1,0,0,2022-11-20T11:32:15.189Z,2022-11-20T11:32:16Z,3922400439,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486882071,2,32,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2022-11-20T11:32:15.189Z,2022-11-20T11:32:15Z,3922400419,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486882077,3,1,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,50,50,2022-11-20T11:32:15.289Z,2022-11-20T12:03:16Z,3922400451,279,S,3922400445,141,48.4,3922400441,56,Center,3922400449,213,5.4,3922400443,140,50.8,3922400447,212,1.4,,,,,,,bkyl1g1z7xenlu0augv7717u1,V. Di Giammarino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486882083,4,1,1,0,1,bcuj94typp0ykv77ijp9wpsve,1,50.8,48.4,2022-11-20T11:32:16.906Z,2022-11-20T11:32:18Z,3922400483,56,Back,3922400489,212,13.3,3922400491,213,3.0,3922400485,140,38.3,3922400487,141,51.5,,,,,,,,,,7o8xh2r55xb1yiz5gjvnp0rmx,Taty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486882085,5,1,1,0,3,bcuj94typp0ykv77ijp9wpsve,1,38.4,51.3,2022-11-20T11:32:18.442Z,2022-11-20T11:32:19Z,3922400499,140,55.1,3922400497,56,Center,3922400503,212,18.6,3922400505,213,6.0,3922400501,141,42.4,,,,,,,,,,4xlf56csffamnnw04mba3wpw4,A. Passeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486882087,6,1,1,0,4,bcuj94typp0ykv77ijp9wpsve,1,55.1,42.4,2022-11-20T11:32:19.626Z,2022-11-20T11:32:22Z,3922400517,213,2.2,3922400513,141,51.2,3922400511,140,50.7,3922400509,56,Center,3922400515,212,7.6,,,,,,,,,,7o8xh2r55xb1yiz5gjvnp0rmx,Taty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486882089,7,1,1,0,6,bcuj94typp0ykv77ijp9wpsve,0,50.3,52.5,2022-11-20T11:32:22.034Z,2022-11-20T11:32:24Z,3922400525,140,68.4,3922400527,141,7.9,3922400531,213,5.3,3922400521,155,,3922400529,212,35.8,3922400533,1,,3922400523,56,Right,,,,c5ze370ixl09ccy818f92jkk5,Z. Ferrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486882091,3,1,1,0,8,7jaarwfaeewpo3vnfvhc2c665,1,31.4,92.3,2022-11-20T11:32:23.552Z,2022-11-20T11:32:25Z,3922400543,212,16.4,3922400535,3,,3922400545,213,6.0,3922400541,141,85.9,3922400539,140,46.5,3922400537,56,Back,,,,,,,9ihxuqs1v194z96ytkbr6tot1,D. Philtjens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486882093,4,49,1,0,10,7jaarwfaeewpo3vnfvhc2c665,1,46.5,85.9,2022-11-20T11:32:25.521Z,2022-11-20T11:32:25Z,,,,,,,,,,,,,,,,,,,,,,,,,2q342ep7xb1jln18nlz0m0vdh,E. Popadinova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486882095,5,61,1,0,14,7jaarwfaeewpo3vnfvhc2c665,0,56.6,96.3,2022-11-20T11:32:29.744Z,2022-11-20T13:27:16Z,3922400549,56,Left,,,,,,,,,,,,,,,,,,,,,,2q342ep7xb1jln18nlz0m0vdh,E. Popadinova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486882097,6,5,1,0,16,7jaarwfaeewpo3vnfvhc2c665,0,57.6,101.6,2022-11-20T11:32:31.521Z,2022-11-20T11:32:35Z,3922400553,56,Left,3922400555,347,,3922400605,233,8,,,,,,,,,,,,,,,,2q342ep7xb1jln18nlz0m0vdh,E. Popadinova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486882103,8,5,1,0,16,bcuj94typp0ykv77ijp9wpsve,1,42.4,-1.6,2022-11-20T11:32:31.521Z,2022-11-20T11:54:03Z,3922400599,233,6,3922400597,347,,3922400595,56,Back,,,,,,,,,,,,,,,,7o8xh2r55xb1yiz5gjvnp0rmx,Taty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486882127,9,1,1,0,23,bcuj94typp0ykv77ijp9wpsve,1,45.4,0,2022-11-20T11:32:39.146Z,2022-11-20T11:33:43Z,3922400695,212,16.5,3922400689,56,Right,3922400691,140,60.8,3922400693,141,2.9,3922400697,213,0.2,3922400687,107,,,,,,,,ifp26xl8pzgarz05vnfjv3yt,F. Rizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486882133,10,50,1,0,31,bcuj94typp0ykv77ijp9wpsve,1,64.9,2.6,2022-11-20T11:32:46.382Z,2022-11-20T11:32:48Z,3922400727,233,7,3922400721,286,,3922400719,56,Right,,,,,,,,,,,,,,,,7o8xh2r55xb1yiz5gjvnp0rmx,Taty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
