id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/16/value
2511856787,1,34,16,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2023-02-25T12:41:45.548Z,2023-02-25T13:28:17Z,4054063191,130,4,4054063197,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054063187,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4054063185,30,"c6wbavw0v5bxajsd2xz7qg1d5, ifp26xl8pzgarz05vnfjv3yt, 3yx85beji7yke6s4su7f0tzh1, c5ze370ixl09ccy818f92jkk5, 4rxi67te6h5sfv95cxs2gmynd, 4xlf56csffamnnw04mba3wpw4, b7o9ncawaqn5jj5v32b3gn1be, bkyl1g1z7xenlu0augv7717u1, bb1q58ts374m0dgx2afl6gq5m, 7o8xh2r55xb1yiz5gjvnp0rmx, 1zq3xp6uas4qe3jv0huphuzmd, b4r8ripw5dilngnxrb5fkkkid, e8zyhpx14n6upjw5fnqbc9k44, 68vj95m8a7vmurirk0hr8lboq, 33fdo0axm0x7s88xj3br3xt61, 26xyd3qlh5v3ypcrdx4l1waju, 90hq4z2yaqtm03zefavqmf46h, am9nqqu4kh06f457nxwmpgg0k, dejb47luo9o523wl9fm9yncgl, 4udz6yr09afpwg201j7ruyaz8",4054063193,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054063189,59,"1, 16, 3, 28, 26, 5, 8, 21, 30, 10, 20, 2, 6, 7, 9, 19, 22, 29, 33, 55",4054254745,197,15038,4054063195,194,3yx85beji7yke6s4su7f0tzh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511862563,1,34,16,0,0,7jaarwfaeewpo3vnfvhc2c665,1,0,0,2023-02-25T12:50:11.460Z,2023-02-25T13:35:40Z,4054253135,197,8196,4054092457,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054092449,30,"bzctf3ho6wtxhmemreonkho7p, 9ihxuqs1v194z96ytkbr6tot1, 8hrg2luo5rmy9njl7a5xd6oyd, duqwuxyvts7b8y171m2zjgfe1, ae23upd2mq9lzptqvyydvfsh5, b8g6l2yrz5zkx0z4cwqbtrm96, 8kyz2zkpdn0wdf1ybpmgd2ay1, 8vylda616yxfy53t66o4ua162, 2v7svoulkkgzvdeb4e0hw7jyt, 8m1zaxpia31zue120389es72t, 8xmxzyft6jgirmjmtokysv9at, 1ql4mxhyvvp14meu36zbu0es5, 2q342ep7xb1jln18nlz0m0vdh, ynp4teryxz8qxmby29s1muhh, 3dhppw7le5km30lulvbpdxsrt, 6c4yw57zmdchgqhb4uaybmklx, eb8kdhe0pwhhpvpfdmrlqqjth, bs7324p1bdh7ggv14x3f2x4ut, 7znpe1zzdhv7izxm0m0c2a6eh, 7uj1fxna6f1mtu0r4c3x5seeh",4054092455,130,12,4054092453,59,"12, 2, 3, 4, 85, 20, 15, 10, 18, 26, 6, 28, 7, 8, 21, 27, 32, 33, 73, 77",4054092459,194,ae23upd2mq9lzptqvyydvfsh5,4054092461,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054092451,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511895877,2,32,1,0,0,7jaarwfaeewpo3vnfvhc2c665,1,0,0,2023-02-25T13:30:51.566Z,2023-02-25T13:30:51Z,4054265161,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511895891,3,32,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2023-02-25T13:30:51.566Z,2023-02-25T13:30:52Z,4054265207,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511895931,4,1,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,50.3,50,2023-02-25T13:30:51.666Z,2023-02-25T14:20:33Z,4054265391,140,53.3,4054265393,141,54.3,4054265399,279,S,4054265395,212,4.3,4054265389,56,Center,4054265397,213,0.7,,,,,,,c5ze370ixl09ccy818f92jkk5,Z. Ferrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511896001,5,1,1,0,3,bcuj94typp0ykv77ijp9wpsve,0,53.3,54.3,2023-02-25T13:30:55.185Z,2023-02-25T14:20:36Z,4054265681,1,,4054265675,141,95.3,4054265679,213,1.1,4054265673,140,68.4,4054265677,212,32.1,4054265671,56,Left,4054265669,155,,,,,bb1q58ts374m0dgx2afl6gq5m,V. Battelani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511896025,3,1,1,0,6,7jaarwfaeewpo3vnfvhc2c665,0,21.6,9.2,2023-02-25T13:30:57.683Z,2023-02-25T13:30:58Z,4054265791,141,0.0,4054265785,3,,4054265793,212,10.6,4054265795,213,5.5,4054265789,140,28.8,4054265787,56,Back,,,,,,,9ihxuqs1v194z96ytkbr6tot1,D. Philtjens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511896029,4,5,1,0,6,7jaarwfaeewpo3vnfvhc2c665,0,30.9,-1.4,2023-02-25T13:30:58.532Z,2023-02-25T13:31:05Z,4054265813,56,Back,4054266295,233,6,4054265815,347,,,,,,,,,,,,,,,,,9ihxuqs1v194z96ytkbr6tot1,D. Philtjens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511896129,6,5,1,0,6,bcuj94typp0ykv77ijp9wpsve,1,69.1,101.4,2023-02-25T13:30:58.532Z,2023-02-25T13:35:45Z,4054266267,233,4,4054266249,347,,4054266247,56,Left,,,,,,,,,,,,,,,,bkyl1g1z7xenlu0augv7717u1,V. Di Giammarino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511896219,7,1,1,0,13,bcuj94typp0ykv77ijp9wpsve,1,67,100,2023-02-25T13:31:04.993Z,2023-02-25T13:31:10Z,4054266723,212,25.9,4054266725,213,5.8,4054266727,1,,4054266715,107,,4054266721,141,83.5,4054266719,140,88.9,4054266717,56,Left,,,,3yx85beji7yke6s4su7f0tzh1,M. Fusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
