id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2475234401,1,34,16,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2022-10-22T09:45:57.074Z,2022-10-22T10:41:45Z,3861203679,59,"1, 27, 5, 6, 11, 73, 28, 18, 36, 24, 17, 3, 4, 7, 10, 12, 21, 71, 82",3861203677,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3861203683,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3861203685,194,7o6r8tzrtw3820q5g8slo51w5,3861203675,30,"7o6r8tzrtw3820q5g8slo51w5, 7hjudlzsedzdtoh1mujgqj3yt, 7lx9lvt04ne2umnr922nbx68l, 7fu77l8o1mi2fq8iqqirsu09h, 51kuc7ba0zrbs82iok6sia76d, 8gef0np3atw3ihedrd6b16g9h, y1n01stf6l2bn9nw1l1qv7kk, z76gqv9thd1553u6bf6akpyi, cfntkj03dvexguaq8sp37fglx, 6aybaux5k8c5xtzswmbljv1m1, dhus1gg9t5tpqh3xxwrte9l1x, 4udz6yr09afpwg201j7ruyaz8, a5ysq9fe13ges96z29omy3gmh, egz2k5rilem5eycz1blntm3v8, 78kvxlwqgxlr5tw44nnkcwslx, ewrcxn31z5uhgemq7bhbwvw89, d0od4dxuv7bywyzy3300rp27e, 4qzbgxsev4wibbvo4osmwb4r9, a320o7ah5eyuufwh93i9g1i50",3861203681,130,21,3861203687,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861250591,197,16707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475234875,1,34,16,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2022-10-22T09:51:46.703Z,2022-10-22T10:30:08Z,3861259617,197,16701,3861207047,130,23,3861207049,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3861207053,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861207041,30,"c6wbavw0v5bxajsd2xz7qg1d5, b4r8ripw5dilngnxrb5fkkkid, ifp26xl8pzgarz05vnfjv3yt, c5ze370ixl09ccy818f92jkk5, 4xlf56csffamnnw04mba3wpw4, a5unceohcp7m8mrrso11uipqt, b7o9ncawaqn5jj5v32b3gn1be, bkyl1g1z7xenlu0augv7717u1, 33fdo0axm0x7s88xj3br3xt61, 1zq3xp6uas4qe3jv0huphuzmd, 7o8xh2r55xb1yiz5gjvnp0rmx, e8zyhpx14n6upjw5fnqbc9k44, 68vj95m8a7vmurirk0hr8lboq, 6a9iztbvqz1ivizma0g528v84, 26xyd3qlh5v3ypcrdx4l1waju, am9nqqu4kh06f457nxwmpgg0k, bb1q58ts374m0dgx2afl6gq5m, dejb47luo9o523wl9fm9yncgl, 60n2n8den11uhjvk7lpse8qhg",3861207045,59,"1, 2, 16, 28, 5, 4, 8, 21, 9, 20, 10, 6, 7, 11, 19, 29, 30, 33, 44",3861207051,194,b4r8ripw5dilngnxrb5fkkkid,3861207043,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475245405,2,32,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2022-10-22T10:32:58.173Z,2022-10-22T10:32:59Z,3861265113,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475245407,2,32,1,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2022-10-22T10:32:58.173Z,2022-10-22T10:32:58Z,3861265119,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475245411,3,1,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,50.3,49,2022-10-22T10:32:58.273Z,2022-10-22T11:27:23Z,3861265139,212,4.6,3861265137,141,49.0,3861265133,56,Back,3861265135,140,45.9,3861265143,279,S,3861265141,213,3.1,,,,,,,1zq3xp6uas4qe3jv0huphuzmd,A. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475245449,4,1,1,0,4,bcuj94typp0ykv77ijp9wpsve,1,53,50.4,2022-10-22T10:33:02.613Z,2022-10-22T10:33:04Z,3861265337,213,0.9,3861265339,1,,3861265331,140,71.2,3861265329,56,Left,3861265327,155,,3861265335,212,32.6,3861265333,141,89.3,,,,33fdo0axm0x7s88xj3br3xt61,Verena Amorim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475245451,5,61,1,0,5,bcuj94typp0ykv77ijp9wpsve,0,71.1,94.4,2022-10-22T10:33:03.548Z,2022-10-22T11:26:49Z,3861265343,56,Left,,,,,,,,,,,,,,,,,,,,,,1zq3xp6uas4qe3jv0huphuzmd,A. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475245505,3,5,1,0,6,7pm0maqtof5rdc3ksumasw55g,1,24.4,-1,2022-10-22T10:33:05.099Z,2022-10-22T10:33:11Z,3861265609,56,Back,3861265617,233,6,3861265611,347,,,,,,,,,,,,,,,,,51kuc7ba0zrbs82iok6sia76d,N. Heroum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475245465,6,5,1,0,6,bcuj94typp0ykv77ijp9wpsve,0,75.6,101,2022-10-22T10:33:05.099Z,2022-10-22T11:36:32Z,3861265389,56,Left,3861265641,233,3,3861265391,347,,,,,,,,,,,,,,,,,1zq3xp6uas4qe3jv0huphuzmd,A. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475245525,4,1,1,0,12,7pm0maqtof5rdc3ksumasw55g,0,22.4,0,2022-10-22T10:33:10.923Z,2022-10-22T11:27:17Z,3861265765,107,,3861265771,141,28.5,3861265775,213,1.3,3861265773,212,20.8,3861265767,56,Back,3861265769,140,27.7,,,,,,,7hjudlzsedzdtoh1mujgqj3yt,E. Santoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475245527,5,1,1,0,16,7pm0maqtof5rdc3ksumasw55g,0,27.7,28.5,2022-10-22T10:33:14.619Z,2022-10-22T10:33:15Z,3861265787,141,12.8,3861265781,157,,3861265793,1,,3861265789,212,18.0,3861265785,140,41.5,3861265791,213,5.6,3861265783,56,Back,,,,7hjudlzsedzdtoh1mujgqj3yt,E. Santoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475245533,7,1,1,0,18,bcuj94typp0ykv77ijp9wpsve,1,52.3,80,2022-10-22T10:33:16.501Z,2022-10-22T10:33:16Z,3861265811,56,Left,3861265819,213,0.2,3861265817,212,13.4,3861265813,140,64.9,3861265815,141,83.2,,,,,,,,,,ifp26xl8pzgarz05vnfjv3yt,F. Rizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,
