id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2466381131,1,34,16,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2022-10-02T11:54:27.339Z,2022-10-02T13:41:52Z,3814081867,194,9bxqgoylhs3u0061ht1dr8t79,3814247007,197,16872,3814081857,30,"7o6r8tzrtw3820q5g8slo51w5, 51kuc7ba0zrbs82iok6sia76d, 7lx9lvt04ne2umnr922nbx68l, 97c2wpbq7cw51dh668feuju1h, 8gef0np3atw3ihedrd6b16g9h, bbryvdwzavouhzf5d31kysvvu, a5ysq9fe13ges96z29omy3gmh, 7fu77l8o1mi2fq8iqqirsu09h, 9bxqgoylhs3u0061ht1dr8t79, 6aybaux5k8c5xtzswmbljv1m1, 4qzbgxsev4wibbvo4osmwb4r9, 4udz6yr09afpwg201j7ruyaz8, egz2k5rilem5eycz1blntm3v8, ewrcxn31z5uhgemq7bhbwvw89, eoup3nwpmplc03m9p7olaxel0, dhus1gg9t5tpqh3xxwrte9l1x, 7hjudlzsedzdtoh1mujgqj3yt, azj2lf3vgk50yljiskhyidhxw, a320o7ah5eyuufwh93i9g1i50, btzynmi6gv4flx9r19o322b1m",3814081863,130,10,3814081869,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814081865,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814081861,59,"1, 11, 5, 14, 73, 77, 4, 6, 9, 24, 71, 3, 7, 12, 15, 17, 27, 37, 82, 86",3814081859,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466383421,1,34,16,0,0,5snsl2d1lu2oclbriztdy61d6,1,0,0,2022-10-02T11:57:56.572Z,2022-10-02T12:38:14Z,3814093593,130,4,3814286819,197,8197,3814093599,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814093595,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814093587,30,"e4svndmjv164s2xdigdit1uc5, 72mtf2acxf523gwm13zq5jvth, du2oxcctxwk3tpg0imbctjcut, 28y2auuxfuxvvbbds3bwtlskp, 8z970w0wmh524aliuxnze5l91, f98n454u9g97ngyluh0rd4ut, 31myx78t8pvy886l3g8tsmrit, 978grivb05fx65k9zg3g0czxl, e0254ysu7nwqiuku9szuf9wph, 2nqlq23w7g732ttrbnt2u2s4p, 47n7enqd3bfy0gawlth0a4mhh, 7ba612p8pdv2fhz19u32js251, 5et546tgrpw51ep3kfbzdyx1x, ax9lyewa6alv4v3btpwlm4pn9, 4ghj3cp5v817497z1l8k1vw0l, a8jqw3uon5yv03m2nvkklnpat, 5x729t5j2ldmq4fmlgj1my191, 5dnoofqsczzkdqrdmj661d239, a2b4op7l073rehwbpbfy0sis4, 7ja8x23lq5lnz2qbwef2vhn2s",3814093591,59,"1, 13, 5, 18, 23, 2, 10, 20, 9, 22, 11, 6, 7, 12, 15, 16, 27, 29, 33, 59",3814093597,194,72mtf2acxf523gwm13zq5jvth,3814093589,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466413009,2,32,1,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2022-10-02T12:31:29.215Z,2022-10-02T12:31:29Z,3814255065,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466413017,2,32,1,0,0,5snsl2d1lu2oclbriztdy61d6,1,0,0,2022-10-02T12:31:29.215Z,2022-10-02T12:31:32Z,3814255123,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466413063,3,1,1,0,0,7pm0maqtof5rdc3ksumasw55g,1,49.8,50,2022-10-02T12:31:29.315Z,2022-10-02T12:31:32Z,3814255363,56,Back,3814255373,279,S,3814255367,141,53.6,3814255369,212,11.6,3814255371,213,2.9,3814255365,140,39.0,,,,,,,9bxqgoylhs3u0061ht1dr8t79,V. Pirone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466413111,4,1,1,0,3,7pm0maqtof5rdc3ksumasw55g,1,36.4,52.7,2022-10-02T12:31:32.633Z,2022-10-02T13:22:54Z,3814255621,141,24.3,3814255625,213,4.1,3814255619,140,23.3,3814255623,212,23.7,3814255617,56,Back,,,,,,,,,,7fu77l8o1mi2fq8iqqirsu09h,A. Benoît,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466413139,5,1,1,0,5,7pm0maqtof5rdc3ksumasw55g,1,23.3,24.3,2022-10-02T12:31:35.017Z,2022-10-02T13:23:01Z,3814255761,212,12.6,3814255759,141,39.5,3814255755,56,Back,3814255757,140,30.2,3814255763,213,1.0,,,,,,,,,,bbryvdwzavouhzf5d31kysvvu,Giovana Maia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466413185,6,1,1,0,9,7pm0maqtof5rdc3ksumasw55g,1,35.2,30.6,2022-10-02T12:31:38.522Z,2022-10-02T13:22:53Z,3814256033,140,69.5,3814256037,212,39.7,3814256029,155,,3814256035,141,6.1,3814256041,1,,3814256031,56,Right,3814256039,213,5.8,,,,7fu77l8o1mi2fq8iqqirsu09h,A. Benoît,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466413203,7,1,1,0,11,7pm0maqtof5rdc3ksumasw55g,1,69.5,6.1,2022-10-02T12:31:40.905Z,2022-10-02T12:31:42Z,3814256153,56,Right,3814256163,213,2.7,3814256157,141,9.5,3814256159,212,5.3,3814256155,140,65.0,,,,,,,,,,51kuc7ba0zrbs82iok6sia76d,N. Heroum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466413209,8,3,1,0,12,7pm0maqtof5rdc3ksumasw55g,0,69.2,7.8,2022-10-02T12:31:42.169Z,2022-10-02T12:31:44Z,3814256177,56,Right,3814256315,233,3,3814256179,286,,,,,,,,,,,,,,,,,97c2wpbq7cw51dh668feuju1h,A. Jelenčić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
