id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,assist,qualifier/17/id,qualifier/17/qualifierId
2472815703,1,34,16,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,0,0,2022-10-16T11:43:30.112Z,2022-10-16T12:35:28Z,3848459141,30,"czmpp6e2oo276u9prac16le51, 7um4xb0p8zr4o11lsyd9n0hqt, aat1vixi4qu8bmxtw45maqytx, 8aglulhb1aof871k1z7exuvo5, 45bi84zkhqhvgs9v3rtgj06ol, 3ypl97rrz80zb454kq039yuol, 3dftc6lswgfgb4xoju4xb2xg5, 89l4376fhyf32a6tdjou6zqw9, 8f64tianoo4mc7t1lyz6acqtx, 6alny8atonddyhmltw3dgo1d5, 17zgb1iogatltsw1spnvyuuol, 66cgzmlvygqqgb8vrv380c4bt, 7lt5as8r1xms7ujjgt7pynl5, djh9uya9vanxsyfgpt1rc4yqx, ccy7sflcnyiaf9c9j4c9p92ax, 40sizsfd9vaym7yvwpvohu415, 3qnkvefimj0i4kl78jucipnf9, bdsv3kql5t6sw5ed2gsxmz2eh, 4zwebuh423xgcroy4rmd5r3rp, 6cs8qwc1exex8ik9w3nejnkyd",3848459147,130,7,3848459151,194,45bi84zkhqhvgs9v3rtgj06ol,3848459143,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3848459153,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848459149,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848459145,59,"16, 5, 13, 8, 3, 23, 7, 21, 10, 15, 11, 1, 9, 12, 19, 22, 32, 33, 71, 77",3848666311,197,8185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472819837,1,34,16,0,0,agjf3593kdfob1fl43rlt2b6c,1,0,0,2022-10-16T11:47:10.084Z,2022-10-16T12:39:11Z,3848478123,30,"1hvfc11oxddf7hxxks4skxw45, c8v0somzpm3hv3vvg4t85hjl6, s7husj5h842pazt5crezfbe2, 4hr92u2mkgds9ojm844xgag9h, 6e1lpunbwloydldryrn6q3iz9, 9m7xcfi5h3tshdrsckkausm39, cczk9xb3xmteym84wujrwt0yc, cv7zl2omdyscmzg77ac8nic45, horxq0sb7c6929i7mc6ctuqd, cbozn7nychmtwwwkrxae2ga21, eamiu4oem93j41zqdsv9uk4b9, ej5p7l0mua55bqhzjbybejwet, 4jwotvqswss201ptdipai5rkl, 4xzg2jjtxvjoic1c8ohzsumdx, efjrhuhhm4zy4vrzekxlu4h9m, 9q6mpd436ukjidbbj6onmti0a, 23l4wxjftfctry8qgxh71zhm1, 6bxufdsghl0f3r4jilcbo26eh, 7rkobukrhcx0h6t3p1ux2bl78, 9nj8et8a0rk6ay19vk84uawh5",3848666453,197,12022,3848478127,59,"12, 14, 67, 21, 23, 5, 13, 10, 27, 29, 20, 1, 7, 8, 15, 19, 22, 24, 40, 44",3848478135,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848478125,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3848478131,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848478129,130,23,3848478133,194,horxq0sb7c6929i7mc6ctuqd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472859237,2,32,1,0,0,agjf3593kdfob1fl43rlt2b6c,1,0,0,2022-10-16T12:29:59.961Z,2022-10-16T12:30:00Z,3848678165,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472859241,2,32,1,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,0,0,2022-10-16T12:29:59.961Z,2022-10-16T12:30:01Z,3848678193,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472859265,3,1,1,0,0,agjf3593kdfob1fl43rlt2b6c,1,50.1,50.1,2022-10-16T12:30:00.061Z,2022-10-16T13:25:31Z,3848678315,140,44.9,3848678323,279,S,3848678321,213,3.4,3848678319,212,5.7,3848678313,56,Back,3848678317,141,47.9,,,,,,,horxq0sb7c6929i7mc6ctuqd,S. Tarenzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472859309,4,1,1,0,1,agjf3593kdfob1fl43rlt2b6c,1,44.8,47.9,2022-10-16T12:30:01.876Z,2022-10-16T12:30:05Z,3848678547,212,27.6,3848678541,56,Back,3848678549,213,4.5,3848678543,140,38.3,3848678545,141,8.5,,,,,,,,,,cv7zl2omdyscmzg77ac8nic45,Y. Rincón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472859361,5,1,1,0,5,agjf3593kdfob1fl43rlt2b6c,1,37.7,6.2,2022-10-16T12:30:04.989Z,2022-10-16T12:30:08Z,3848678831,56,Back,3848678837,212,23.5,3848678839,213,2.6,3848678833,140,19.0,3848678835,141,25.3,,,,,,,,,,c8v0somzpm3hv3vvg4t85hjl6,A. De Rita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472859419,6,1,1,0,8,agjf3593kdfob1fl43rlt2b6c,1,19,25.3,2022-10-16T12:30:08.100Z,2022-10-16T12:30:12Z,3848679221,141,49.4,3848679217,56,Back,3848679229,213,2.2,3848679219,140,6.4,3848679225,212,21.1,,,,,,,,,,9m7xcfi5h3tshdrsckkausm39,G. Spinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472859437,7,1,1,0,12,agjf3593kdfob1fl43rlt2b6c,0,4.6,49.6,2022-10-16T12:30:12.429Z,2022-10-16T12:30:13Z,3848679345,213,0.9,3848679343,212,28.3,3848679341,141,81.5,3848679335,140,21.9,3848679333,56,Back,,,,,,,,,,1hvfc11oxddf7hxxks4skxw45,K. Odden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472859451,3,49,1,0,14,7w2y7s7q5r1h1flz9y4sj6xka,1,81.6,18.2,2022-10-16T12:30:14.678Z,2022-10-16T12:30:14Z,,,,,,,,,,,,,,,,,,,,,,,,,3dftc6lswgfgb4xoju4xb2xg5,V. Cernoia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
