id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,keyPass,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist
2548912357,1,34,16,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2023-05-14T17:48:34.035Z,2023-05-14T19:07:58Z,4278621261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4278621259,194,8yv9xuzriaecvvssfm8dlmz85,4278897573,197,71,4278621257,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4278621255,130,16,4278621251,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4278621249,30,"3o573dblmfc1o3wkkt2nva8k5, pconfrmsdy9aikioqz9s9lg5, c6nl81c1q4unq5js94s6s942x, 8yv9xuzriaecvvssfm8dlmz85, d196vatyvq6ycn1q7d477d2i1, cv46mxj5i98p4hgtbomxlxs7o, 418gw0hpjoy8dt0ywaxjgm5pm, 2nddcty9qris2mmeldon0ogd1, 3ua8gs8tzx1dkdi9z88kjk9nt, f482w50k80zbyb2ykh84yijf9, apdtqouzo9b02ozdxk8mx4zbp, 6ofu6yc2qwp5ii9cerdq1tk9h, ahz2npxe4geixkaz25f2pc82d, 2raf0uw5y2kajde0v60l4g1qt, 35r56n0i4sbdh7n5arbt7db6d, 555z9bynvux7oruirg67r8i51, 3zqpvn7r1c779l9vwwh7yukfd, bjob8tftnxojnytcj7juo0ga2, 7glxasv2ed6ey82dknto1y66t, 8rlf5vjyddkcid5ysa3yo7hlh, bh3b7e2qzh41dltd6h2obpln9, 342zbrh4dy6y3ohsew14b2ulm, 9p621hq50jdkujzy4309sagkq",4278621253,59,"36, 11, 7, 6, 3, 15, 44, 25, 9, 10, 32, 1, 5, 12, 14, 17, 18, 20, 22, 23, 24, 42, 43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548914531,1,34,16,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2023-05-14T17:51:43.823Z,2023-05-14T19:07:51Z,4278633515,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4278633523,194,360knvg4k1yywxnb8o1mlyggl,4278633517,59,"12, 24, 33, 5, 44, 21, 20, 27, 77, 28, 26, 3, 4, 9, 10, 13, 15, 17, 18, 19, 23, 45, 99",4278633521,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4278633513,30,"eu9b86opw6n66vftu1r5alfqh, 5sxy1z2pz5bhlp767lyjte76d, 1r35ds2obqkw03f7hfpfsqqui, 7ojvhhfvbtbn60sc50y4l2ctm, 3jruai7zu28e8f0ooj4t16l05, 360knvg4k1yywxnb8o1mlyggl, 74g3ef24ctcgw1kee77d3acr8, 860ysqvvnpfya7bwxbe4g0wk5, 1gnc1tbpmomiqt1sty2lktt5, 9qrewt049r6yq88c715ymau39, 7358y8d8v19qn6s8h0kx7tn11, d9bg5jjv8pz0f8u55x3hg0962, ay6tmp6zkxtjzse2gel3rgnl6, 1t1kgb0r5ca32f54emsscfob9, 319knuftqo071luold2fqluqd, g324scl7t7h6j05g973me82y, ckzn72wo51pmw475t9tl6vr2t, 913rgsi93o890wc2cbuwlbqp5, 86nwv5baekm00h4d3z0suwhyh, a7gi41760sk45wbkpbps3njdh, 33erk8bdhefx5xnkjad2fvy8k, a3o9x85aooe65w5r3ibs8ltk9, 98agxmllw183w3cml8j8q76dw",4278633525,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4278633519,130,11,4278897061,197,3464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548949859,2,32,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2023-05-14T18:46:34.009Z,2023-05-15T00:34:47Z,4278830593,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548949873,2,32,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2023-05-14T18:46:34.009Z,2023-05-14T18:46:35Z,4278830675,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548949883,3,1,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,50,50,2023-05-14T18:46:34.045Z,2023-05-15T01:05:45Z,4278830731,212,16.9,4278830729,141,47.9,4279912081,178,,4278830733,213,3.2,4278830735,279,S,4278830727,140,34.0,4278830725,56,Back,,,,3ua8gs8tzx1dkdi9z88kjk9nt,D. Vlahović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548949915,4,1,1,0,2,bqbbqm98ud8obe45ds9ohgyrd,1,34.4,46.8,2023-05-14T18:46:36.221Z,2023-05-15T01:05:47Z,4278830911,56,Back,4278830913,140,40.6,4279912099,178,,4278830919,212,23.9,4278830915,141,13.0,4278830923,213,5.0,,,,,,,apdtqouzo9b02ozdxk8mx4zbp,L. Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548949969,5,1,1,0,5,bqbbqm98ud8obe45ds9ohgyrd,1,39.3,17.8,2023-05-14T18:46:39.567Z,2023-05-15T01:05:51Z,4279912141,178,,4278831211,213,2.2,4278831209,212,22.2,4278831203,56,Back,4278831205,140,26.5,4278831207,141,43.8,,,,,,,pconfrmsdy9aikioqz9s9lg5,J. Cuadrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548949991,6,1,1,0,8,bqbbqm98ud8obe45ds9ohgyrd,1,26.5,44.6,2023-05-14T18:46:42.824Z,2023-05-15T01:05:54Z,4278831339,141,62.9,4279912213,178,,4278831343,213,1.0,4278831341,212,15.0,4278831337,140,34.5,4278831335,56,Back,,,,,,,d196vatyvq6ycn1q7d477d2i1,Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548950073,7,1,1,0,10,bqbbqm98ud8obe45ds9ohgyrd,1,31.1,59.9,2023-05-14T18:46:44.927Z,2023-05-15T01:05:57Z,4278831775,212,23.2,4278831777,213,4.7,4279912257,178,,4278831773,141,25.8,4278831769,56,Back,4278831771,140,30.3,,,,,,,2nddcty9qris2mmeldon0ogd1,A. Rabiot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548950085,8,1,1,0,16,bqbbqm98ud8obe45ds9ohgyrd,1,37.8,27.6,2023-05-14T18:46:50.113Z,2023-05-15T01:06:00Z,4278831851,213,1.9,4278831849,212,10.7,4278831843,56,Back,4278831845,140,34.1,4279912317,178,,4278831847,141,42.2,,,,,,,cv46mxj5i98p4hgtbomxlxs7o,F. Gatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548950119,9,1,1,0,18,bqbbqm98ud8obe45ds9ohgyrd,1,37,41.9,2023-05-14T18:46:52.921Z,2023-05-15T01:06:03Z,4278832125,141,58.3,4278832127,212,14.0,4278832121,140,45.0,4278832129,213,0.9,4279912379,178,,4278832119,56,Back,,,,,,,d196vatyvq6ycn1q7d477d2i1,Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549155741,680,83,1,0,20,af91jdcs6x0bqkmdb78rokod2,1,57.4,47.4,2023-05-14T18:46:54.988Z,2023-05-15T01:27:45Z,4279946301,399,120743,,,,,,,,,,,,,,,,,,,,,,860ysqvvnpfya7bwxbe4g0wk5,P. Galdames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548950201,10,1,1,0,21,bqbbqm98ud8obe45ds9ohgyrd,1,42.9,50.3,2023-05-14T18:46:55.024Z,2023-05-15T01:06:05Z,4278832503,56,Back,4278832505,140,44.5,4279912471,178,,4278832507,141,5.2,4278832511,213,4.8,4278832509,212,30.7,,,,,,,2nddcty9qris2mmeldon0ogd1,A. Rabiot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548950231,11,1,1,0,26,bqbbqm98ud8obe45ds9ohgyrd,1,44.7,7.2,2023-05-14T18:47:00.017Z,2023-05-15T01:06:09Z,4278832659,213,2.0,4278832653,140,40.0,4279912529,178,,4278832651,56,Back,4278832655,141,22.3,4278832657,212,11.4,,,,,,,cv46mxj5i98p4hgtbomxlxs7o,F. Gatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548950253,12,1,1,0,28,bqbbqm98ud8obe45ds9ohgyrd,1,43.4,28.2,2023-05-14T18:47:02.680Z,2023-05-15T01:06:12Z,4279912557,178,,4278832819,140,43.5,4278832833,213,1.6,4278832829,212,19.4,4278832823,141,56.8,4278832817,56,Back,,,,,,,apdtqouzo9b02ozdxk8mx4zbp,L. Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548950303,13,1,1,0,31,bqbbqm98ud8obe45ds9ohgyrd,0,44.3,51.5,2023-05-14T18:47:05.426Z,2023-05-15T01:06:14Z,4278833139,155,,4278833145,140,76.0,4278833147,141,100.0,4278833141,56,Left,4279912643,178,,4278833149,212,47.4,4278833153,1,,4278833151,213,0.8,8yv9xuzriaecvvssfm8dlmz85,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548950309,3,5,1,0,36,af91jdcs6x0bqkmdb78rokod2,1,23.4,-1.6,2023-05-14T18:47:10.095Z,2023-05-15T01:06:18Z,4278833173,56,Back,4278833175,347,,4278833225,233,14,,,,,,,,,,,,,,,,7358y8d8v19qn6s8h0kx7tn11,M. Benassi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548950313,14,5,1,0,36,bqbbqm98ud8obe45ds9ohgyrd,0,76.6,101.6,2023-05-14T18:47:10.095Z,2023-05-15T01:06:18Z,4278833271,233,3,4278833191,347,,4278833187,56,Left,,,,,,,,,,,,,,,,8yv9xuzriaecvvssfm8dlmz85,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548950569,4,1,1,0,49,af91jdcs6x0bqkmdb78rokod2,1,22.8,0,2023-05-14T18:47:23.968Z,2023-05-15T01:06:23Z,4278834575,107,,4278834579,140,29.6,4278834581,141,7.9,4278834577,56,Back,4278834583,212,9.8,4278834587,213,0.8,,,,,,,5sxy1z2pz5bhlp767lyjte76d,A. Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548950583,5,50,1,0,51,af91jdcs6x0bqkmdb78rokod2,1,30.4,10,2023-05-14T18:47:25.213Z,2023-05-15T01:06:26Z,4278834631,285,,4278834629,56,Back,4278834679,233,15,,,,,,,,,,,,,,,,74g3ef24ctcgw1kee77d3acr8,F. Afena-Gyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548950575,15,7,1,0,51,bqbbqm98ud8obe45ds9ohgyrd,1,69.6,90,2023-05-14T18:47:25.834Z,2023-05-15T01:06:32Z,4279354719,384,,4279913005,15,,4278834663,233,5,4278834611,286,,4279913003,178,,4278834609,56,Left,,,,,,,2nddcty9qris2mmeldon0ogd1,A. Rabiot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548950613,16,1,1,0,52,bqbbqm98ud8obe45ds9ohgyrd,1,58.4,93.7,2023-05-14T18:47:26.664Z,2023-05-15T01:06:40Z,4278834743,140,62.3,4278834741,56,Left,4278834745,141,86.8,4278834747,212,6.2,4278834749,213,5.4,4279913187,178,,,,,,,,8yv9xuzriaecvvssfm8dlmz85,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548950617,17,61,1,0,52,bqbbqm98ud8obe45ds9ohgyrd,1,62.3,86.8,2023-05-14T18:47:26.893Z,2023-05-15T01:06:46Z,4278834779,56,Left,4279913301,178,,,,,,,,,,,,,,,,,,,,2nddcty9qris2mmeldon0ogd1,A. Rabiot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548950593,6,43,1,0,54,af91jdcs6x0bqkmdb78rokod2,1,0,0,2023-05-14T18:47:28.302Z,2023-05-14T18:47:41Z,4278834667,56,Back,4278835375,144,61,,,,,,,,,,,,,,,,,,,74g3ef24ctcgw1kee77d3acr8,F. Afena-Gyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548950621,18,49,1,0,54,bqbbqm98ud8obe45ds9ohgyrd,1,56.3,87.6,2023-05-14T18:47:28.574Z,2023-05-15T01:06:58Z,,,,,,,,,,,,,,,,,,,,,,,,,8yv9xuzriaecvvssfm8dlmz85,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
