id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2488741523,1,34,16,0,0,ca8pjvyb7hgttr1dalj2nguum,1,0,0,2022-12-03T12:31:31.820Z,2022-12-03T13:40:28Z,3932229659,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3932229661,59,"22, 2, 14, 6, 3, 29, 10, 34, 9, 5, 18, 7, 8, 11, 13, 15, 19, 20, 32, 33",3932229657,30,"6clgafy8vlbq6qw2ofptwkwd1, 496otta0vz8p7eackdpfod68l, 48rypey85a23z9ht4k5skw8b8, c5s6l4u9gjdv3ce5rc0we8sx6, 3izcnjpqeumq1mjfy1osc3qhh, b6e5e8znxa7u9qhtxtwflxgwl, 13e3434z48bduvnvyly0zg5w5, 2eg5q67ivbjr99ltdrvez9zbo, 3myrbf50fefc98vkxh3ggw82x, 27rdlepga8wdw4xj949y5vh05, 56eun8e4lpn74l3fqhasn7fqi, 5pzwqucy2dh371u2uc8iugul1, 1ql4mxhyvvp14meu36zbu0es5, 30mwaentr99qb99ce6y9o1p0p, 72rc6zija9e9d4ggx884dq7dh, cesfj7ea02i5bewyth29lpvro, 3d6o80x3c0kq6t2dvxzqrt8t1, a9piss5nrytn5tn83frlj02qd, 86hh9b5pqts5dbx3zhf6i1zx0, 94161is0x6f3s9kyrm2cxjf85",3932444435,197,8200,3932229669,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932256387,194,56eun8e4lpn74l3fqhasn7fqi,3932229665,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932229663,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488746547,1,34,16,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,0,0,2022-12-03T12:38:14.276Z,2022-12-03T13:59:24Z,3932255773,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932255761,30,"czmpp6e2oo276u9prac16le51, 4zwebuh423xgcroy4rmd5r3rp, aat1vixi4qu8bmxtw45maqytx, 6alny8atonddyhmltw3dgo1d5, 8aglulhb1aof871k1z7exuvo5, 3ypl97rrz80zb454kq039yuol, 17zgb1iogatltsw1spnvyuuol, 8gowfvsn9a69nyzppubue2d3p, 8f64tianoo4mc7t1lyz6acqtx, 89l4376fhyf32a6tdjou6zqw9, 6dmnxn0v7tcrwtd6hm2jaf6j9, 66cgzmlvygqqgb8vrv380c4bt, 3dftc6lswgfgb4xoju4xb2xg5, 7lt5as8r1xms7ujjgt7pynl5, djh9uya9vanxsyfgpt1rc4yqx, ccy7sflcnyiaf9c9j4c9p92ax, 40sizsfd9vaym7yvwpvohu415, 3qnkvefimj0i4kl78jucipnf9, bdsv3kql5t6sw5ed2gsxmz2eh, 6cs8qwc1exex8ik9w3nejnkyd",3932443989,197,8185,3932255763,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3932255767,130,8,3932255771,194,3ypl97rrz80zb454kq039yuol,3932255765,59,"16, 71, 13, 15, 8, 23, 11, 2, 10, 21, 18, 1, 7, 9, 12, 19, 22, 32, 33, 77",3932255769,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488780641,2,32,1,0,0,ca8pjvyb7hgttr1dalj2nguum,1,0,0,2022-12-03T13:33:00.665Z,2022-12-03T13:33:03Z,3932439485,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488780621,2,32,1,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,0,0,2022-12-03T13:33:00.665Z,2022-12-03T13:33:00Z,3932439369,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488780645,3,1,1,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,50,50,2022-12-03T13:33:00.765Z,2022-12-03T14:27:16Z,3932439491,141,60.2,3932439497,279,S,3932640665,189,,3932439487,56,Back,3932439493,212,14.5,3932439495,213,2.6,3932439489,140,37.9,,,,8f64tianoo4mc7t1lyz6acqtx,C. Girelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488780693,4,1,1,0,2,7w2y7s7q5r1h1flz9y4sj6xka,1,37.9,60.2,2022-12-03T13:33:03.453Z,2022-12-03T13:33:08Z,3932439785,141,87.2,3932439789,212,19.3,3932439791,213,1.9,3932439781,140,32.2,3932439777,56,Back,,,,,,,,,,8gowfvsn9a69nyzppubue2d3p,S. Junge Pedersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488780721,5,1,1,0,7,7w2y7s7q5r1h1flz9y4sj6xka,1,31.6,88.2,2022-12-03T13:33:07.934Z,2022-12-03T13:33:11Z,3932439951,212,30.1,3932439949,141,96.9,3932439945,56,Left,3932439947,140,59.7,3932439943,155,,3932439953,213,0.2,,,,,,,3ypl97rrz80zb454kq039yuol,C. Salvai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488780723,6,61,1,0,9,7w2y7s7q5r1h1flz9y4sj6xka,0,59.7,96.9,2022-12-03T13:33:09.717Z,2022-12-03T14:27:25Z,3932439965,56,Left,,,,,,,,,,,,,,,,,,,,,,6dmnxn0v7tcrwtd6hm2jaf6j9,L. Beerensteyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488780743,3,49,1,0,12,ca8pjvyb7hgttr1dalj2nguum,1,42.9,7.1,2022-12-03T13:33:13.563Z,2022-12-03T13:33:13Z,,,,,,,,,,,,,,,,,,,,,,,,,13e3434z48bduvnvyly0zg5w5,T. Bonetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488780759,4,1,1,0,13,ca8pjvyb7hgttr1dalj2nguum,1,42.9,7.1,2022-12-03T13:33:13.706Z,2022-12-03T13:33:15Z,3932440171,213,2.1,3932440169,212,21.8,3932440165,140,32.4,3932440163,56,Back,3932440167,141,34.8,,,,,,,,,,13e3434z48bduvnvyly0zg5w5,T. Bonetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
