id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/11/value,qualifier/9/value,qualifier/14/value,qualifier/13/value,assist,qualifier/8/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value
2471916379,1,34,16,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2022-10-15T11:40:46.109Z,2022-10-15T12:34:50Z,3843673955,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3843673945,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3843673953,194,9nc4igej6cflyxrihy20zd045,3843890571,197,14248,3843673947,59,"12, 6, 8, 18, 27, 24, 16, 21, 58, 9, 23, 1, 2, 4, 5, 10, 11, 14, 19, 22",3843673949,130,4,3843673943,30,"69ewfo1qoyc0xhk227754o9h, bimp62qt9yetz1mwz1z18ri7d, 69ij8unhyklcdc4d11u02v6y, 7asw3c7rhaqrmnc4kk7q0hp0p, 6vvrp3ijlo76d0oolobx1hgwl, 9nc4igej6cflyxrihy20zd045, dlk4qvpj8rn8jy2efhu4xn3yt, 3ycwiqwexrq74zjs6l2rj0dsl, d154hxm83w5x1m0ht905cgpg5, b80b2mxpxjcboqc81evm6oa2, e3mdwwn8drb7hsscyvj4u8pre, 6a4e840hagvde76wq00oitboq, dcabal76i5wlct77xl6jkyfv9, 8rc3h630i5cinvhyvziqdfpp1, 6l457lm38yflk2l01ho3kk48a, 9skgc5kozhnn4cp5fghmnwout, c9y25sxg24aripna871g8x9g4, 5snw4b4ndo6hus8hpxq9q19lh, 2kxbr1qwr4soew1kopzx7rswk, a1jt0xute9v4oazyt8dtq2kiy",3843673951,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471928569,1,34,16,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2022-10-15T11:55:24.536Z,2022-10-15T12:45:34Z,3843733829,30,"7o6r8tzrtw3820q5g8slo51w5, 51kuc7ba0zrbs82iok6sia76d, 7lx9lvt04ne2umnr922nbx68l, z76gqv9thd1553u6bf6akpyi, bbryvdwzavouhzf5d31kysvvu, 8gef0np3atw3ihedrd6b16g9h, 7hjudlzsedzdtoh1mujgqj3yt, 7fu77l8o1mi2fq8iqqirsu09h, 9bxqgoylhs3u0061ht1dr8t79, dhus1gg9t5tpqh3xxwrte9l1x, y1n01stf6l2bn9nw1l1qv7kk, a5ysq9fe13ges96z29omy3gmh, egz2k5rilem5eycz1blntm3v8, ewrcxn31z5uhgemq7bhbwvw89, d0od4dxuv7bywyzy3300rp27e, 6aybaux5k8c5xtzswmbljv1m1, gs962e9lu2x5y7pd6l0sodg4, azj2lf3vgk50yljiskhyidhxw, 4qzbgxsev4wibbvo4osmwb4r9",3843733831,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3843897105,197,16872,3843733833,59,"1, 11, 5, 18, 77, 73, 27, 6, 9, 17, 28, 4, 7, 12, 21, 24, 25, 37, 71",3843733837,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3843733839,194,9bxqgoylhs3u0061ht1dr8t79,3843733841,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3843733835,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471963087,2,32,1,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2022-10-15T12:32:18.960Z,2022-10-15T12:32:19Z,3843906633,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471963095,2,32,1,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2022-10-15T12:32:18.960Z,2022-10-15T12:32:20Z,3843906667,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471963125,3,1,1,0,0,7pm0maqtof5rdc3ksumasw55g,1,50,50.6,2022-10-15T12:32:19.060Z,2022-10-15T12:32:22Z,3843906811,279,S,3843906803,140,34.3,3843906809,213,3.0,3843906807,212,16.7,3843906801,56,Back,3843906805,141,54.4,,,,,,,9bxqgoylhs3u0061ht1dr8t79,V. Pirone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471963187,4,1,1,0,3,7pm0maqtof5rdc3ksumasw55g,1,33.9,56.3,2022-10-15T12:32:21.973Z,2022-10-15T12:32:26Z,3843907143,141,36.8,3843907147,213,4.2,3843907141,140,26.9,3843907145,212,15.2,3843907139,56,Back,,,,,,,,,,7fu77l8o1mi2fq8iqqirsu09h,A. Benoît,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471963207,5,1,1,0,7,7pm0maqtof5rdc3ksumasw55g,1,26.8,35.1,2022-10-15T12:32:26.085Z,2022-10-15T12:32:28Z,3843907291,212,28.0,3843907287,140,28.6,3843907293,213,1.5,3843907289,141,76.2,3843907285,56,Back,,,,,,,,,,bbryvdwzavouhzf5d31kysvvu,Giovana Maia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471963341,6,1,1,0,9,7pm0maqtof5rdc3ksumasw55g,0,28.9,71.9,2022-10-15T12:32:28.614Z,2022-10-15T12:32:38Z,3843907891,1,,3843907885,141,94.5,3843907879,155,,3843907881,56,Left,3843907883,140,69.3,3843907889,213,0.3,3843907887,212,45.1,,,,8gef0np3atw3ihedrd6b16g9h,D. Cox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471963349,3,49,1,0,15,8gw3pgcd0doivaul55q8na9lg,1,25.2,8,2022-10-15T12:32:34.314Z,2022-10-15T12:32:35Z,,,,,,,,,,,,,,,,,,,,,,,,,6vvrp3ijlo76d0oolobx1hgwl,D. Kravets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471963389,4,50,1,0,20,8gw3pgcd0doivaul55q8na9lg,1,22,4.7,2022-10-15T12:32:39.051Z,2022-10-15T12:32:44Z,3843908123,285,,3843908121,56,Back,3843908631,233,7,,,,,,,,,,,,,,,,6vvrp3ijlo76d0oolobx1hgwl,D. Kravets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
