id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2534463323,1,34,16,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,0,0,2023-04-16T11:45:37.128Z,2023-04-16T12:34:12Z,4194726421,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194934747,197,8185,4194726417,59,"16, 3, 13, 21, 32, 23, 77, 15, 10, 11, 18, 1, 2, 5, 6, 7, 9, 20, 33, 71",4194726423,194,45bi84zkhqhvgs9v3rtgj06ol,4194726419,130,4,4194726415,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4194726413,30,"czmpp6e2oo276u9prac16le51, 45bi84zkhqhvgs9v3rtgj06ol, aat1vixi4qu8bmxtw45maqytx, 89l4376fhyf32a6tdjou6zqw9, 3qnkvefimj0i4kl78jucipnf9, 3ypl97rrz80zb454kq039yuol, 6cs8qwc1exex8ik9w3nejnkyd, 6alny8atonddyhmltw3dgo1d5, 8f64tianoo4mc7t1lyz6acqtx, 17zgb1iogatltsw1spnvyuuol, 6dmnxn0v7tcrwtd6hm2jaf6j9, 66cgzmlvygqqgb8vrv380c4bt, 8gowfvsn9a69nyzppubue2d3p, 7um4xb0p8zr4o11lsyd9n0hqt, a2x1f8erwcvv2thkwj6am62nd, 3dftc6lswgfgb4xoju4xb2xg5, 7lt5as8r1xms7ujjgt7pynl5, 6epceurq8iss0r3wkr93jyfah, bdsv3kql5t6sw5ed2gsxmz2eh, 4zwebuh423xgcroy4rmd5r3rp",4194726425,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534463765,1,34,16,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2023-04-16T11:46:07.144Z,2023-04-16T12:48:18Z,4194728421,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4194728431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194728427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194938365,197,8188,4194728425,130,5,4194728429,194,72a3aetghls98os7onhc60vdh,4194728423,59,"24, 7, 4, 91, 5, 34, 10, 87, 15, 6, 20, 1, 8, 11, 16, 17, 19, 21, 33, 88",4194728419,30,"dib3fbzymcfivscevdlqks89h, 1rsv7xi31ffxqpjeaw76t1n8p, e4i408ibyt4r0n7znz46qllka, ccy7sflcnyiaf9c9j4c9p92ax, 72a3aetghls98os7onhc60vdh, dwmb9deiywwddo0bbnrgw2x91, cosxbigh37xkponybzlgrg0dl, 4zr1u1gdqagr6e53pnyruywut, e0sh07t0vl714r690gtghfnbp, cnvii81lylt9gcn9iox9lkvdh, e6yhuu5eu6qpk7gybytdtxqdx, 18ufr5nlyfnnzzbzmqo9ynis5, 1kmq43pxjjjacnrmcsw2dka1h, 7n5xycobojwgk6bq50o4ix0wl, 1d0us90tod393omtmaft90b11, 6mvj0jfbicvwt296r6wuqajca, 2va4upf5w45brysw8q9w22gkq, botcpxadt5i04s4p8prbd3dyi, 162dxb8xc7nwc04nhintw7dn9, 79abiotlhtb5edjedx8oqjysp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507427,2,32,1,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2023-04-16T12:33:10.679Z,2023-04-16T12:33:10Z,4194951049,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507431,2,32,1,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,0,0,2023-04-16T12:33:10.679Z,2023-04-16T12:33:12Z,4194951051,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507473,3,1,1,0,0,p2dsrpus5eckpz2h16svaour,1,49.9,50,2023-04-16T12:33:10.779Z,2023-04-16T12:33:14Z,4194951265,213,3.3,4194951257,56,Back,4194951261,141,46.9,4194951267,279,S,4194951259,140,33.2,4194951263,212,17.7,,,,,,,e0sh07t0vl714r690gtghfnbp,P. Hammarlund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507495,4,1,1,0,3,p2dsrpus5eckpz2h16svaour,1,33.2,43.4,2023-04-16T12:33:14.083Z,2023-04-16T12:33:16Z,4194951399,56,Back,4194951403,141,26.5,4194951407,213,4.1,4194951401,140,25.1,4194951405,212,14.3,,,,,,,,,,cnvii81lylt9gcn9iox9lkvdh,S. Breitner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507513,5,1,1,0,5,p2dsrpus5eckpz2h16svaour,1,25.1,25.4,2023-04-16T12:33:16.563Z,2023-04-16T12:33:17Z,4194951497,212,10.0,4194951493,140,34.5,4194951495,141,22.9,4194951491,56,Back,4194951499,213,6.1,,,,,,,,,,72a3aetghls98os7onhc60vdh,A. Tortelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507539,6,1,1,0,7,p2dsrpus5eckpz2h16svaour,1,33.4,22.7,2023-04-16T12:33:17.683Z,2023-04-16T12:33:19Z,4194951631,140,38.9,4194951635,212,13.2,4194951633,141,5.3,4194951629,56,Back,4194951637,213,5.2,,,,,,,,,,cnvii81lylt9gcn9iox9lkvdh,S. Breitner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507595,7,1,1,0,8,p2dsrpus5eckpz2h16svaour,1,35.6,5.3,2023-04-16T12:33:19.643Z,2023-04-16T13:21:59Z,4194951879,141,4.3,4194951875,56,Right,4194951881,212,24.4,4194951883,213,6.3,4194951877,140,58.8,,,,,,,,,,1rsv7xi31ffxqpjeaw76t1n8p,F. Cafferata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507661,8,1,1,0,13,p2dsrpus5eckpz2h16svaour,1,58,5,2023-04-16T12:33:23.843Z,2023-04-16T13:22:06Z,4194952205,56,Back,4194952213,213,3.2,4194952209,141,3.5,4194952207,140,33.9,4194952211,212,25.3,,,,,,,,,,cosxbigh37xkponybzlgrg0dl,M. Catena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
