id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/11/value,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2490060867,1,34,16,0,0,7jaarwfaeewpo3vnfvhc2c665,1,0,0,2022-12-10T12:34:58.086Z,2022-12-10T13:42:53Z,3939214863,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939214851,30,"1q1rzbagz0tikytlgql4667oq, ynp4teryxz8qxmby29s1muhh, 9ihxuqs1v194z96ytkbr6tot1, duqwuxyvts7b8y171m2zjgfe1, eb8kdhe0pwhhpvpfdmrlqqjth, b8g6l2yrz5zkx0z4cwqbtrm96, 3dhppw7le5km30lulvbpdxsrt, 8kyz2zkpdn0wdf1ybpmgd2ay1, 8m1zaxpia31zue120389es72t, 6deaavas7332takve0kva6bbp, 8xmxzyft6jgirmjmtokysv9at, 8hrg2luo5rmy9njl7a5xd6oyd, 2q342ep7xb1jln18nlz0m0vdh, 8vylda616yxfy53t66o4ua162, ervf1obeidpkqdbdnbqrgcp3o, 34wzrwrb4kbwo1iudvi32t9sl, 6c4yw57zmdchgqhb4uaybmklx, 7znpe1zzdhv7izxm0m0c2a6eh, 7uj1fxna6f1mtu0r4c3x5seeh, 28egj5kbmudnzoospmg1kqrkk",3939214859,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939333611,197,8196,3939214855,59,"1, 8, 2, 4, 32, 20, 21, 15, 26, 9, 6, 3, 7, 10, 16, 23, 27, 73, 77, 78",3939214853,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3939214857,130,10,3939214861,194,b8g6l2yrz5zkx0z4cwqbtrm96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490063539,1,34,16,0,0,acpt3r9i7hburdteruzc31u96,1,0,0,2022-12-10T12:39:52.729Z,2022-12-10T13:33:39Z,3939229501,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939334241,197,17509,3939229497,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939229493,59,"1, 4, 7, 11, 25, 6, 37, 12, 18, 9, 20, 3, 8, 10, 15, 17, 19, 22, 26, 32",3939229495,130,8,3939229499,194,8qywmb7vw14hygvzliislo1xx,3939229489,30,"6cazgi9vrmiy7pj7mspkmrnbp, 2nyteuqhg3tvltcdjmivfoyqx, 8qywmb7vw14hygvzliislo1xx, di3hdoveoiv3nwroamxgxd3o5, cobqvig9w519u0pu924u49045, 5zfwazpzlcnm9r7621wefv8ph, ad6p2jcex4poforoc5a2m42qd, 8sb5yv5enqvr8bemx86jxc2j9, 162sfvdvwcsap2r0v4clllqz9, yobsx8qzjrdt67z3vbzygd79, dms6dx6taz2d9wxcgqfk87lk9, 8kp0hm0mftts0lx42esqbxt5h, a6k8vha3qcugelyjo82monahh, 3f3c49bl4331k4nrrhvq6fu8l, 26cvxz862r0s1ckpehvsm1b6d, e14n0cktqewsx0a1q4kev326t, 2l1m95m3ub9ptm0f7no1ylxw5, av7gcm2jf4ahewdoefe6yxrrp, 5bsuoowi9tkilzmz6vp79n36d, a3q5iykho66l9yamfh83hn7x1",3939229491,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083305,2,32,1,0,0,acpt3r9i7hburdteruzc31u96,1,0,0,2022-12-10T13:30:24.558Z,2022-12-10T13:30:24Z,3939337633,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083307,2,32,1,0,0,7jaarwfaeewpo3vnfvhc2c665,1,0,0,2022-12-10T13:30:24.558Z,2022-12-10T13:30:26Z,3939337635,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083315,3,1,1,0,0,acpt3r9i7hburdteruzc31u96,1,50,50,2022-12-10T13:30:25.236Z,2022-12-10T14:19:33Z,3939337673,56,Back,3939337677,141,56.6,3939337679,212,13.2,3939337681,213,2.8,3939337675,140,38.2,3939337683,279,S,,,,,,,di3hdoveoiv3nwroamxgxd3o5,C. Grimshaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083325,4,1,1,0,3,acpt3r9i7hburdteruzc31u96,1,38.1,56.6,2022-12-10T13:30:28.203Z,2022-12-10T14:19:29Z,3939337707,140,36.6,3939337711,212,3.3,3939337713,213,4.2,3939337709,141,52.4,3939337705,56,Back,,,,,,,,,,8sb5yv5enqvr8bemx86jxc2j9,M. Mascarello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083337,5,1,1,0,4,acpt3r9i7hburdteruzc31u96,0,36.6,52.4,2022-12-10T13:30:29.548Z,2022-12-10T13:30:31Z,3939337775,212,45.0,3939337767,157,,3939337779,1,,3939337771,140,72.0,3939337769,56,Left,3939337777,213,0.6,3939337773,141,89.6,,,,cobqvig9w519u0pu924u49045,M. Mesjasz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083347,3,1,1,0,7,7jaarwfaeewpo3vnfvhc2c665,0,29.4,14.4,2022-12-10T13:30:32.102Z,2022-12-10T13:31:15Z,3939337841,141,2.8,3939337837,56,Back,3939337843,212,14.3,3939337845,213,5.7,3939337835,3,,3939337839,140,40.8,,,,,,,ynp4teryxz8qxmby29s1muhh,G. Pondini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083373,6,1,1,0,9,acpt3r9i7hburdteruzc31u96,1,53.3,96.9,2022-12-10T13:30:33.924Z,2022-12-10T13:30:37Z,3939337967,56,Back,3939337975,213,3.7,3939337971,141,76.3,3939337973,212,27.4,3939337969,140,30.9,,,,,,,,,,8qywmb7vw14hygvzliislo1xx,V. Bergamaschi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083391,7,1,1,0,13,acpt3r9i7hburdteruzc31u96,1,31.8,69.6,2022-12-10T13:30:37.724Z,2022-12-10T13:30:43Z,3939338049,141,88.4,3939338051,212,13.8,3939338045,56,Back,3939338053,213,1.2,3939338047,140,36.7,,,,,,,,,,5zfwazpzlcnm9r7621wefv8ph,L. Fusetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
