id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value
2524782773,1,34,16,0,0,acpt3r9i7hburdteruzc31u96,1,0,0,2023-03-26T11:43:32.297Z,2023-03-26T15:33:16Z,4124677075,59,"1, 4, 3, 17, 6, 5, 8, 11, 18, 7, 9, 10, 19, 20, 22, 25, 32, 41, 69, 43",4124677081,194,8qywmb7vw14hygvzliislo1xx,4124677079,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124677073,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4124677077,130,4,4124748151,197,8206,4124677083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124677071,30,"6cazgi9vrmiy7pj7mspkmrnbp, 2nyteuqhg3tvltcdjmivfoyqx, 8kp0hm0mftts0lx42esqbxt5h, e14n0cktqewsx0a1q4kev326t, 5zfwazpzlcnm9r7621wefv8ph, 1euxm106eodeidsr5gor1kbmd, a6k8vha3qcugelyjo82monahh, di3hdoveoiv3nwroamxgxd3o5, 162sfvdvwcsap2r0v4clllqz9, 8qywmb7vw14hygvzliislo1xx, yobsx8qzjrdt67z3vbzygd79, 3f3c49bl4331k4nrrhvq6fu8l, 2l1m95m3ub9ptm0f7no1ylxw5, dms6dx6taz2d9wxcgqfk87lk9, av7gcm2jf4ahewdoefe6yxrrp, cobqvig9w519u0pu924u49045, a3q5iykho66l9yamfh83hn7x1, f2tdaqxmkgmw3jkf4e71xybys, eps1e3sedewu4dfqnpbrpyuxg, 5oea2b92jq4ll7ubl0l533bx0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524784809,1,34,16,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2023-03-26T11:50:12.668Z,2023-03-26T12:37:34Z,4124687481,30,"dib3fbzymcfivscevdlqks89h, 1rsv7xi31ffxqpjeaw76t1n8p, adixpvw9dh994g3pcxqp4aimt, botcpxadt5i04s4p8prbd3dyi, 72a3aetghls98os7onhc60vdh, dwmb9deiywwddo0bbnrgw2x91, 4zr1u1gdqagr6e53pnyruywut, 79abiotlhtb5edjedx8oqjysp, 2va4upf5w45brysw8q9w22gkq, 7n5xycobojwgk6bq50o4ix0wl, e6yhuu5eu6qpk7gybytdtxqdx, 18ufr5nlyfnnzzbzmqo9ynis5, e4i408ibyt4r0n7znz46qllka, cnvii81lylt9gcn9iox9lkvdh, cosxbigh37xkponybzlgrg0dl, e0sh07t0vl714r690gtghfnbp, 1d0us90tod393omtmaft90b11, 6mvj0jfbicvwt296r6wuqajca, 162dxb8xc7nwc04nhintw7dn9, 3ym9jjnellqfvf2lg88vi0atx",4124687491,194,72a3aetghls98os7onhc60vdh,4124687493,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124687487,130,4,4124687483,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4124751851,197,8189,4124687485,59,"24, 7, 27, 21, 5, 34, 87, 88, 19, 11, 20, 1, 4, 6, 10, 15, 16, 17, 33, 55",4124687489,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524798295,2,32,1,0,0,acpt3r9i7hburdteruzc31u96,1,0,0,2023-03-26T12:30:33.225Z,2023-03-26T12:30:36Z,4124754419,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524798293,2,32,1,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2023-03-26T12:30:33.225Z,2023-03-26T12:30:33Z,4124754417,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524798309,3,1,1,0,1,acpt3r9i7hburdteruzc31u96,1,50.1,49.7,2023-03-26T12:30:34.367Z,2023-03-26T12:30:50Z,4124754837,279,S,4124754471,56,Back,4124754475,141,48.5,4124754479,213,3.2,4124754477,212,19.9,4124754473,140,31.2,,,,,,,8qywmb7vw14hygvzliislo1xx,V. Bergamaschi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524798329,4,1,1,0,3,acpt3r9i7hburdteruzc31u96,0,31.1,43.3,2023-03-26T12:30:37.007Z,2023-03-26T12:31:19Z,4124754587,157,,4124754595,140,97.6,4124754601,141,59.4,4124754605,213,0.2,4124754591,56,Center,4124754603,212,70.7,4124754607,1,,,,,1euxm106eodeidsr5gor1kbmd,A. Nouwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524798337,3,52,1,0,8,p2dsrpus5eckpz2h16svaour,1,3.4,34.9,2023-03-26T12:30:41.709Z,2023-03-26T12:30:41Z,,,,,,,,,,,,,,,,,,,,,,,,,dib3fbzymcfivscevdlqks89h,R. Baldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524798377,4,1,1,0,11,p2dsrpus5eckpz2h16svaour,1,8.7,45.1,2023-03-26T12:30:44.858Z,2023-03-26T12:30:51Z,4124754869,213,0.9,4124754865,141,64.0,4124754859,123,,4124754861,56,Back,4124754867,212,17.1,4124754863,140,19.4,,,,,,,dib3fbzymcfivscevdlqks89h,R. Baldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524798399,5,1,1,0,18,p2dsrpus5eckpz2h16svaour,1,19.5,56.6,2023-03-26T12:30:51.241Z,2023-03-26T12:30:54Z,4124754985,212,15.0,4124754987,213,4.6,4124754983,141,34.6,4124754981,140,18.3,4124754979,56,Back,,,,,,,,,,dwmb9deiywwddo0bbnrgw2x91,L. Agard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524798439,6,1,1,0,21,p2dsrpus5eckpz2h16svaour,1,21.6,32.8,2023-03-26T12:30:54.729Z,2023-03-26T12:30:59Z,4124755199,56,Back,4124755207,141,36.3,4124755203,140,31.5,4124755211,212,10.7,4124755217,213,0.2,,,,,,,,,,72a3aetghls98os7onhc60vdh,A. Tortelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
