id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/17/value,assist
2551533285,1,34,16,0,0,ca8pjvyb7hgttr1dalj2nguum,1,0,0,2023-05-20T11:50:01.927Z,2023-05-20T12:27:58Z,4292561735,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292684797,197,8201,4292561727,59,"22, 25, 13, 17, 29, 2, 18, 15, 11, 9, 5, 6, 12, 14, 19, 20, 27, 31, 34, 35",4292561729,130,12,4292561731,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292561723,30,"6clgafy8vlbq6qw2ofptwkwd1, 7q0ltszzjzk7nlvvxjbagmggl, 72rc6zija9e9d4ggx884dq7dh, bqf3am2yut3ymts5kgvsrku7d, b6e5e8znxa7u9qhtxtwflxgwl, 496otta0vz8p7eackdpfod68l, 56eun8e4lpn74l3fqhasn7fqi, axaxgyogf8yiz24u9mafg197t, 30mwaentr99qb99ce6y9o1p0p, 3myrbf50fefc98vkxh3ggw82x, 27rdlepga8wdw4xj949y5vh05, c5s6l4u9gjdv3ce5rc0we8sx6, bohrvdzf1oep0vhdmiz1rj2z9, 48rypey85a23z9ht4k5skw8b8, 3d6o80x3c0kq6t2dvxzqrt8t1, a9piss5nrytn5tn83frlj02qd, 3xk25f9db4datnc3pzfb8e85x, 3fijom7mapqjul0ieluet6eol, 2eg5q67ivbjr99ltdrvez9zbo, wfje6qr76i6p8bf1n5e2zspg",4292561725,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4292561733,194,56eun8e4lpn74l3fqhasn7fqi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551537779,1,34,16,0,0,5snsl2d1lu2oclbriztdy61d6,1,0,0,2023-05-20T11:58:42.747Z,2023-05-20T12:35:46Z,4292585985,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292585979,130,8,4292585977,59,"12, 13, 3, 10, 23, 32, 15, 14, 9, 7, 11, 2, 5, 6, 16, 18, 20, 22, 27, 87",4292585973,30,"ax9lyewa6alv4v3btpwlm4pn9, 72mtf2acxf523gwm13zq5jvth, 1my1q5jn165pnwue7jzoip756, 31myx78t8pvy886l3g8tsmrit, 8z970w0wmh524aliuxnze5l91, 19cmbo4cc9cgh10wgotg3s0k5, 4ghj3cp5v817497z1l8k1vw0l, 5t9mthxv6kthq6tnntv5q4fdh, e0254ysu7nwqiuku9szuf9wph, 5et546tgrpw51ep3kfbzdyx1x, 47n7enqd3bfy0gawlth0a4mhh, f98n454u9g97ngyluh0rd4ut, du2oxcctxwk3tpg0imbctjcut, 7ba612p8pdv2fhz19u32js251, a8jqw3uon5yv03m2nvkklnpat, 28y2auuxfuxvvbbds3bwtlskp, 978grivb05fx65k9zg3g0czxl, 2nqlq23w7g732ttrbnt2u2s4p, 5x729t5j2ldmq4fmlgj1my191, 56hfbfzl1bvpdlb8da5wc9vpx",4292585981,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292585975,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4292585983,194,72mtf2acxf523gwm13zq5jvth,4292684605,197,8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551561299,3,32,1,0,0,ca8pjvyb7hgttr1dalj2nguum,1,0,0,2023-05-20T12:33:09.245Z,2023-05-20T12:33:11Z,4292698037,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551561285,3,32,1,0,0,5snsl2d1lu2oclbriztdy61d6,1,0,0,2023-05-20T12:33:09.245Z,2023-05-20T12:33:09Z,4292697979,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551561317,4,1,1,0,0,5snsl2d1lu2oclbriztdy61d6,1,49.9,50,2023-05-20T12:33:09.345Z,2023-05-20T12:33:11Z,4292698105,141,45.2,4292698101,56,Back,4292698103,140,34.4,4292698109,213,3.3,4292698111,279,S,4292698107,212,16.6,,,,,,,e0254ysu7nwqiuku9szuf9wph,V. Giacinti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551561345,5,1,1,0,2,5snsl2d1lu2oclbriztdy61d6,1,34.4,45.2,2023-05-20T12:33:11.394Z,2023-05-20T12:33:16Z,4292698223,141,35.8,4292698219,56,Back,4292698221,140,22.3,4292698227,213,3.6,4292698225,212,14.2,,,,,,,,,,31myx78t8pvy886l3g8tsmrit,M. Giugliano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551561371,6,1,1,0,7,5snsl2d1lu2oclbriztdy61d6,1,27.4,35.1,2023-05-20T12:33:16.369Z,2023-05-20T12:33:17Z,4292698317,213,6.1,4292698313,141,27.3,4292698315,212,26.0,4292698311,140,51.6,4292698309,56,Center,,,,,,,,,,8z970w0wmh524aliuxnze5l91,C. Wenninger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551561377,7,1,1,0,8,5snsl2d1lu2oclbriztdy61d6,0,51.6,27.3,2023-05-20T12:33:17.746Z,2023-05-20T12:33:19Z,4292698333,212,7.2,4292698383,156,,4292698329,140,51.4,4292698327,56,Center,4292698331,141,37.9,4292698335,213,1.6,,,,,,,5et546tgrpw51ep3kfbzdyx1x,Andressa Alves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551561407,4,49,1,0,13,ca8pjvyb7hgttr1dalj2nguum,1,47.7,75,2023-05-20T12:33:22.747Z,2023-05-20T12:33:22Z,,,,,,,,,,,,,,,,,,,,,,,,,27rdlepga8wdw4xj949y5vh05,G. Karchouni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551561429,5,1,1,0,13,ca8pjvyb7hgttr1dalj2nguum,1,47.7,75,2023-05-20T12:33:22.890Z,2023-05-20T12:33:24Z,4292698567,140,65.0,4292698569,141,79.1,4292698573,213,0.2,4292698571,212,18.4,4292698565,56,Left,,,,,,,,,,27rdlepga8wdw4xj949y5vh05,G. Karchouni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
