id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/15/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2465096277,1,34,16,0,0,ca8pjvyb7hgttr1dalj2nguum,1,0,0,2022-09-30T16:20:29.839Z,2022-09-30T17:02:01Z,3807262837,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3807265107,194,72rc6zija9e9d4ggx884dq7dh,3807299895,197,14652,3807262831,59,"22, 2, 13, 34, 3, 29, 5, 6, 10, 9, 33, 7, 8, 12, 14, 17, 18, 19, 20, 27",3807262833,130,4,3807262829,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3807262835,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3807262827,30,"6clgafy8vlbq6qw2ofptwkwd1, 496otta0vz8p7eackdpfod68l, 72rc6zija9e9d4ggx884dq7dh, 2eg5q67ivbjr99ltdrvez9zbo, 3izcnjpqeumq1mjfy1osc3qhh, b6e5e8znxa7u9qhtxtwflxgwl, 27rdlepga8wdw4xj949y5vh05, c5s6l4u9gjdv3ce5rc0we8sx6, 13e3434z48bduvnvyly0zg5w5, 3myrbf50fefc98vkxh3ggw82x, 94161is0x6f3s9kyrm2cxjf85, 5pzwqucy2dh371u2uc8iugul1, 1ql4mxhyvvp14meu36zbu0es5, bohrvdzf1oep0vhdmiz1rj2z9, 48rypey85a23z9ht4k5skw8b8, bqf3am2yut3ymts5kgvsrku7d, 56eun8e4lpn74l3fqhasn7fqi, 3d6o80x3c0kq6t2dvxzqrt8t1, a9piss5nrytn5tn83frlj02qd, 3xk25f9db4datnc3pzfb8e85x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465096599,1,34,16,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2022-09-30T16:25:10.481Z,2022-09-30T16:57:35Z,3807299819,197,14248,3807264781,194,9nc4igej6cflyxrihy20zd045,3807264783,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3807264779,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3807264777,130,4,3807264773,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3807264771,30,"69ewfo1qoyc0xhk227754o9h, bimp62qt9yetz1mwz1z18ri7d, 69ij8unhyklcdc4d11u02v6y, dlk4qvpj8rn8jy2efhu4xn3yt, 9nc4igej6cflyxrihy20zd045, dcabal76i5wlct77xl6jkyfv9, 7asw3c7rhaqrmnc4kk7q0hp0p, 3ycwiqwexrq74zjs6l2rj0dsl, 2kxbr1qwr4soew1kopzx7rswk, b80b2mxpxjcboqc81evm6oa2, e3mdwwn8drb7hsscyvj4u8pre, 6a4e840hagvde76wq00oitboq, 6f4viy7wqtr4zcgtdxa5884id, 8rc3h630i5cinvhyvziqdfpp1, 6l457lm38yflk2l01ho3kk48a, 9skgc5kozhnn4cp5fghmnwout, c9y25sxg24aripna871g8x9g4, 5snw4b4ndo6hus8hpxq9q19lh, a1jt0xute9v4oazyt8dtq2kiy, d154hxm83w5x1m0ht905cgpg5",3807264775,59,"12, 6, 8, 16, 24, 2, 18, 21, 19, 9, 23, 1, 3, 4, 5, 10, 11, 14, 22, 58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465104795,2,32,1,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2022-09-30T17:01:24.103Z,2022-09-30T17:01:24Z,3807303745,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465104801,3,32,1,0,0,ca8pjvyb7hgttr1dalj2nguum,1,0,0,2022-09-30T17:01:24.103Z,2022-09-30T17:01:25Z,3807303753,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465104809,3,1,1,0,0,8gw3pgcd0doivaul55q8na9lg,1,50,50,2022-09-30T17:01:24.203Z,2022-09-30T17:01:27Z,3807303775,140,35.5,3807303773,56,Back,3807303777,141,49.8,3807303783,279,S,3807303781,213,3.2,3807303779,212,15.2,,,,,,,2kxbr1qwr4soew1kopzx7rswk,G. Di Luzio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465104819,4,1,1,0,2,8gw3pgcd0doivaul55q8na9lg,1,36.1,51,2022-09-30T17:01:27.101Z,2022-09-30T17:01:30Z,3807303815,212,18.3,3807303817,213,2.4,3807303809,56,Back,3807303813,141,68.9,3807303811,140,23.1,,,,,,,,,,7asw3c7rhaqrmnc4kk7q0hp0p,A. Hilaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465104823,5,1,1,0,6,8gw3pgcd0doivaul55q8na9lg,1,24.4,65.8,2022-09-30T17:01:30.733Z,2022-09-30T17:01:33Z,3807303865,213,4.7,3807303861,141,35.1,3807303863,212,20.9,3807303859,140,23.7,3807303857,56,Back,,,,,,,,,,dcabal76i5wlct77xl6jkyfv9,E. Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465104835,6,1,1,0,9,8gw3pgcd0doivaul55q8na9lg,1,27.1,34.8,2022-09-30T17:01:33.245Z,2022-09-30T17:01:36Z,3807303917,1,,3807303905,155,,3807303915,213,6.2,3807303909,140,61.1,3807303913,212,35.8,3807303911,141,31.6,3807303907,56,Center,,,,9nc4igej6cflyxrihy20zd045,G. Rizzon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465104845,7,1,1,0,12,8gw3pgcd0doivaul55q8na9lg,0,61.1,31.6,2022-09-30T17:01:36.333Z,2022-09-30T17:01:38Z,3807303961,213,2.5,3807303959,212,7.3,3807303953,56,Center,3807303957,141,37.9,3807303955,140,55.5,,,,,,,,,,2kxbr1qwr4soew1kopzx7rswk,G. Di Luzio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465104841,4,1,1,0,12,ca8pjvyb7hgttr1dalj2nguum,0,36.5,67.5,2022-09-30T17:01:36.589Z,2022-09-30T17:01:37Z,3807303933,141,73.9,3807303931,140,37.8,3807303937,213,1.3,3807303935,212,4.6,3807303929,56,Back,,,,,,,,,,2eg5q67ivbjr99ltdrvez9zbo,M. Mihashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
