id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/13/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value
2501888041,1,34,16,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,0,0,2023-01-29T10:44:36.203Z,2023-01-29T11:31:57Z,4001598965,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001598963,194,45bi84zkhqhvgs9v3rtgj06ol,4001598961,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001598955,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4001598953,30,"66cgzmlvygqqgb8vrv380c4bt, 4zwebuh423xgcroy4rmd5r3rp, aat1vixi4qu8bmxtw45maqytx, 8aglulhb1aof871k1z7exuvo5, 3qnkvefimj0i4kl78jucipnf9, 45bi84zkhqhvgs9v3rtgj06ol, 89l4376fhyf32a6tdjou6zqw9, 8gowfvsn9a69nyzppubue2d3p, 8f64tianoo4mc7t1lyz6acqtx, 7lt5as8r1xms7ujjgt7pynl5, 6dmnxn0v7tcrwtd6hm2jaf6j9, a2x1f8erwcvv2thkwj6am62nd, 3dftc6lswgfgb4xoju4xb2xg5, djh9uya9vanxsyfgpt1rc4yqx, 6alny8atonddyhmltw3dgo1d5, 40sizsfd9vaym7yvwpvohu415, 3ypl97rrz80zb454kq039yuol, bbj1pmjfr5q4u99zyqpgmexas, bdsv3kql5t6sw5ed2gsxmz2eh, 2olepm49g7zzyez2o3kgw7gtl",4001598957,59,"1, 71, 13, 8, 32, 3, 21, 2, 10, 9, 18, 6, 7, 12, 15, 22, 23, 29, 33, 38",4001598959,130,8,4001693105,197,17118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501889955,1,34,16,0,0,agjf3593kdfob1fl43rlt2b6c,1,0,0,2023-01-29T10:49:36.038Z,2023-01-29T11:40:14Z,4001608065,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4001608063,30,"1hvfc11oxddf7hxxks4skxw45, c8v0somzpm3hv3vvg4t85hjl6, s7husj5h842pazt5crezfbe2, 4hr92u2mkgds9ojm844xgag9h, 9nj8et8a0rk6ay19vk84uawh5, 6e1lpunbwloydldryrn6q3iz9, 3d41rsjci700mhl9rxdtuicmi, 7rkobukrhcx0h6t3p1ux2bl78, horxq0sb7c6929i7mc6ctuqd, 9q6mpd436ukjidbbj6onmti0a, 4xzg2jjtxvjoic1c8ohzsumdx, ej5p7l0mua55bqhzjbybejwet, 20pat26jlgjcvstrte9jbltrd, 4jwotvqswss201ptdipai5rkl, cths31lj27lsmyp2fs166qtjo, cczk9xb3xmteym84wujrwt0yc, efjrhuhhm4zy4vrzekxlu4h9m, 9fplrvcgiwmkq6patjbofpqp6, eamiu4oem93j41zqdsv9uk4b9, 4ep088nmp1dcqzx06pilyfyi2",4001608067,59,"12, 14, 67, 21, 44, 23, 37, 40, 27, 19, 8, 1, 2, 7, 9, 13, 15, 17, 20, 77",4001608075,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001608069,130,23,4001608073,194,horxq0sb7c6929i7mc6ctuqd,4001608071,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001689247,197,12023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501907263,2,32,1,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,0,0,2023-01-29T11:34:16.461Z,2023-01-29T11:34:19Z,4001700489,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501907253,2,32,1,0,0,agjf3593kdfob1fl43rlt2b6c,1,0,0,2023-01-29T11:34:16.461Z,2023-01-29T11:34:16Z,4001700439,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501907275,3,1,1,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,49.7,50.3,2023-01-29T11:34:16.561Z,2023-01-29T11:57:04Z,4001700547,56,Back,4001700549,140,34.8,4001700557,212,16.4,4001700561,213,2.8,4001700563,279,S,4001700553,141,57.3,,,,,,,8f64tianoo4mc7t1lyz6acqtx,C. Girelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501907339,4,1,1,0,3,7w2y7s7q5r1h1flz9y4sj6xka,1,35.6,55.4,2023-01-29T11:34:20.139Z,2023-01-29T12:33:53Z,4001700961,141,15.0,4001700963,212,29.6,4001700959,140,25.1,4001700965,213,4.3,4001700957,56,Back,,,,,,,,,,89l4376fhyf32a6tdjou6zqw9,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501907385,5,1,1,0,8,7w2y7s7q5r1h1flz9y4sj6xka,1,26.3,14.1,2023-01-29T11:34:24.823Z,2023-01-29T11:34:28Z,4001701213,56,Back,4001701215,140,25.4,4001701221,213,1.6,4001701219,212,24.6,4001701217,141,50.2,,,,,,,,,,45bi84zkhqhvgs9v3rtgj06ol,S. Gama,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501907417,6,1,1,0,11,7w2y7s7q5r1h1flz9y4sj6xka,1,26.5,53,2023-01-29T11:34:28.163Z,2023-01-29T11:34:31Z,4001701389,212,28.8,4001701391,213,1.3,4001701385,141,94.0,4001701381,140,33.3,4001701377,56,Back,,,,,,,,,,3qnkvefimj0i4kl78jucipnf9,L. Sembrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501907443,7,1,1,0,12,7w2y7s7q5r1h1flz9y4sj6xka,1,36.5,96.1,2023-01-29T11:34:28.574Z,2023-01-29T12:35:23Z,4001701533,56,Left,4001701535,140,59.4,4001701541,213,0.0,4001701537,141,97.3,4001701539,212,24.1,,,,,,,,,,8aglulhb1aof871k1z7exuvo5,M. Rosucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501907475,8,1,1,0,14,7w2y7s7q5r1h1flz9y4sj6xka,1,61.5,98.1,2023-01-29T11:34:31.319Z,2023-01-29T12:35:27Z,4001701699,213,3.4,4001701697,212,20.8,4001701691,56,Back,4001701693,140,42.2,4001701695,141,90.9,,,,,,,,,,aat1vixi4qu8bmxtw45maqytx,L. Boattin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
