id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2536945591,1,34,16,0,0,5snsl2d1lu2oclbriztdy61d6,1,0,0,2023-04-22T11:38:53.531Z,2023-04-22T12:36:42Z,4207883735,194,72mtf2acxf523gwm13zq5jvth,4207883729,59,"12, 3, 13, 10, 23, 32, 18, 20, 7, 9, 11, 2, 5, 6, 15, 16, 22, 27, 33, 87",4207883725,30,"ax9lyewa6alv4v3btpwlm4pn9, 1my1q5jn165pnwue7jzoip756, 72mtf2acxf523gwm13zq5jvth, 31myx78t8pvy886l3g8tsmrit, 8z970w0wmh524aliuxnze5l91, 19cmbo4cc9cgh10wgotg3s0k5, 28y2auuxfuxvvbbds3bwtlskp, 978grivb05fx65k9zg3g0czxl, 5et546tgrpw51ep3kfbzdyx1x, e0254ysu7nwqiuku9szuf9wph, 47n7enqd3bfy0gawlth0a4mhh, f98n454u9g97ngyluh0rd4ut, du2oxcctxwk3tpg0imbctjcut, 7ba612p8pdv2fhz19u32js251, 4ghj3cp5v817497z1l8k1vw0l, a8jqw3uon5yv03m2nvkklnpat, 2nqlq23w7g732ttrbnt2u2s4p, 5x729t5j2ldmq4fmlgj1my191, a2b4op7l073rehwbpbfy0sis4, 56hfbfzl1bvpdlb8da5wc9vpx",4208076681,197,8197,4207883737,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207883733,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207883727,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4207883731,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536949343,1,34,16,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,0,0,2023-04-22T11:43:41.701Z,2023-04-22T12:35:43Z,4207902175,130,4,4207902181,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207902169,30,"czmpp6e2oo276u9prac16le51, 45bi84zkhqhvgs9v3rtgj06ol, aat1vixi4qu8bmxtw45maqytx, 6alny8atonddyhmltw3dgo1d5, 4zwebuh423xgcroy4rmd5r3rp, 3ypl97rrz80zb454kq039yuol, 89l4376fhyf32a6tdjou6zqw9, 6cs8qwc1exex8ik9w3nejnkyd, a2x1f8erwcvv2thkwj6am62nd, 17zgb1iogatltsw1spnvyuuol, 6dmnxn0v7tcrwtd6hm2jaf6j9, 66cgzmlvygqqgb8vrv380c4bt, 8gowfvsn9a69nyzppubue2d3p, 7um4xb0p8zr4o11lsyd9n0hqt, 3dftc6lswgfgb4xoju4xb2xg5, 7lt5as8r1xms7ujjgt7pynl5, 8f64tianoo4mc7t1lyz6acqtx, 6epceurq8iss0r3wkr93jyfah, 3qnkvefimj0i4kl78jucipnf9, bdsv3kql5t6sw5ed2gsxmz2eh",4207902179,194,45bi84zkhqhvgs9v3rtgj06ol,4207902177,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207902171,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4207902173,59,"16, 3, 13, 15, 71, 23, 21, 77, 6, 11, 18, 1, 2, 5, 7, 9, 10, 20, 32, 33",4208075917,197,8185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536986151,2,32,1,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,0,0,2023-04-22T12:32:13.034Z,2023-04-22T12:32:15Z,4208090571,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536986137,2,32,1,0,0,5snsl2d1lu2oclbriztdy61d6,1,0,0,2023-04-22T12:32:13.034Z,2023-04-22T12:32:13Z,4208090515,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536986171,3,1,1,0,0,5snsl2d1lu2oclbriztdy61d6,1,49.8,49.7,2023-04-22T12:32:13.134Z,2023-04-22T12:32:15Z,4208090675,279,S,4208090667,140,36.0,4208090665,56,Back,4208090673,213,3.0,4208090671,212,14.6,4208090669,141,52.5,,,,,,,e0254ysu7nwqiuku9szuf9wph,V. Giacinti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536986227,4,1,1,0,2,5snsl2d1lu2oclbriztdy61d6,1,36.2,52.4,2023-04-22T12:32:15.509Z,2023-04-22T12:32:18Z,4208090861,141,24.3,4208090863,212,25.3,4208090857,56,Back,4208090859,140,20.4,4208090865,213,4.0,,,,,,,,,,31myx78t8pvy886l3g8tsmrit,M. Giugliano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536986347,5,1,1,0,5,5snsl2d1lu2oclbriztdy61d6,1,23.7,28.5,2023-04-22T12:32:18.149Z,2023-04-22T12:32:24Z,4208091469,213,1.5,4208091463,140,24.9,4208091461,56,Back,4208091465,141,60.5,4208091467,212,21.8,,,,,,,,,,8z970w0wmh524aliuxnze5l91,C. Wenninger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536986365,6,1,1,0,11,5snsl2d1lu2oclbriztdy61d6,1,29.8,72.7,2023-04-22T12:32:24.053Z,2023-04-22T12:32:26Z,4208091613,213,1.2,4208091611,212,13.5,4208091605,140,34.9,4208091603,56,Back,4208091609,141,90.9,,,,,,,,,,19cmbo4cc9cgh10wgotg3s0k5,E. Linari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536986383,7,1,1,0,12,5snsl2d1lu2oclbriztdy61d6,1,37,91.2,2023-04-22T12:32:25.989Z,2023-04-22T12:32:27Z,4208091715,141,96.3,4208091719,213,0.2,4208091717,212,18.1,4208091711,56,Left,4208091713,140,53.9,,,,,,,,,,1my1q5jn165pnwue7jzoip756,L. Di Guglielmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536986401,8,1,1,0,14,5snsl2d1lu2oclbriztdy61d6,1,53.9,96.5,2023-04-22T12:32:27.829Z,2023-04-22T12:32:29Z,4208091833,56,Back,4208091841,213,3.1,4208091837,141,97.2,4208091839,212,13.6,4208091835,140,41.0,,,,,,,,,,47n7enqd3bfy0gawlth0a4mhh,E. Haavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
