id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value
2490297473,1,34,16,0,0,agjf3593kdfob1fl43rlt2b6c,1,0,0,2022-12-11T10:45:07.624Z,2022-12-11T11:27:50Z,3940468159,30,"ej5p7l0mua55bqhzjbybejwet, c8v0somzpm3hv3vvg4t85hjl6, 23l4wxjftfctry8qgxh71zhm1, 4hr92u2mkgds9ojm844xgag9h, 9nj8et8a0rk6ay19vk84uawh5, 9m7xcfi5h3tshdrsckkausm39, eamiu4oem93j41zqdsv9uk4b9, cv7zl2omdyscmzg77ac8nic45, cczk9xb3xmteym84wujrwt0yc, 6bxufdsghl0f3r4jilcbo26eh, 7rkobukrhcx0h6t3p1ux2bl78, 20pat26jlgjcvstrte9jbltrd, 4xzg2jjtxvjoic1c8ohzsumdx, 1hvfc11oxddf7hxxks4skxw45, efjrhuhhm4zy4vrzekxlu4h9m, 6e1lpunbwloydldryrn6q3iz9, horxq0sb7c6929i7mc6ctuqd, 6sljs1wh2o8jd8j3rehix8bo4, s7husj5h842pazt5crezfbe2, 4ep088nmp1dcqzx06pilyfyi2",3940468161,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3940468167,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940468163,59,"1, 14, 22, 21, 44, 5, 20, 10, 13, 24, 40, 2, 8, 12, 15, 23, 27, 28, 67, 77",3940468165,130,23,3940519413,197,12022,3940468169,194,9m7xcfi5h3tshdrsckkausm39,3940468171,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490298637,1,34,16,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2022-12-11T10:52:27.383Z,2022-12-11T12:46:57Z,3940519399,197,17520,3940475073,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940475059,30,"6a4e840hagvde76wq00oitboq, 5snw4b4ndo6hus8hpxq9q19lh, 69ij8unhyklcdc4d11u02v6y, 7asw3c7rhaqrmnc4kk7q0hp0p, 9nc4igej6cflyxrihy20zd045, dcabal76i5wlct77xl6jkyfv9, dlk4qvpj8rn8jy2efhu4xn3yt, 3ycwiqwexrq74zjs6l2rj0dsl, d154hxm83w5x1m0ht905cgpg5, b80b2mxpxjcboqc81evm6oa2, e3mdwwn8drb7hsscyvj4u8pre, 6f4viy7wqtr4zcgtdxa5884id, 8rc3h630i5cinvhyvziqdfpp1, 6l457lm38yflk2l01ho3kk48a, 9skgc5kozhnn4cp5fghmnwout, c9y25sxg24aripna871g8x9g4, 69ewfo1qoyc0xhk227754o9h, 4xrmadnzalp8ye95ia4fye39w, 2kxbr1qwr4soew1kopzx7rswk, a1jt0xute9v4oazyt8dtq2kiy",3940475061,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3940475067,130,4,3940475065,59,"1, 14, 8, 18, 24, 2, 16, 21, 58, 9, 23, 3, 4, 5, 10, 11, 12, 15, 19, 22",3940475069,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940475071,194,9nc4igej6cflyxrihy20zd045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490308019,2,32,1,0,0,agjf3593kdfob1fl43rlt2b6c,1,0,0,2022-12-11T11:30:44.442Z,2022-12-11T11:30:45Z,3940524995,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490308013,2,32,1,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2022-12-11T11:30:44.442Z,2022-12-11T11:30:44Z,3940524975,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490308053,3,1,1,0,0,8gw3pgcd0doivaul55q8na9lg,1,50.1,50,2022-12-11T11:30:44.542Z,2022-12-11T11:30:48Z,3940525207,279,S,3940525203,212,28.8,3940525197,56,Back,3940525205,213,2.8,3940525201,141,63.0,3940525199,140,24.0,,,,,,,d154hxm83w5x1m0ht905cgpg5,V. Kubassova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490308079,4,1,1,0,4,8gw3pgcd0doivaul55q8na9lg,1,24.2,62.9,2022-12-11T11:30:48.862Z,2022-12-11T11:31:00Z,3940525349,141,87.1,3940525345,56,Back,3940525353,213,0.8,3940525347,140,38.5,3940525351,212,22.3,,,,,,,,,,dcabal76i5wlct77xl6jkyfv9,E. Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490308093,5,1,1,0,8,8gw3pgcd0doivaul55q8na9lg,0,40.1,86.9,2022-12-11T11:30:52.958Z,2022-12-11T11:30:54Z,3940525409,56,Left,3940525413,141,81.2,3940525417,213,6.1,3940525411,140,66.6,3940525415,212,28.1,,,,,,,,,,69ij8unhyklcdc4d11u02v6y,Joyce Borini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490308115,3,1,1,0,10,agjf3593kdfob1fl43rlt2b6c,0,30.6,21.5,2022-12-11T11:30:54.805Z,2022-12-11T11:30:57Z,3940525551,56,Right,3940525555,141,10.6,3940525549,157,,3940525559,213,6.1,3940525561,1,,3940525557,212,46.8,3940525553,140,74.6,,,,9nj8et8a0rk6ay19vk84uawh5,T. Pettenuzzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490308157,6,1,1,0,17,8gw3pgcd0doivaul55q8na9lg,1,19.2,91.1,2022-12-11T11:31:01.838Z,2022-12-11T11:31:03Z,3940525773,56,Back,3940525789,213,0.3,3940525785,212,11.1,3940525777,140,29.2,3940525781,141,96.2,,,,,,,,,,dcabal76i5wlct77xl6jkyfv9,E. Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490308163,7,1,1,0,18,8gw3pgcd0doivaul55q8na9lg,1,29.2,95.7,2022-12-11T11:31:03.039Z,2022-12-11T11:31:04Z,3940525823,212,6.1,3940525821,141,86.8,3940525819,140,28.9,3940525815,56,Back,3940525825,213,4.7,,,,,,,,,,69ij8unhyklcdc4d11u02v6y,Joyce Borini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
